#cliente	day	place	penalty	service
191_PR_3	3	2	185	60
101_PR_2	2	2	185	60
1_PR_1	1	2	476	90
341_SA_5	5	1	632	70
102_SA_2	2	1	888	120
2_SA_1	1	1	902	90
103_SA_2	2	1	1179	120
104_LC_2	2	3	1256	120
271_PR_4	4	2	1268	60
105_LC_2	2	3	1650	200
342_PR_5	5	2	1788	60
192_PR_3	3	2	1974	130
193_LC_3	3	3	1979	70
272_LC_4	4	3	2404	130
273_LC_4	4	3	2424	90
343_LC_5	5	3	3202	45
274_SA_4	4	1	3248	60
3_SA_1	1	1	3355	75
106_NU_2	2	5	3362	75
107_PR_2	2	2	3675	30
344_LC_5	5	3	3873	120
108_LC_2	2	3	3873	10
345_SA_5	5	1	4275	150
194_PR_3	3	2	4566	20
4_LC_1	1	3	4890	120
195_SA_3	3	1	5145	150
5_SA_1	1	1	5193	90
197_SA_3	3	1	5193	120
346_LC_5	5	3	5193	70
199_SA_3	3	1	5193	80
196_PR_3	3	2	5193	45
198_SA_3	3	1	5193	60
6_SA_1	1	1	5926	30
200_SA_3	3	1	5926	60
201_LC_3	3	3	5926	270
347_SA_5	5	1	6077	20
7_SA_1	1	1	6215	290
202_SA_3	3	1	6215	180
8_SA_1	1	1	6215	60
110_SA_2	2	1	6215	120
111_SA_2	2	1	6215	120
112_SA_2	2	1	6215	60
109_SA_2	2	1	6215	110
114_SA_2	2	1	6215	60
113_SA_2	2	1	6215	60
203_SA_3	3	1	6215	45
115_PR_2	2	2	6283	90
348_SA_5	5	1	6318	60
349_SA_5	5	1	6318	15
9_SA_1	1	1	6478	360
10_SA_1	1	1	6478	60
13_SA_1	1	1	6478	60
14_SA_1	1	1	6478	90
350_SA_5	5	1	6478	180
12_SA_1	1	1	6478	75
204_SA_3	3	1	6478	80
205_SA_3	3	1	6478	60
352_PR_5	5	2	6478	70
11_SA_1	1	1	6478	120
275_SA_4	4	1	6478	90
276_SA_4	4	1	6478	60
277_SA_4	4	1	6478	120
120_SA_2	2	1	6478	55
279_SA_4	4	1	6478	300
280_NU_4	4	5	6478	60
119_SA_2	2	1	6478	60
124_SA_2	2	1	6478	30
121_LC_2	2	3	6478	45
122_SA_2	2	1	6478	50
351_SA_5	5	1	6478	60
118_SA_2	2	1	6478	120
278_PR_4	4	2	6478	150
116_SA_2	2	1	6478	60
117_SA_2	2	1	6478	140
123_SA_2	2	1	6478	50
15_SA_1	1	1	6738	240
125_SA_2	2	1	6989	60
281_PR_4	4	2	6989	70
282_LC_4	4	3	6993	90
127_PR_2	2	2	7107	80
206_PR_3	3	2	7107	35
126_PR_2	2	2	7107	180
353_SA_5	5	1	7428	5
354_PR_5	5	2	7519	30
16_SA_1	1	1	8063	110
207_SA_3	3	1	8063	50
128_SA_2	2	1	8132	120
17_NU_1	1	5	8172	180
129_NU_2	2	5	8172	120
283_SA_4	4	1	8466	180
355_LC_5	5	3	8837	150
130_SA_2	2	1	8837	90
356_SA_5	5	1	8913	150
131_PR_2	2	2	9126	215
18_SA_1	1	1	9198	90
208_SA_3	3	1	9198	90
209_SA_3	3	1	9198	45
132_SA_2	2	1	9198	20
19_SA_1	1	1	9287	180
210_SA_3	3	1	9287	180
284_SA_4	4	1	9287	240
134_SA_2	2	1	9338	60
133_SA_2	2	1	9338	90
357_SA_5	5	1	9338	60
285_SA_4	4	1	9374	60
135_SA_2	2	1	9758	60
20_SA_1	1	1	9758	60
136_LC_2	2	3	9906	30
286_PR_4	4	2	10170	60
360_LC_5	5	3	10170	10
358_PR_5	5	2	10170	70
137_PR_2	2	2	10170	150
359_LC_5	5	3	10170	10
361_SA_5	5	1	10170	10
21_NU_1	1	5	10178	90
211_NU_3	3	5	10178	40
362_PR_5	5	2	10222	240
22_PR_1	1	2	10337	60
213_LC_3	3	3	10337	90
139_PR_2	2	2	10337	60
140_SA_2	2	1	10337	50
288_SA_4	4	1	10337	60
287_PR_4	4	2	10337	90
212_SA_3	3	1	10337	40
138_VI_2	2	4	10337	90
363_VI_5	5	4	10613	10
214_VI_3	3	4	10613	25
215_PR_3	3	2	10633	45
23_SA_1	1	1	10786	90
24_PR_1	1	2	10847	100
289_LC_4	4	3	11466	110
25_PR_1	1	2	11466	90
141_NU_2	2	5	11597	150
26_NU_1	1	5	11597	420
27_LC_1	1	3	11863	180
216_SA_3	3	1	11885	80
28_SA_1	1	1	12236	30
29_SA_1	1	1	12434	60
364_PR_5	5	2	12531	1
217_SA_3	3	1	13227	150
365_SA_5	5	1	13227	120
290_SA_4	4	1	13227	60
291_SA_4	4	1	13389	150
292_PR_4	4	2	13543	50
293_PR_4	4	2	13543	165
294_SA_4	4	1	13703	90
142_LC_2	2	3	13827	50
218_SA_3	3	1	13831	120
219_SA_3	3	1	13831	90
143_SA_2	2	1	13831	180
144_SA_2	2	1	14027	90
145_LC_2	2	3	14217	60
146_SA_2	2	1	14217	165
147_LC_2	2	3	14217	30
220_PR_3	3	2	14217	60
30_PR_1	1	2	14553	60
