#cliente	day	place	penalty	service
191_PR_3	3	2	1171	60
101_PR_2	2	2	8515	60
1_PR_1	1	2	7926	90
341_SA_5	5	1	7999	70
102_SA_2	2	1	1747	120
2_SA_1	1	1	53485	90
103_SA_2	2	1	52467	120
104_LC_2	2	3	6415	120
271_PR_4	4	2	10256	60
105_LC_2	2	3	42591	200
342_PR_5	5	2	4774	60
192_PR_3	3	2	6192	130
193_LC_3	3	3	542	70
272_LC_4	4	3	59944	130
273_LC_4	4	3	7062	90
343_LC_5	5	3	56534	45
274_SA_4	4	1	51039	60
3_SA_1	1	1	67122	75
106_NU_2	2	5	61927	75
107_PR_2	2	2	54893	30
344_LC_5	5	3	39878	120
108_LC_2	2	3	57327	10
345_SA_5	5	1	4519	150
194_PR_3	3	2	53681	20
4_LC_1	1	3	4902	120
195_SA_3	3	1	10565	150
5_SA_1	1	1	39219	90
197_SA_3	3	1	52908	120
346_LC_5	5	3	68757	70
199_SA_3	3	1	36876	80
196_PR_3	3	2	53548	45
198_SA_3	3	1	50940	60
6_SA_1	1	1	10810	30
200_SA_3	3	1	2615	60
201_LC_3	3	3	10515	270
347_SA_5	5	1	42988	20
7_SA_1	1	1	48461	290
202_SA_3	3	1	62418	180
8_SA_1	1	1	53070	60
110_SA_2	2	1	43746	120
111_SA_2	2	1	49992	120
112_SA_2	2	1	53116	60
109_SA_2	2	1	52404	110
114_SA_2	2	1	42078	60
113_SA_2	2	1	43163	60
203_SA_3	3	1	43727	45
115_PR_2	2	2	53348	90
348_SA_5	5	1	13455	60
349_SA_5	5	1	9825	15
9_SA_1	1	1	6497	360
10_SA_1	1	1	9631	60
13_SA_1	1	1	11767	60
14_SA_1	1	1	765	90
350_SA_5	5	1	13276	180
12_SA_1	1	1	3404	75
204_SA_3	3	1	2903	80
205_SA_3	3	1	4285	60
352_PR_5	5	2	8516	70
11_SA_1	1	1	14006	120
275_SA_4	4	1	4887	90
276_SA_4	4	1	13566	60
277_SA_4	4	1	1668	120
120_SA_2	2	1	7143	55
279_SA_4	4	1	4406	300
280_NU_4	4	5	13103	60
119_SA_2	2	1	1211	60
124_SA_2	2	1	7323	30
121_LC_2	2	3	7265	45
122_SA_2	2	1	2201	50
351_SA_5	5	1	1749	60
118_SA_2	2	1	4206	120
278_PR_4	4	2	3132	150
116_SA_2	2	1	9593	60
117_SA_2	2	1	7656	140
123_SA_2	2	1	2086	50
15_SA_1	1	1	70993	240
125_SA_2	2	1	46816	60
281_PR_4	4	2	62917	70
282_LC_4	4	3	22147	90
127_PR_2	2	2	125238	80
206_PR_3	3	2	112643	35
126_PR_2	2	2	109244	180
353_SA_5	5	1	18054	5
354_PR_5	5	2	56843	30
16_SA_1	1	1	8710	110
207_SA_3	3	1	11973	50
128_SA_2	2	1	795	120
17_NU_1	1	5	6112	180
129_NU_2	2	5	7348	120
283_SA_4	4	1	6414	180
355_LC_5	5	3	385	150
130_SA_2	2	1	13216	90
356_SA_5	5	1	3245	150
131_PR_2	2	2	52092	215
18_SA_1	1	1	2250	90
208_SA_3	3	1	5344	90
209_SA_3	3	1	13920	45
132_SA_2	2	1	9202	20
19_SA_1	1	1	91935	180
210_SA_3	3	1	89965	180
284_SA_4	4	1	99569	240
134_SA_2	2	1	60311	60
133_SA_2	2	1	40565	90
357_SA_5	5	1	51892	60
285_SA_4	4	1	49144	60
135_SA_2	2	1	58680	60
20_SA_1	1	1	64348	60
136_LC_2	2	3	2039	30
286_PR_4	4	2	44488	60
360_LC_5	5	3	39380	10
358_PR_5	5	2	49666	70
137_PR_2	2	2	54335	150
359_LC_5	5	3	52631	10
361_SA_5	5	1	47828	10
21_NU_1	1	5	16993	90
211_NU_3	3	5	19311	40
362_PR_5	5	2	47905	240
22_PR_1	1	2	57748	60
213_LC_3	3	3	42197	90
139_PR_2	2	2	51993	60
140_SA_2	2	1	56482	50
288_SA_4	4	1	50253	60
287_PR_4	4	2	61482	90
212_SA_3	3	1	51974	40
138_VI_2	2	4	67770	90
363_VI_5	5	4	5510	10
214_VI_3	3	4	11590	25
215_PR_3	3	2	57804	45
23_SA_1	1	1	38446	90
24_PR_1	1	2	4032	100
289_LC_4	4	3	28218	110
25_PR_1	1	2	14616	90
141_NU_2	2	5	3182	150
26_NU_1	1	5	6944	420
27_LC_1	1	3	1990	180
216_SA_3	3	1	17118	80
28_SA_1	1	1	3512	30
29_SA_1	1	1	63366	60
364_PR_5	5	2	16014	1
217_SA_3	3	1	1261	150
365_SA_5	5	1	7166	120
290_SA_4	4	1	3919	60
291_SA_4	4	1	3143	150
292_PR_4	4	2	4395	50
293_PR_4	4	2	7960	165
294_SA_4	4	1	31992	90
142_LC_2	2	3	16658	50
218_SA_3	3	1	2996	120
219_SA_3	3	1	8275	90
143_SA_2	2	1	7019	180
144_SA_2	2	1	909	90
145_LC_2	2	3	3070	60
146_SA_2	2	1	955	165
147_LC_2	2	3	10073	30
220_PR_3	3	2	2798	60
30_PR_1	1	2	8493	60
295_LC_4	4	3	6779	60
366_SA_5	5	1	20373	20
32_SA_1	1	1	17667	90
31_SA_1	1	1	25458	90
367_PR_5	5	2	43773	15
33_LC_1	1	3	3059	150
221_PR_3	3	2	37704	35
296_SA_4	4	1	40412	90
222_PR_3	3	2	44824	60
223_PR_3	3	2	55176	40
224_PR_3	3	2	13261	50
34_LC_1	1	3	35593	80
148_SA_2	2	1	2679	90
368_PR_5	5	2	17694	5
369_SA_5	5	1	62089	120
370_SA_5	5	1	34058	140
225_SA_3	3	1	831	80
35_SA_1	1	1	3139	105
297_SA_4	4	1	10922	100
36_LC_1	1	3	52205	60
298_PR_4	4	2	3501	120
150_SA_2	2	1	9548	120
149_SA_2	2	1	280	235
151_SA_2	2	1	59854	120
38_PR_1	1	2	69859	80
371_PR_5	5	2	60492	30
37_PR_1	1	2	44212	60
39_LC_1	1	3	1132	90
226_PR_3	3	2	58292	65
372_LC_5	5	3	54359	60
227_LC_3	3	3	8721	120
40_SA_1	1	1	2768	60
228_SA_3	3	1	57256	100
152_LC_2	2	3	3403	1
41_LC_1	1	3	8214	120
42_PR_1	1	2	9146	60
299_LC_4	4	3	3353	60
43_SA_1	1	1	21121	207
300_SA_4	4	1	61766	105
301_SA_4	4	1	4274	75
44_PR_1	1	2	1678	25
153_PR_2	2	2	44540	230
302_SA_4	4	1	56250	90
373_SA_5	5	1	8660	60
154_PR_2	2	2	57152	170
374_PR_5	5	2	49401	105
155_SA_2	2	1	36923	240
375_PR_5	5	2	51286	170
229_SA_3	3	1	14449	60
156_PR_2	2	2	47859	80
45_VI_1	1	4	20966	75
46_SA_1	1	1	16039	90
47_SA_1	1	1	3637	90
230_PR_3	3	2	21772	30
303_LC_4	4	3	52273	60
