realID,LOC,weekday,diffdays,flex,penalty,DiaAten,ModelId,T.Servicio,Tag
191,PR,3,0,0,16180,3,1,60,Base
101,PR,2,0,0,16180,2,1,60,Base
1,PR,1,1,1,17187,-2,1,90,Base
341,SA,5,0,0,17309,5,1,70,Base
102,SA,2,0,0,17684,2,2,120,Base
2,SA,1,0,0,17703,1,2,90,Base
103,SA,2,0,0,17837,2,3,120,Base
104,LC,2,0,0,18033,2,4,120,Base
271,PR,4,0,0,18163,4,1,60,Base
105,LC,2,0,0,18287,2,5,200,Base
342,PR,5,1,1,18332,-6,2,60,Base
192,PR,3,1,1,18396,-4,2,130,Base
193,LC,3,0,0,18524,3,3,70,Base
272,LC,4,0,0,18548,4,2,130,Base
273,LC,4,0,0,18557,4,3,90,Base
343,LC,5,1,1,18615,-6,3,45,Base
274,SA,4,0,0,18646,4,4,60,Base
3,SA,1,0,0,18652,1,3,75,Base
106,NU,2,0,0,18732,2,6,75,Base
107,PR,2,0,0,18807,2,7,30,Base
344,LC,5,0,0,18821,5,4,120,Base
108,LC,2,0,0,18821,2,8,10,Base
345,SA,5,1,1,18834,-6,5,150,Base
194,PR,3,0,0,18993,3,4,20,Base
4,LC,1,0,0,19011,1,4,120,Base
195,SA,3,1,1,19055,-4,5,150,Base
5,SA,1,0,0,19056,1,5,90,Base
197,SA,3,0,0,19056,3,6,120,Base
346,LC,5,0,0,19056,5,6,70,Base
199,SA,3,0,0,19056,3,7,80,Base
196,PR,3,0,0,19056,3,8,45,Base
198,SA,3,0,0,19056,3,9,60,Base
6,SA,1,0,0,19098,1,6,30,Base
200,SA,3,0,0,19098,3,10,60,Base
201,LC,3,1,1,19098,-4,11,270,Base
347,SA,5,0,0,19110,5,7,20,Base
7,SA,1,0,0,19142,1,7,290,Base
202,SA,3,0,0,19142,3,12,180,Base
8,SA,1,0,0,19142,1,8,60,Base
110,SA,2,0,0,19142,2,9,120,Base
111,SA,2,0,0,19142,2,10,120,Base
112,SA,2,0,0,19142,2,11,60,Base
109,SA,2,0,0,19142,2,12,110,Base
114,SA,2,0,0,19142,2,13,60,Base
113,SA,2,0,0,19142,2,14,60,Base
203,SA,3,0,0,19142,3,13,45,Base
115,PR,2,0,0,19183,2,15,90,Base
348,SA,5,0,0,19241,5,8,60,Base
349,SA,5,0,0,19241,5,9,15,Base
9,SA,1,0,0,19293,1,9,360,Base
10,SA,1,0,0,19293,1,10,60,Base
13,SA,1,0,0,19293,1,11,60,Base
14,SA,1,0,0,19293,1,12,90,Base
350,SA,5,0,0,19293,5,10,180,Base
12,SA,1,0,0,19293,1,13,75,Base
204,SA,3,0,0,19293,3,14,80,Base
205,SA,3,0,0,19293,3,15,60,Base
352,PR,5,0,0,19293,5,11,70,Base
11,SA,1,0,0,19293,1,14,120,Base
275,SA,4,0,0,19293,4,5,90,Base
276,SA,4,0,0,19293,4,6,60,Base
277,SA,4,1,1,19293,-5,7,120,Base
120,SA,2,1,1,19293,-3,16,55,Base
279,SA,4,0,0,19293,4,8,300,Base
280,NU,4,0,0,19293,4,9,60,Base
119,SA,2,0,0,19293,2,17,60,Base
124,SA,2,0,0,19293,2,18,30,Base
121,LC,2,0,0,19293,2,19,45,Base
122,SA,2,0,0,19293,2,20,50,Base
351,SA,5,0,0,19293,5,12,60,Base
118,SA,2,0,0,19293,2,21,120,Base
278,PR,4,0,0,19293,4,10,150,Base
116,SA,2,0,0,19293,2,22,60,Base
117,SA,2,0,0,19293,2,23,140,Base
123,SA,2,0,0,19293,2,24,50,Base
15,SA,1,0,0,19319,1,15,240,Base
125,SA,2,0,0,19398,2,25,60,Base
281,PR,4,0,0,19398,4,11,70,Base
282,LC,4,0,0,19451,4,12,90,Base
127,PR,2,0,0,19458,2,26,80,Base
206,PR,3,0,0,19458,3,16,35,Base
126,PR,2,0,0,19458,2,27,180,Base
353,SA,5,0,0,19514,5,13,5,Base
354,PR,5,0,0,19572,5,14,30,Base
16,SA,1,0,0,19674,1,16,110,Base
207,SA,3,0,0,19674,3,17,50,Base
128,SA,2,0,0,19683,2,28,120,Base
17,NU,1,0,0,19689,1,17,180,Base
129,NU,2,0,0,19689,2,29,120,Base
283,SA,4,0,0,19719,4,13,180,Base
355,LC,5,0,0,19783,5,15,150,Base
130,SA,2,0,0,19783,2,30,90,Base
356,SA,5,1,1,19868,-6,16,150,Base
131,PR,2,0,0,19899,2,31,215,Base
18,SA,1,0,0,20007,1,18,90,Base
208,SA,3,0,0,20007,3,18,90,Base
209,SA,3,0,0,20007,3,19,45,Base
132,SA,2,0,0,20007,2,32,20,Base
19,SA,1,0,0,20038,1,19,180,Base
210,SA,3,0,0,20038,3,20,180,Base
284,SA,4,0,0,20038,4,14,240,Base
134,SA,2,0,0,20053,2,33,60,Base
133,SA,2,0,0,20053,2,34,90,Base
