Days,Zone B,Group.1,Group.2,Group.3
1,43,2,5,2002
2,29,3,5,2002
3,57,6,5,2002
4,35,7,5,2002
5,38,8,5,2002
6,26,9,5,2002
7,34,10,5,2002
8,47,13,5,2002
9,38,14,5,2002
10,32,15,5,2002
11,45,16,5,2002
12,30,17,5,2002
13,25,20,5,2002
14,48,22,5,2002
15,49,23,5,2002
16,36,24,5,2002
17,38,28,5,2002
18,33,29,5,2002
19,49,30,5,2002
20,29,31,5,2002
21,13,3,6,2002
22,2,4,6,2002
23,36,5,6,2002
24,41,6,6,2002
25,34,7,6,2002
26,27,10,6,2002
27,54,11,6,2002
28,42,12,6,2002
29,43,13,6,2002
30,37,14,6,2002
31,36,17,6,2002
32,33,18,6,2002
33,35,19,6,2002
34,46,20,6,2002
35,30,21,6,2002
36,43,24,6,2002
37,35,25,6,2002
38,34,26,6,2002
39,26,27,6,2002
40,31,28,6,2002
41,43,1,7,2002
42,46,2,7,2002
43,38,3,7,2002
44,41,4,7,2002
45,30,5,7,2002
46,48,8,7,2002
47,30,9,7,2002
48,38,10,7,2002
49,35,11,7,2002
50,23,12,7,2002
51,40,15,7,2002
52,32,16,7,2002
53,40,17,7,2002
54,24,18,7,2002
55,18,19,7,2002
56,37,22,7,2002
57,32,23,7,2002
58,43,24,7,2002
59,36,25,7,2002
60,30,26,7,2002
61,39,29,7,2002
62,24,30,7,2002
63,29,31,7,2002
64,24,1,8,2002
65,28,2,8,2002
66,39,5,8,2002
67,41,6,8,2002
68,36,7,8,2002
69,38,8,8,2002
70,38,9,8,2002
71,22,12,8,2002
72,27,13,8,2002
73,32,14,8,2002
74,23,16,8,2002
75,35,19,8,2002
76,26,20,8,2002
77,32,21,8,2002
78,27,22,8,2002
79,25,23,8,2002
80,50,26,8,2002
81,40,27,8,2002
82,33,28,8,2002
83,26,29,8,2002
84,23,30,8,2002
85,34,2,9,2002
86,27,3,9,2002
87,31,4,9,2002
88,26,5,9,2002
89,33,6,9,2002
90,54,9,9,2002
91,40,10,9,2002
92,38,11,9,2002
93,28,12,9,2002
94,23,13,9,2002
95,28,16,9,2002
96,14,17,9,2002
97,7,20,9,2002
98,37,23,9,2002
99,37,24,9,2002
100,29,25,9,2002
101,40,26,9,2002
102,27,27,9,2002
103,35,30,9,2002
104,28,1,10,2002
105,36,2,10,2002
106,33,3,10,2002
107,21,4,10,2002
108,26,7,10,2002
109,26,8,10,2002
110,32,9,10,2002
111,35,10,10,2002
112,28,11,10,2002
113,42,14,10,2002
114,34,15,10,2002
115,29,16,10,2002
116,34,17,10,2002
117,25,18,10,2002
118,38,21,10,2002
119,42,22,10,2002
120,41,23,10,2002
121,37,24,10,2002
122,14,25,10,2002
123,30,28,10,2002
124,28,29,10,2002
125,28,30,10,2002
126,19,31,10,2002
127,43,4,11,2002
128,28,5,11,2002
129,33,6,11,2002
130,33,7,11,2002
131,19,8,11,2002
132,40,11,11,2002
133,38,12,11,2002
134,35,13,11,2002
135,26,14,11,2002
136,28,15,11,2002
137,33,18,11,2002
138,31,19,11,2002
139,33,20,11,2002
140,31,21,11,2002
141,25,22,11,2002
142,32,25,11,2002
143,32,26,11,2002
144,38,27,11,2002
145,27,28,11,2002
146,15,29,11,2002
147,39,2,12,2002
148,21,3,12,2002
149,27,4,12,2002
150,29,5,12,2002
151,24,6,12,2002
152,30,9,12,2002
153,26,10,12,2002
154,24,11,12,2002
155,30,12,12,2002
156,19,13,12,2002
157,28,16,12,2002
158,21,17,12,2002
159,26,18,12,2002
160,23,19,12,2002
161,16,20,12,2002
162,28,23,12,2002
163,10,24,12,2002
164,34,26,12,2002
165,22,27,12,2002
166,17,30,12,2002
167,9,31,12,2002
168,32,2,1,2003
169,19,3,1,2003
170,35,6,1,2003
171,29,7,1,2003
172,27,8,1,2003
173,28,9,1,2003
174,21,10,1,2003
175,25,13,1,2003
176,38,14,1,2003
177,27,15,1,2003
178,20,16,1,2003
179,17,17,1,2003
180,33,20,1,2003
181,23,21,1,2003
182,22,22,1,2003
183,32,23,1,2003
184,21,24,1,2003
185,36,27,1,2003
186,32,28,1,2003
187,21,29,1,2003
188,28,30,1,2003
189,26,31,1,2003
190,26,3,2,2003
191,29,4,2,2003
192,29,5,2,2003
193,41,6,2,2003
194,24,7,2,2003
195,28,10,2,2003
196,31,11,2,2003
197,24,12,2,2003
198,24,13,2,2003
199,27,14,2,2003
200,35,17,2,2003
201,33,18,2,2003
202,32,19,2,2003
203,32,20,2,2003
204,21,21,2,2003
205,46,24,2,2003
206,25,25,2,2003
207,23,26,2,2003
208,26,27,2,2003
209,21,28,2,2003
210,18,3,3,2003
211,29,4,3,2003
212,36,5,3,2003
213,33,6,3,2003
214,33,7,3,2003
215,39,10,3,2003
216,21,11,3,2003
217,43,12,3,2003
218,36,13,3,2003
219,36,14,3,2003
220,36,17,3,2003
221,23,18,3,2003
222,35,19,3,2003
223,28,20,3,2003
224,31,21,3,2003
225,36,24,3,2003
226,35,25,3,2003
227,30,26,3,2003
228,26,27,3,2003
229,25,28,3,2003
230,34,31,3,2003
231,33,1,4,2003
232,33,2,4,2003
233,24,3,4,2003
234,26,4,4,2003
235,42,7,4,2003
236,38,8,4,2003
237,35,9,4,2003
238,36,10,4,2003
239,27,11,4,2003
240,39,14,4,2003
241,29,15,4,2003
242,29,16,4,2003
243,20,17,4,2003
244,34,21,4,2003
245,29,22,4,2003
246,28,23,4,2003
247,28,24,4,2003
248,28,25,4,2003
249,33,28,4,2003
250,39,29,4,2003
251,22,30,4,2003
