print servers,Ws,Damage,,,,
1,1,inf,,,,
2,0.571428571,inf,,,,
3,0.439252336,inf,,,,
4,0.377358491,inf,,,,
5,0.342357792,0.58629103,,,,
6,0.320275346,0.238110362,,,,
7,0.305304083,0.132411168,,,,
8,0.294622636,0.084470482,,,,
9,0.286705575,0.058346224,,,,
10,0.28066112,0.042480471,,,,
11,0.275935817,0.032119461,,,,
12,0.272169557,0.02498907,,,,
13,0.269118868,0.019882521,,,,
14,0.266613822,0.016108716,,,,
15,0.264532603,0.013247961,,,,
16,0.262785866,0.01103319,,,,
17,0.261306775,0.009287842,,,,
18,0.260044463,0.007891416,,,,
19,0.258959622,0.006759413,,,,
20,0.258021469,0.005831195,,,,
