#Nombre,n,rho,Satisfied,DiaAten,Service,Penalty,noise,n
191_PR_3,3.031838934,0.46133619,1,3,60,2151,0.031838934,3
101_PR_2,3.069969407,0.46133619,1,2,60,2151,0.069969407,3
341_SA_5,2.018910181,0.02838908,1,5,70,2096,0.018910181,2
102_SA_2,3.031757136,0.50508015,1,2,120,3423,0.031757136,3
2_SA_1,1.089968861,0.35484084,1,1,90,50000,0.089968861,1
103_SA_2,4.046861174,0.73282774,1,2,120,53565,0.046861174,4
271_PR_4,3.092936888,0.62592342,1,4,60,24247,0.092936888,3
105_LC_2,1.082030293,0.47344788,1,2,200,50000,0.082030293,1
342_PR_5,4.066832887,0.44425931,1,5,60,618,0.066832887,4
192_PR_3,4.08052796,0.61723192,1,3,130,3777,0.08052796,4
193_LC_3,3.051743678,0.44800905,1,3,70,1880,0.051743678,3
272_LC_4,1.004958653,0.39702244,1,4,130,50000,0.004958653,1
273_LC_4,4.035354084,0.00582695,1,4,90,2504,0.035354084,4
343_LC_5,2.025347932,0.57954123,1,5,45,50000,0.025347932,2
274_SA_4,3.006547961,0.67372944,1,4,60,50000,0.006547961,3
3_SA_1,3.063699293,0.74232661,1,1,75,50000,0.063699293,3
106_NU_2,3.087975425,0.74952347,1,2,75,50000,0.087975425,3
107_PR_2,1.002334969,0.73859519,1,2,30,50000,0.002334969,1
344_LC_5,1.046519662,0.64265027,1,5,120,50000,0.046519662,1
108_LC_2,1.004498154,0.64265027,1,2,10,50000,0.004498154,1
194_PR_3,1.004795929,0.51279091,1,3,20,50000,0.004795929,1
4_LC_1,3.078767778,0.46050152,1,1,120,2132,0.078767778,3
195_SA_3,2.026594067,0.31970201,1,3,150,3120,0.026594067,2
5_SA_1,2.07396814,0.70507053,1,1,90,50000,0.07396814,2
197_SA_3,2.052827011,0.70507053,1,3,120,50000,0.052827011,2
346_LC_5,2.002241698,0.70507053,1,5,70,50000,0.002241698,2
199_SA_3,2.090175159,0.70507053,1,3,80,50000,0.090175159,2
196_PR_3,2.004746239,0.70507053,1,3,45,50000,0.004746239,2
198_SA_3,2.090936075,0.70507053,1,3,60,50000,0.090936075,2
6_SA_1,2.054099803,0.37035142,1,1,30,5705,0.054099803,2
200_SA_3,2.022032199,0.37035142,1,3,60,5705,0.022032199,2
201_LC_3,2.080855996,0.37035142,1,3,270,5705,0.080855996,2
347_SA_5,1.090442806,0.72521617,1,5,20,50000,0.090442806,1
7_SA_1,1.009087357,0.26404594,1,1,290,50000,0.009087357,1
202_SA_3,1.038635099,0.26404594,1,3,180,50000,0.038635099,1
8_SA_1,1.000388788,0.26404594,1,1,60,50000,0.000388788,1
110_SA_2,1.006238518,0.26404594,1,2,120,50000,0.006238518,1
111_SA_2,1.058626782,0.26404594,1,2,120,50000,0.058626782,1
112_SA_2,1.093914,0.26404594,1,2,60,50000,0.093914,1
109_SA_2,1.008277805,0.26404594,1,2,110,50000,0.008277805,1
114_SA_2,1.058656148,0.26404594,1,2,60,50000,0.058656148,1
113_SA_2,1.031065467,0.26404594,1,2,60,50000,0.031065467,1
203_SA_3,1.063761589,0.26404594,1,3,45,50000,0.063761589,1
115_PR_2,2.075187753,0.66205777,1,2,90,50000,0.075187753,2
348_SA_5,2.047014947,0.37448819,1,5,60,6019,0.047014947,2
349_SA_5,2.041686679,0.37448819,1,5,15,6019,0.041686679,2
352_PR_5,3.091472811,0.34059062,1,5,70,653,0.091472811,3
280_NU_4,3.042804224,0.34059062,1,4,60,653,0.042804224,3
351_SA_5,3.007201582,0.34059062,1,5,60,653,0.007201582,3
116_SA_2,3.08475165,0.34059062,1,2,60,653,0.08475165,3
123_SA_2,3.08053877,0.34059062,1,2,50,653,0.08053877,3
15_SA_1,2.020019296,0.62050196,1,1,240,50000,0.020019296,2
125_SA_2,1.056284121,0.66891323,1,2,60,50000,0.056284121,1
281_PR_4,1.073945394,0.66891323,1,4,70,50000,0.073945394,1
282_LC_4,3.033129535,0.63255089,1,4,90,29881,0.033129535,3
127_PR_2,4.071244745,0.74171948,1,2,80,116703,0.071244745,4
206_PR_3,4.09922906,0.74171948,1,3,35,116703,0.09922906,4
126_PR_2,4.054443471,0.74171948,1,2,180,116703,0.054443471,4
354_PR_5,3.034111007,0.69020823,1,5,30,50000,0.034111007,3
16_SA_1,4.046961054,0.39202635,1,1,110,368,0.046961054,4
129_NU_2,4.050341846,0.50293685,1,2,120,1094,0.050341846,4
283_SA_4,4.03549738,0.56664302,1,4,180,2098,0.03549738,4
355_LC_5,2.095736888,0.02547283,1,5,150,1518,0.095736888,2
131_PR_2,1.000610621,0.52401128,1,2,215,50000,0.000610621,1
208_SA_3,4.019977205,0.51846066,1,3,90,1276,0.019977205,4
132_SA_2,4.000575039,0.51846066,1,2,20,1276,0.000575039,4
19_SA_1,3.010057049,0.00065465,1,1,180,94251,0.010057049,3
210_SA_3,3.035631468,0.00065465,1,3,180,94251,0.035631468,3
284_SA_4,3.018619352,0.00065465,1,4,240,94251,0.018619352,3
134_SA_2,1.045211887,0.26463422,1,2,60,50000,0.045211887,1
133_SA_2,1.038706296,0.26463422,1,2,90,50000,0.038706296,1
357_SA_5,1.057067337,0.26463422,1,5,60,50000,0.057067337,1
285_SA_4,1.0495195,0.62697454,1,4,60,50000,0.0495195,1
135_SA_2,3.017599856,0.74235724,1,2,60,50000,0.017599856,3
20_SA_1,3.041403234,0.74235724,1,1,60,50000,0.041403234,3
286_PR_4,2.029325378,0.62595657,1,4,60,50000,0.029325378,2
360_LC_5,2.088414895,0.62595657,1,5,10,50000,0.088414895,2
358_PR_5,2.060578311,0.62595657,1,5,70,50000,0.060578311,2
137_PR_2,2.080647963,0.62595657,1,2,150,50000,0.080647963,2
359_LC_5,2.037011409,0.62595657,1,5,10,50000,0.037011409,2
361_SA_5,2.02240678,0.62595657,1,5,10,50000,0.02240678,2
21_NU_1,3.055833998,0.62166235,1,1,90,21513,0.055833998,3
211_NU_3,3.069093912,0.62166235,1,3,40,21513,0.069093912,3
362_PR_5,1.016609299,0.25851792,1,5,240,50000,0.016609299,1
22_PR_1,1.008924392,0.03983729,1,1,60,50000,0.008924392,1
213_LC_3,1.026728539,0.03983729,1,3,90,50000,0.026728539,1
139_PR_2,1.070688862,0.03983729,1,2,60,50000,0.070688862,1
140_SA_2,1.086418275,0.03983729,1,2,50,50000,0.086418275,1
288_SA_4,1.092013073,0.03983729,1,4,60,50000,0.092013073,1
287_PR_4,1.08464097,0.03983729,1,4,90,50000,0.08464097,1
212_SA_3,1.005255407,0.03983729,1,3,40,50000,0.005255407,1
138_VI_2,1.081284128,0.03983729,1,2,90,50000,0.081284128,1
363_VI_5,2.041993113,0.30277788,1,5,10,2582,0.041993113,2
214_VI_3,2.078263241,0.30277788,1,3,25,2582,0.078263241,2
215_PR_3,1.023827629,0.41805945,1,3,45,50000,0.023827629,1
23_SA_1,1.004946663,0.65329928,1,1,90,50000,0.004946663,1
24_PR_1,4.032478073,0.64933569,1,1,100,5879,0.032478073,4
289_LC_4,2.088219159,0.46568116,1,4,110,33840,0.088219159,2
25_PR_1,3.076074844,0.55186158,1,1,90,6057,0.076074844,3
27_LC_1,3.013481214,0.47980574,1,1,180,2603,0.013481214,3
216_SA_3,4.031947363,0.70129475,1,3,80,15930,0.031947363,4
29_SA_1,2.029214479,0.71590591,1,1,60,50000,0.029214479,2
364_PR_5,3.089282065,0.44638569,1,5,1,1850,0.089282065,3
217_SA_3,4.097813683,0.47682993,1,3,150,848,0.097813683,4
365_SA_5,4.004519564,0.47682993,1,5,120,848,0.004519564,4
291_SA_4,2.035641283,0.32586156,1,4,150,3346,0.035641283,2
292_PR_4,4.024043565,0.57065174,1,4,50,2191,0.024043565,4
293_PR_4,4.081745113,0.57065174,1,4,165,2191,0.081745113,4
294_SA_4,3.070000949,0.63130604,1,4,90,28659,0.070000949,3
142_LC_2,2.052883837,0.35965126,1,2,50,4987,0.052883837,2
218_SA_3,2.020104236,0.32887068,1,3,120,3463,0.020104236,2
219_SA_3,2.000644652,0.32887068,1,3,90,3463,0.000644652,2
143_SA_2,2.094475616,0.32887068,1,2,180,3463,0.094475616,2
30_PR_1,4.024546314,0.67397634,1,1,60,8843,0.024546314,4
295_LC_4,4.022139566,0.27059742,1,4,60,91,0.022139566,4
366_SA_5,2.029600687,0.40576881,1,5,20,9353,0.029600687,2
32_SA_1,3.029806272,0.61602387,1,1,90,18615,0.029806272,3
31_SA_1,3.093633099,0.61602387,1,1,90,18615,0.093633099,3
367_PR_5,1.078182427,0.50537235,1,5,15,50000,0.078182427,1
33_LC_1,2.018757896,0.33530346,1,1,150,3729,0.018757896,2
221_PR_3,2.085617478,0.66559875,1,3,35,50000,0.085617478,2
296_SA_4,2.023149625,0.72418995,1,4,90,50000,0.023149625,2
222_PR_3,1.056537305,0.70989247,1,3,60,50000,0.056537305,1
223_PR_3,1.059963594,0.73906937,1,3,40,50000,0.059963594,1
224_PR_3,3.021925471,0.47134102,1,3,50,2383,0.021925471,3
34_LC_1,2.042783941,0.55237626,1,1,80,50000,0.042783941,2
148_SA_2,2.033896767,0.41439914,1,2,90,10728,0.033896767,2
368_PR_5,3.057576266,0.61157262,1,5,5,16755,0.057576266,3
369_SA_5,2.031804883,0.05344741,1,5,120,50000,0.031804883,2
370_SA_5,2.010944112,0.05344741,1,5,140,50000,0.010944112,2
35_SA_1,3.090498714,0.28703592,1,1,105,372,0.090498714,3
297_SA_4,2.031667056,0.26446176,1,4,100,1691,0.031667056,2
36_LC_1,1.046602992,0.05016894,1,1,60,50000,0.046602992,1
150_SA_2,3.022838618,0.44135123,1,2,120,1759,0.022838618,3
