razonSocial,nomComuna,place,direccion,idCust,weekday,serviceTime,COD,Name,penalty,p05,p10,p15,p20,p25,p50,p100,#cliente,day,place,penalty,service
A.F.P. PROVIDA S.A.,Providencia,2,P. DE VALDIVIA 100 PISO 5,191,3,60,PR,191_PR_3,32400,27905,25470,18972,16477,8795,121,624,191_PR_3,3,2,27905,60
A.F.P. PROVIDA S.A.,Providencia,2,PEDRO DE VALDIVIA 100  PISO 3,101,2,60,PR,101_PR_2,32400,27905,25470,18972,16477,8795,121,624,101_PR_2,2,2,27905,60
A.F.P. SANTA MARIA S.A.,Providencia,2,SUECIA  211  P. 13,1,1,90,PR,1_PR_1,32400,27979,25491,19975,18147,13174,363,654,1_PR_1,1,2,27979,90
A.F.P. SUMMA-BANSANDER S.A.,Santiago,1,AGUSTINAS 540 PISO 3,341,5,70,SA,341_SA_5,32400,28317,26335,21262,18432,13347,443,738,341_SA_5,5,1,28317,70
ABASTIBLE SA,Santiago,1,VICU—A MACKENNA 55 OF.303,102,2,120,SA,102_SA_2,32400,28813,26344,22598,18607,15780,740,921,102_SA_2,2,1,28813,120
ACTION LINE CHILE S.A.,Santiago,1,MAC IVER 440 PISO 6,2,1,90,SA,2_SA_1,32400,28950,26373,22943,20173,15860,1703,1071,2_SA_1,1,1,28950,90
ADMINISTRADORA CMR FALABELLA LTDA,Santiago,1,STA ELENA 1422,103,2,120,SA,103_SA_2,32400,28966,26390,22950,21019,16791,1837,1466,103_SA_2,2,1,28966,120
AES GENER S.A.,Las Condes,3,SANCHEZ FONTECILLA 310 P 3,104,2,120,LC,104_LC_2,32400,28966,26465,22971,21350,17636,2954,1652,104_LC_2,2,3,28966,120
AG. DE ADUANA R. FUENZALIDA Y CIA. LTDA.,Providencia,2,LA CONCEPCION 322 PISO 5 OF.504,271,4,60,PR,271_PR_4,32400,29209,26498,23163,21622,17867,3524,1655,271_PR_4,4,2,29209,60
AHK BUSINESS CENTER,Las Condes,3,BOSQUE NORTE 0440 OF.601 (1-2-5),105,2,200,LC,105_LC_2,32400,29276,26605,23229,21894,18627,4842,2055,105_LC_2,2,3,29276,200
ALGAS MARINAS S.A. ALGAMAR,Providencia,2,FIDEL OTEIZA 1956  P 14,342,5,60,PR,342_PR_5,32400,29343,27072,23578,21952,18661,5746,2551,342_PR_5,5,2,29343,60
ALIMENTOS MARINOS S.A.,Providencia,2,MAR DEL PLATA 2111,192,3,130,PR,192_PR_3,32400,29407,27377,24098,22028,18821,7007,2827,192_PR_3,3,2,29407,130
ALIMENTOS MULTIEXPORT S.A.,Las Condes,3,ISIDORA GOYENECHEA  3621  P 17 TORRE B,193,3,70,LC,193_LC_3,32400,29616,27384,24971,22073,19164,7490,3344,193_LC_3,3,3,29616,70
ALMACENES PARIS COMERCIAL S.A.,Las Condes,3,AV KENNEDY 5225 P 4 PQUE ARAUC,272,4,130,LC,272_LC_4,32400,29717,27453,24991,22082,19215,7672,3515,272_LC_4,4,3,29717,130
AMCHAM CHILE,Las Condes,3,AV. KENNEDY 5735 OF.201 TORRE PONIENTE,273,4,90,LC,273_LC_4,32400,29748,27473,25048,22398,19454,7805,3704,273_LC_4,4,3,29748,90
ARAUCO SALUD S.A.,Las Condes,3,KENNEDY 5757 TORRE ORIENTE OF-702,343,5,45,LC,343_LC_5,32400,29781,27568,25050,22962,19739,8154,4494,343_LC_5,5,3,29781,45
ARAWAK S.A. SERVICIOS PERSONALES,Santiago,1,PORVENIR 464,274,4,60,SA,274_SA_4,32400,29852,27576,25176,23062,20160,8285,4961,274_SA_4,4,1,29852,60
