razonSocial,nomComuna,place,direccion,idCust,weekday,serviceTime.x,COD,Name,serviceTime.y,p05,p10,p15,p20,p25,p50,p100,#cliente,day,place,penalty,service
A.F.P. PROVIDA S.A.,Providencia,2,P. DE VALDIVIA 100 PISO 5,191,3,60,PR,191_PR_3,1,18346,15558,11893,10078,6047,1341,1,191_PR_3,3,2,18346,1
A.F.P. PROVIDA S.A.,Providencia,2,PEDRO DE VALDIVIA 100  PISO 3,101,2,60,PR,101_PR_2,1,18346,15558,11893,10078,6047,1341,1,101_PR_2,2,2,18346,1
A.F.P. SANTA MARIA S.A.,Providencia,2,SUECIA  211  P. 13,1,1,90,PR,1_PR_1,1,19248,16764,13226,10160,8859,1716,20,1_PR_1,1,2,19248,1
A.F.P. SUMMA-BANSANDER S.A.,Santiago,1,AGUSTINAS 540 PISO 3,341,5,70,SA,341_SA_5,1,19329,17010,13568,11989,10592,1927,102,341_SA_5,5,1,19329,1
ABASTIBLE SA,Santiago,1,VICU—A MACKENNA 55 OF.303,102,2,120,SA,102_SA_2,1,19353,17123,13840,12080,10815,2046,149,102_SA_2,2,1,19353,1
ACTION LINE CHILE S.A.,Santiago,1,MAC IVER 440 PISO 6,2,1,90,SA,2_SA_1,5,19393,17306,14021,13413,11236,2141,195,2_SA_1,1,1,19393,5
ADMINISTRADORA CMR FALABELLA LTDA,Santiago,1,STA ELENA 1422,103,2,120,SA,103_SA_2,5,19525,17508,14622,14188,11267,2506,330,103_SA_2,2,1,19525,5
AES GENER S.A.,Las Condes,3,SANCHEZ FONTECILLA 310 P 3,104,2,120,LC,104_LC_2,5,19765,17948,14804,14326,11432,3018,395,104_LC_2,2,3,19765,5
AG. DE ADUANA R. FUENZALIDA Y CIA. LTDA.,Providencia,2,LA CONCEPCION 322 PISO 5 OF.504,271,4,60,PR,271_PR_4,15,19816,17998,15235,14476,11620,4201,435,271_PR_4,4,2,19816,15
AHK BUSINESS CENTER,Las Condes,3,BOSQUE NORTE 0440 OF.601 (1-2-5),105,2,200,LC,105_LC_2,15,19843,18233,15323,14523,12096,4384,469,105_LC_2,2,3,19843,15
ALGAS MARINAS S.A. ALGAMAR,Providencia,2,FIDEL OTEIZA 1956  P 14,342,5,60,PR,342_PR_5,15,19916,18267,15477,14706,12440,4959,691,342_PR_5,5,2,19916,15
ALIMENTOS MARINOS S.A.,Providencia,2,MAR DEL PLATA 2111,192,3,130,PR,192_PR_3,18,19939,18269,15874,14913,12884,5036,1255,192_PR_3,3,2,19939,18
ALIMENTOS MULTIEXPORT S.A.,Las Condes,3,ISIDORA GOYENECHEA  3621  P 17 TORRE B,193,3,70,LC,193_LC_3,20,19946,18374,15996,14933,13299,5190,1278,193_LC_3,3,3,19946,20
ALMACENES PARIS COMERCIAL S.A.,Las Condes,3,AV KENNEDY 5225 P 4 PQUE ARAUC,272,4,130,LC,272_LC_4,20,19983,18424,16218,14962,13305,5531,1315,272_LC_4,4,3,19983,20
