razonSocial,nomComuna,place,direccion,idCust,weekday,serviceTime,COD,Name,p,p05,p10,p15,p20,p25,p50,p100,#cliente,day,place,penalty,service
A.F.P. PROVIDA S.A.,Providencia,2,P. DE VALDIVIA 100 PISO 5,191,3,60,PR,191_PR_3,21600,18214,16140,8608,10273,8219,994,152,191_PR_3,3,2,152,60
A.F.P. PROVIDA S.A.,Providencia,2,PEDRO DE VALDIVIA 100  PISO 3,101,2,60,PR,101_PR_2,21600,18214,16140,8608,10273,8219,994,152,101_PR_2,2,2,152,60
A.F.P. SANTA MARIA S.A.,Providencia,2,SUECIA  211  P. 13,1,1,90,PR,1_PR_1,21600,18642,16545,10109,11183,12868,1237,314,1_PR_1,1,2,314,90
A.F.P. SUMMA-BANSANDER S.A.,Santiago,1,AGUSTINAS 540 PISO 3,341,5,70,SA,341_SA_5,21600,18822,16561,10300,13872,13342,1247,357,341_SA_5,5,1,357,70
ABASTIBLE SA,Santiago,1,"VICU??""A MACKENNA 55 OF.303",102,2,120,SA,102_SA_2,21600,18838,16568,10640,14039,13601,2288,490,102_SA_2,2,1,490,120
ACTION LINE CHILE S.A.,Santiago,1,MAC IVER 440 PISO 6,2,1,90,SA,2_SA_1,21600,19033,16852,10674,14048,13906,2445,659,2_SA_1,1,1,659,90
ADMINISTRADORA CMR FALABELLA LTDA,Santiago,1,STA ELENA 1422,103,2,120,SA,103_SA_2,21600,19262,17188,11300,14686,14180,2582,662,103_SA_2,2,1,662,120
AES GENER S.A.,Las Condes,3,SANCHEZ FONTECILLA 310 P 3,104,2,120,LC,104_LC_2,21600,19275,17549,11650,14728,14761,3001,710,104_LC_2,2,3,710,120
AG. DE ADUANA R. FUENZALIDA Y CIA. LTDA.,Providencia,2,LA CONCEPCION 322 PISO 5 OF.504,271,4,60,PR,271_PR_4,21600,19338,17589,11797,14859,14791,3657,901,271_PR_4,4,2,901,60
AHK BUSINESS CENTER,Las Condes,3,BOSQUE NORTE 0440 OF.601 (1-2-5),105,2,200,LC,105_LC_2,21600,19369,17660,12187,14878,14830,3667,932,105_LC_2,2,3,932,200
ALGAS MARINAS S.A. ALGAMAR,Providencia,2,FIDEL OTEIZA 1956  P 14,342,5,60,PR,342_PR_5,21600,19438,17690,12235,15193,14904,3879,955,342_PR_5,5,2,955,60
ALIMENTOS MARINOS S.A.,Providencia,2,MAR DEL PLATA 2111,192,3,130,PR,192_PR_3,21600,19459,17714,12410,15779,14909,4032,1033,192_PR_3,3,2,1033,130
ALIMENTOS MULTIEXPORT S.A.,Las Condes,3,ISIDORA GOYENECHEA  3621  P 17 TORRE B,193,3,70,LC,193_LC_3,21600,19508,17767,12856,16108,15503,4072,1238,193_LC_3,3,3,1238,70
ALMACENES PARIS COMERCIAL S.A.,Las Condes,3,AV KENNEDY 5225 P 4 PQUE ARAUC,272,4,130,LC,272_LC_4,21600,19517,18106,12994,16565,15660,4148,1252,272_LC_4,4,3,1252,130
AMCHAM CHILE,Las Condes,3,AV. KENNEDY 5735 OF.201 TORRE PONIENTE,273,4,90,LC,273_LC_4,21600,19649,18256,13140,16716,15666,4552,1427,273_LC_4,4,3,1427,90
ARAUCO SALUD S.A.,Las Condes,3,KENNEDY 5757 TORRE ORIENTE OF-702,343,5,45,LC,343_LC_5,21600,19721,18258,13221,16790,15671,5010,1661,343_LC_5,5,3,1661,45
ARAWAK S.A. SERVICIOS PERSONALES,Santiago,1,PORVENIR 464,274,4,60,SA,274_SA_4,21600,19878,18290,13284,16991,15680,5206,1797,274_SA_4,4,1,1797,60
ARTEL S.A.I.C.,Santiago,1,"MATIAS COUSI??""O 54 PISO 2",3,1,75,SA,3_SA_1,21600,19990,18295,13596,17026,15699,5395,1846,3_SA_1,1,1,1846,75
ASEA BROWN BOVERI S.A.,"??""u?'oa",5,"VICU??""A MACKENNA 1602 RECEPCION.",106,2,75,NU,106_NU_2,21600,20002,18319,13870,17058,15991,5802,1961,106_NU_2,2,5,1961,75
ASESORES EN VIAJE S.A.,Providencia,2,Las Bellotas # 225,107,2,30,PR,107_PR_2,21600,20064,18330,13896,17143,16003,5867,2315,107_PR_2,2,2,2315,30
ASOC.FUNC.MUNICIP.DE LAS CONDES,Las Condes,3,APOQUINDO 3076 SUBTERRANEO,344,5,120,LC,344_LC_5,21600,20074,18366,14058,17158,16355,6376,2340,344_LC_5,5,3,2340,120
ASOC.FUNC.MUNICIP.DE LAS CONDES,Las Condes,3,AV. APOQUINDO 3076 INTERIOR  SUBTE,108,2,10,LC,108_LC_2,21600,20074,18366,14058,17158,16355,6376,2340,108_LC_2,2,3,2340,10
ASOCIADOS UNDURRAGA IMPRESORES LTDA.,Santiago,1,ANDES 3561,345,5,150,SA,345_SA_5,21600,20094,18401,14324,17248,16408,6822,2604,345_SA_5,5,1,2604,150
AUTOMOVIL CLUB DE CHILE,Providencia,2,ANDRES BELLO 1863 PISO 2,194,3,20,PR,194_PR_3,21600,20098,18458,14408,17292,16549,7450,3010,194_PR_3,3,2,3010,20
"BAEZA Y COMPA??""IA LTDA.",Las Condes,3,APOQUINDO 3001 PISO 12 OFIC. 1203,4,1,120,LC,4_LC_1,21600,20100,18560,14466,17475,16572,7654,3039,4_LC_1,1,3,3039,120
BANCO CONOSUR,Santiago,1,ALAMEDA 1980 P.4,195,3,150,SA,195_SA_3,21600,20123,18580,14542,17482,16735,7663,3595,195_SA_3,3,1,3595,150
BANCO DE CHILE,Santiago,1,AGUSTINAS 733 PISO 1 BCA.ORIVADA,5,1,90,SA,5_SA_1,21600,20124,18629,14888,17505,16795,7692,4147,5_SA_1,1,1,4147,90
BANCO DE CHILE,Santiago,1,"AGUSTINAS 951, P. 5 SALA PROC.",197,3,120,SA,197_SA_3,21600,20124,18629,14888,17505,16795,7692,4147,197_SA_3,3,1,4147,120
BANCO DE CHILE,Las Condes,3,LAS CONDES 10247 OF ESTORIL EDUARD,346,5,70,LC,346_LC_5,21600,20124,18629,14888,17505,16795,7692,4147,346_LC_5,5,3,4147,70
BANCO DE CHILE,Santiago,1,HUERFANOS 980 P.2 COMERCIO EXTERIOR-3,199,3,80,SA,199_SA_3,21600,20124,18629,14888,17505,16795,7692,4147,199_SA_3,3,1,4147,80
BANCO DE CHILE,Providencia,2,PROVIDENCIA 2178 ( STA. ISABEL ),196,3,45,PR,196_PR_3,21600,20124,18629,14888,17505,16795,7692,4147,196_PR_3,3,2,4147,45
BANCO DE CHILE,Santiago,1,ESTADO 387 P.2,198,3,60,SA,198_SA_3,21600,20124,18629,14888,17505,16795,7692,4147,198_SA_3,3,1,4147,60
BANCO DE CREDITO E INVERSIONES,Santiago,1,BANDERA 236 19-A PISO 3 CC.12282,6,1,30,SA,6_SA_1,21600,20130,18639,14938,17535,16895,7847,4153,6_SA_1,1,1,4153,30
BANCO DE CREDITO E INVERSIONES,Santiago,1,SAN DIEGO 2043,200,3,60,SA,200_SA_3,21600,20130,18639,14938,17535,16895,7847,4153,200_SA_3,3,1,4153,60
BANCO DE CREDITO E INVERSIONES,Las Condes,3,APOQUINDO 5710,201,3,270,LC,201_LC_3,21600,20130,18639,14938,17535,16895,7847,4153,201_LC_3,3,3,4153,270
BANCO DEL DESARROLLO,Santiago,1,ALAMEDA 929 P5,347,5,20,SA,347_SA_5,21600,20143,18670,15099,17570,16978,7907,4211,347_SA_5,5,1,4211,20
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P 8 SUBGCIA REGULARIZ.CRED.,7,1,290,SA,7_SA_1,21600,20166,18741,15105,17594,17130,8072,4372,7_SA_1,1,1,4372,290
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P.3 COMERCIO EXT,202,3,180,SA,202_SA_3,21600,20166,18741,15105,17594,17130,8072,4372,202_SA_3,3,1,4372,180
BANCO DEL ESTADO DE CHILE,Santiago,1,HUERFANOS 1202 P.3 OF.310,8,1,60,SA,8_SA_1,21600,20166,18741,15105,17594,17130,8072,4372,8_SA_1,1,1,4372,60
BANCO DEL ESTADO DE CHILE,Santiago,1,MORANDE 25 PISO 3,110,2,120,SA,110_SA_2,21600,20166,18741,15105,17594,17130,8072,4372,110_SA_2,2,1,4372,120
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P.6 GCIA. GRAL.FINANZAS,111,2,120,SA,111_SA_2,21600,20166,18741,15105,17594,17130,8072,4372,111_SA_2,2,1,4372,120
BANCO DEL ESTADO DE CHILE,Santiago,1,NUEVA YORK 33 P 17,112,2,60,SA,112_SA_2,21600,20166,18741,15105,17594,17130,8072,4372,112_SA_2,2,1,4372,60
BANCO DEL ESTADO DE CHILE,Santiago,1,BANDERA 861   1P,109,2,110,SA,109_SA_2,21600,20166,18741,15105,17594,17130,8072,4372,109_SA_2,2,1,4372,110
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P 3 COMERCIO EXTE,114,2,60,SA,114_SA_2,21600,20166,18741,15105,17594,17130,8072,4372,114_SA_2,2,1,4372,60
BANCO DEL ESTADO DE CHILE,Santiago,1,MORANDE 25 FISCALIA P.5 OF 503,113,2,60,SA,113_SA_2,21600,20166,18741,15105,17594,17130,8072,4372,113_SA_2,2,1,4372,60
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P.2 MODULO 6,203,3,45,SA,203_SA_3,21600,20166,18741,15105,17594,17130,8072,4372,203_SA_3,3,1,4372,45
BANCO IND.Y DE COMERCIO EXTERIOR,Providencia,2,ISIDORA GOYENECHEA 3132 P 1,115,2,90,PR,115_PR_2,21600,20193,18962,15235,17609,17272,8164,4378,115_PR_2,2,2,4378,90
BANCO INTERNACIONAL,Santiago,1,MONEDA 818 P.4 CENTRO COPIADO,348,5,60,SA,348_SA_5,21600,20217,19000,15291,17614,17330,8195,4569,348_SA_5,5,1,4569,60
BANCO INTERNACIONAL,Santiago,1,MONEDA 818 PISO 2 GCIA GRAL.,349,5,15,SA,349_SA_5,21600,20217,19000,15291,17614,17330,8195,4569,349_SA_5,5,1,4569,15
