#cliente	day	place	penalty	service
191_PR_3	3	2	152	60
101_PR_2	2	2	152	60
1_PR_1	1	2	314	90
341_SA_5	5	1	357	70
102_SA_2	2	1	490	120
2_SA_1	1	1	659	90
103_SA_2	2	1	662	120
104_LC_2	2	3	710	120
271_PR_4	4	2	901	60
105_LC_2	2	3	932	200
342_PR_5	5	2	955	60
192_PR_3	3	2	1033	130
193_LC_3	3	3	1238	70
272_LC_4	4	3	1252	130
273_LC_4	4	3	1427	90
343_LC_5	5	3	1661	45
274_SA_4	4	1	1797	60
3_SA_1	1	1	1846	75
106_NU_2	2	5	1961	75
107_PR_2	2	2	2315	30
344_LC_5	5	3	2340	120
108_LC_2	2	3	2340	10
345_SA_5	5	1	2604	150
194_PR_3	3	2	3010	20
4_LC_1	1	3	3039	120
195_SA_3	3	1	3595	150
5_SA_1	1	1	4147	90
197_SA_3	3	1	4147	120
346_LC_5	5	3	4147	70
199_SA_3	3	1	4147	80
196_PR_3	3	2	4147	45
198_SA_3	3	1	4147	60
6_SA_1	1	1	4153	30
200_SA_3	3	1	4153	60
201_LC_3	3	3	4153	270
347_SA_5	5	1	4211	20
7_SA_1	1	1	4372	290
202_SA_3	3	1	4372	180
8_SA_1	1	1	4372	60
110_SA_2	2	1	4372	120
111_SA_2	2	1	4372	120
112_SA_2	2	1	4372	60
109_SA_2	2	1	4372	110
114_SA_2	2	1	4372	60
113_SA_2	2	1	4372	60
203_SA_3	3	1	4372	45
115_PR_2	2	2	4378	90
348_SA_5	5	1	4569	60
349_SA_5	5	1	4569	15
9_SA_1	1	1	4621	360
10_SA_1	1	1	4621	60
13_SA_1	1	1	4621	60
14_SA_1	1	1	4621	90
350_SA_5	5	1	4621	180
12_SA_1	1	1	4621	75
204_SA_3	3	1	4621	80
205_SA_3	3	1	4621	60
352_PR_5	5	2	4621	70
11_SA_1	1	1	4621	120
275_SA_4	4	1	4621	90
276_SA_4	4	1	4621	60
277_SA_4	4	1	4621	120
120_SA_2	2	1	4621	55
279_SA_4	4	1	4621	300
280_NU_4	4	5	4621	60
119_SA_2	2	1	4621	60
124_SA_2	2	1	4621	30
121_LC_2	2	3	4621	45
122_SA_2	2	1	4621	50
351_SA_5	5	1	4621	60
118_SA_2	2	1	4621	120
278_PR_4	4	2	4621	150
116_SA_2	2	1	4621	60
117_SA_2	2	1	4621	140
123_SA_2	2	1	4621	50
15_SA_1	1	1	4821	240
125_SA_2	2	1	4912	60
281_PR_4	4	2	4912	70
282_LC_4	4	3	4966	90
127_PR_2	2	2	5123	80
206_PR_3	3	2	5123	35
126_PR_2	2	2	5123	180
353_SA_5	5	1	5362	5
354_PR_5	5	2	5495	30
16_SA_1	1	1	5638	110
207_SA_3	3	1	5638	50
128_SA_2	2	1	5706	120
17_NU_1	1	5	5859	180
129_NU_2	2	5	5859	120
283_SA_4	4	1	5946	180
355_LC_5	5	3	6087	150
130_SA_2	2	1	6087	90
356_SA_5	5	1	6152	150
131_PR_2	2	2	6236	215
18_SA_1	1	1	6248	90
208_SA_3	3	1	6248	90
209_SA_3	3	1	6248	45
132_SA_2	2	1	6248	20
19_SA_1	1	1	6298	180
210_SA_3	3	1	6298	180
284_SA_4	4	1	6298	240
134_SA_2	2	1	6696	60
133_SA_2	2	1	6696	90
357_SA_5	5	1	6696	60
285_SA_4	4	1	6992	60
135_SA_2	2	1	7435	60
20_SA_1	1	1	7435	60
136_LC_2	2	3	7993	30
286_PR_4	4	2	9187	60
360_LC_5	5	3	9187	10
358_PR_5	5	2	9187	70
137_PR_2	2	2	9187	150
359_LC_5	5	3	9187	10
361_SA_5	5	1	9187	10
21_NU_1	1	5	9506	90
211_NU_3	3	5	9506	40
362_PR_5	5	2	9752	240
22_PR_1	1	2	9939	60
213_LC_3	3	3	9939	90
139_PR_2	2	2	9939	60
140_SA_2	2	1	9939	50
288_SA_4	4	1	9939	60
287_PR_4	4	2	9939	90
212_SA_3	3	1	9939	40
138_VI_2	2	4	9939	90
363_VI_5	5	4	10542	10
214_VI_3	3	4	10542	25
215_PR_3	3	2	11000	45
23_SA_1	1	1	11125	90
24_PR_1	1	2	11186	100
289_LC_4	4	3	11566	110
25_PR_1	1	2	11584	90
141_NU_2	2	5	11795	150
26_NU_1	1	5	11795	420
27_LC_1	1	3	11903	180
216_SA_3	3	1	11975	80
28_SA_1	1	1	12149	30
29_SA_1	1	1	12202	60
364_PR_5	5	2	12306	1
217_SA_3	3	1	12386	150
365_SA_5	5	1	12386	120
290_SA_4	4	1	12386	60
291_SA_4	4	1	12591	150
292_PR_4	4	2	12641	50
293_PR_4	4	2	12641	165
294_SA_4	4	1	12965	90
142_LC_2	2	3	13124	50
218_SA_3	3	1	13147	120
219_SA_3	3	1	13147	90
143_SA_2	2	1	13147	180
144_SA_2	2	1	13249	90
145_LC_2	2	3	13520	60
146_SA_2	2	1	13520	165
147_LC_2	2	3	13520	30
220_PR_3	3	2	13520	60
30_PR_1	1	2	13816	60
295_LC_4	4	3	14072	60
366_SA_5	5	1	14162	20
32_SA_1	1	1	14216	90
31_SA_1	1	1	14216	90
367_PR_5	5	2	14277	15
33_LC_1	1	3	14559	150
221_PR_3	3	2	14622	35
296_SA_4	4	1	14670	90
222_PR_3	3	2	14697	60
223_PR_3	3	2	14725	40
224_PR_3	3	2	14855	50
34_LC_1	1	3	14907	80
148_SA_2	2	1	14977	90
368_PR_5	5	2	15025	5
369_SA_5	5	1	15055	120
370_SA_5	5	1	15055	140
225_SA_3	3	1	15276	80
35_SA_1	1	1	15276	105
297_SA_4	4	1	15648	100
36_LC_1	1	3	15671	60
298_PR_4	4	2	15782	120
150_SA_2	2	1	15794	120
149_SA_2	2	1	15794	235
151_SA_2	2	1	15947	120
38_PR_1	1	2	15981	80
371_PR_5	5	2	15981	30
37_PR_1	1	2	15981	60
39_LC_1	1	3	15986	90
226_PR_3	3	2	16181	65
372_LC_5	5	3	16250	60
227_LC_3	3	3	16445	120
40_SA_1	1	1	16493	60
228_SA_3	3	1	16652	100
152_LC_2	2	3	16911	1
41_LC_1	1	3	17209	120
42_PR_1	1	2	17209	60
299_LC_4	4	3	17319	60
43_SA_1	1	1	17421	207
300_SA_4	4	1	17617	105
301_SA_4	4	1	18780	75
44_PR_1	1	2	19063	25
153_PR_2	2	2	19079	230
302_SA_4	4	1	19081	90
373_SA_5	5	1	19091	60
154_PR_2	2	2	19365	170
374_PR_5	5	2	19365	105
155_SA_2	2	1	19456	240
375_PR_5	5	2	19469	170
229_SA_3	3	1	19845	60
156_PR_2	2	2	19924	80
45_VI_1	1	4	19980	75
46_SA_1	1	1	19991	90
47_SA_1	1	1	19991	90
230_PR_3	3	2	20022	30
303_LC_4	4	3	20276	60
376_PR_5	5	2	20308	75
304_VI_4	4	4	20451	120
231_SA_3	3	1	20451	80
49_SA_1	1	1	20451	60
306_SA_4	4	1	20451	270
305_PR_4	4	2	20451	25
377_PR_5	5	2	20451	30
157_SA_2	2	1	20451	150
48_SA_1	1	1	20451	60
232_PR_3	3	2	20451	120
307_SA_4	4	1	20813	120
233_SA_3	3	1	20819	40
378_PR_5	5	2	21042	30
234_LC_3	3	3	21065	60
235_LC_3	3	3	21112	120
379_LC_5	5	3	21371	60
50_LC_1	1	3	21641	80
158_PR_2	2	2	21833	85
236_VI_3	3	4	21846	90
308_PR_4	4	2	21878	30
237_PR_3	3	2	21878	70
159_SA_2	2	1	21961	55
51_SA_1	1	1	21961	90
160_PR_2	2	2	22033	60
309_PR_4	4	2	22504	60
310_PR_4	4	2	22504	120
161_LC_2	2	3	22801	180
238_SA_3	3	1	23098	60
162_SA_2	2	1	23163	1
239_SA_3	3	1	23461	180
52_PR_1	1	2	23759	30
240_PR_3	3	2	23759	60
53_NU_1	1	5	23805	90
311_PR_4	4	2	23882	60
241_SA_3	3	1	24133	20
55_LC_1	1	3	24355	60
54_LC_1	1	3	24355	60
312_PR_4	4	2	24635	50
56_LC_1	1	3	24825	150
313_PR_4	4	2	24918	50
163_PR_2	2	2	24918	120
164_NU_2	2	5	24990	90
314_SA_4	4	1	25037	20
380_LC_5	5	3	25317	234
59_SA_1	1	1	25986	60
57_SA_1	1	1	25986	60
58_SA_1	1	1	25986	60
165_SA_2	2	1	26815	120
60_LC_1	1	3	26905	90
167_SA_2	2	1	27301	60
64_SA_1	1	1	27301	10
62_SA_1	1	1	27301	150
61_SA_1	1	1	27301	30
166_SA_2	2	1	27301	40
65_SA_1	1	1	27301	30
63_SA_1	1	1	27301	75
381_SA_5	5	1	27301	60
242_LC_3	3	3	27670	40
315_SA_4	4	1	27910	180
316_NU_4	4	5	28053	60
66_PR_1	1	2	28210	75
168_SA_2	2	1	28868	60
67_SA_1	1	1	29116	60
317_LC_4	4	3	29227	45
243_SA_3	3	1	29374	120
318_SA_4	4	1	29374	240
68_SA_1	1	1	29693	120
69_VI_1	1	4	30210	60
382_PR_5	5	2	30426	30
319_PR_4	4	2	30703	90
71_PR_1	1	2	30834	520
70_SA_1	1	1	30834	180
170_SA_2	2	1	30834	120
244_SA_3	3	1	30834	80
169_LC_2	2	3	30834	135
171_PR_2	2	2	30908	65
172_NU_2	2	5	31592	60
321_SA_4	4	1	31648	240
383_SA_5	5	1	31648	240
73_PR_1	1	2	31648	120
72_SA_1	1	1	31648	195
320_SA_4	4	1	31648	120
322_SA_4	4	1	31648	90
245_SA_3	3	1	31683	160
384_SA_5	5	1	31683	240
323_SA_4	4	1	31683	120
246_LC_3	3	3	31987	100
247_SA_3	3	1	32016	90
74_SA_1	1	1	32402	60
75_SA_1	1	1	32439	75
174_SA_2	2	1	32439	360
173_SA_2	2	1	32439	55
175_SA_2	2	1	32439	90
385_SA_5	5	1	32439	60
248_SA_3	3	1	32561	60
176_SA_2	2	1	32678	90
177_PR_2	2	2	32912	50
249_SA_3	3	1	32958	75
76_SA_1	1	1	33156	100
250_SA_3	3	1	33866	60
77_SA_1	1	1	33866	120
178_NU_2	2	5	34058	20
324_SA_4	4	1	34173	130
325_PR_4	4	2	34686	180
386_SA_5	5	1	35401	90
179_PR_2	2	2	35804	100
251_PR_3	3	2	36147	60
180_LC_2	2	3	36911	60
326_SA_4	4	1	37602	1
78_SA_1	1	1	37602	60
79_SA_1	1	1	37602	100
181_LC_2	2	3	37602	120
252_SA_3	3	1	37602	55
387_SA_5	5	1	37771	90
80_SA_1	1	1	38313	90
81_SA_1	1	1	38468	60
388_SA_5	5	1	38524	60
389_SA_5	5	1	39073	90
253_SA_3	3	1	39073	60
82_VI_1	1	4	39352	30
390_LC_5	5	3	39449	180
255_PR_3	3	2	39780	150
254_PR_3	3	2	39780	60
256_PR_3	3	2	39827	90
257_SA_3	3	1	39861	5
258_SA_3	3	1	39933	120
83_SA_1	1	1	39933	240
327_SA_4	4	1	40053	120
84_LC_1	1	3	40303	15
85_PR_1	1	2	40346	70
86_PR_1	1	2	40744	90
259_SA_3	3	1	41027	110
260_SA_3	3	1	41034	120
261_SA_3	3	1	41497	90
87_SA_1	1	1	41981	60
262_SA_3	3	1	41981	120
88_LC_1	1	3	42019	120
328_LC_4	4	3	42114	120
329_LC_4	4	3	42114	90
182_LC_2	2	3	43085	60
183_NU_2	2	5	43190	20
263_SA_3	3	1	43410	60
184_SA_2	2	1	43410	15
185_SA_2	2	1	44249	35
331_SA_4	4	1	44249	160
330_SA_4	4	1	44249	120
264_SA_3	3	1	44314	65
186_PR_2	2	2	44985	120
187_SA_2	2	1	45413	210
89_PR_1	1	2	45533	70
90_SA_1	1	1	46343	90
391_LC_5	5	3	46437	75
393_PR_5	5	2	47325	150
91_PR_1	1	2	47325	120
392_PR_5	5	2	47325	35
188_VI_2	2	4	48168	100
332_PR_4	4	2	48469	120
265_PR_3	3	2	49498	100
92_SA_1	1	1	49684	60
333_VI_4	4	4	50334	90
394_PR_5	5	2	51248	75
93_SA_1	1	1	51289	90
94_NU_1	1	5	51304	160
95_SA_1	1	1	51717	140
334_SA_4	4	1	51835	30
96_VI_1	1	4	54486	50
98_PR_1	1	2	56374	10
97_PR_1	1	2	56374	20
335_SA_4	4	1	56906	30
266_SA_3	3	1	57675	80
99_SA_1	1	1	59192	75
267_NU_3	3	5	59212	50
336_VI_4	4	4	59307	240
337_PR_4	4	2	64245	1
395_SA_5	5	1	64649	90
338_SA_4	4	1	64649	60
396_SA_5	5	1	64862	60
397_SA_5	5	1	64862	10
268_SA_3	3	1	65169	90
398_NU_5	5	5	65739	150
340_SA_4	4	1	65739	60
339_SA_4	4	1	65739	140
189_PR_2	2	2	65739	80
399_SA_5	5	1	73657	60
190_SA_2	2	1	73657	30
100_PR_1	1	2	82595	60
269_SA_3	3	1	88376	40
400_PR_5	5	2	91513	45
270_PR_3	3	2	92373	75
