"","razonSocial","nomComuna","place","direccion","idCust","weekday","serviceTime","COD","Name","p10","p15","p20","p25","p30","p35","p40"
"1","A.F.P. PROVIDA S.A.","Providencia",2,"P. DE VALDIVIA 100 PISO 5",191,3,60,"PR","191_PR_3",16180.4099399227,13756.1503852936,11997.9832795031,10210.9021618298,8237.82831321902,6917.58201779142,6578.39190749811
"2","A.F.P. PROVIDA S.A.","Providencia",2,"PEDRO DE VALDIVIA 100  PISO 3",101,2,60,"PR","101_PR_2",16180.4099399227,13756.1503852936,11997.9832795031,10210.9021618298,8237.82831321902,6917.58201779142,6578.39190749811
"3","A.F.P. SANTA MARIA S.A.","Providencia",2,"SUECIA  211  P. 13",1,1,90,"PR","1_PR_1",17187.283193672,14641.2686939054,13026.5968232547,11287.1562877029,10289.3028947217,8118.18649654609,7555.16383289054
"4","A.F.P. SUMMA-BANSANDER S.A.","Santiago",1,"AGUSTINAS 540 PISO 3",341,5,70,"SA","341_SA_5",17308.9433741856,15062.8113632504,13253.0942102832,11520.0274053211,10764.4179192275,10591.0596681207,7791.63370936317
"5","ABASTIBLE SA","Santiago",1,"VICUóA MACKENNA 55 OF.303",102,2,120,"SA","102_SA_2",17684.2925708943,15199.8391663684,13278.7546807191,11782.4835935084,11482.8863558096,10915.5073321212,8517.55649813699
"6","ACTION LINE CHILE S.A.","Santiago",1,"MAC IVER 440 PISO 6",2,1,90,"SA","2_SA_1",17703.425379179,15322.5364880697,13332.4812804238,11847.7210933341,11535.6182230416,11553.2902503446,8652.35818653655
"7","ADMINISTRADORA CMR FALABELLA LTDA","Santiago",1,"STA ELENA 1422",103,2,120,"SA","103_SA_2",17836.6864380343,15378.3382367852,13549.516867354,11940.5192387302,12170.1906917217,11726.0940863454,9128.65360550354
"8","AES GENER S.A.","Las Condes",3,"SANCHEZ FONTECILLA 310 P 3",104,2,120,"LC","104_LC_2",18032.8925069758,15694.1686133126,13786.127044201,12338.7852146542,12310.2434802109,12319.5083024942,9183.11162900007
"9","AG. DE ADUANA R. FUENZALIDA Y CIA. LTDA.","Providencia",2,"LA CONCEPCION 322 PISO 5 OF.504",271,4,60,"PR","271_PR_4",18162.7260357393,15768.4462544653,13906.2287353133,12493.6976293526,12374.5807138314,12441.1754035801,9275.3193654079
"10","AHK BUSINESS CENTER","Las Condes",3,"BOSQUE NORTE 0440 OF.601 (1-2-5)",105,2,200,"LC","105_LC_2",18287.1032519197,15921.9788982855,14151.5800919337,12814.8957311367,12416.3045028563,12625.4822773046,9352.65075179946
"11","ALGAS MARINAS S.A. ALGAMAR","Providencia",2,"FIDEL OTEIZA 1956  P 14",342,5,60,"PR","342_PR_5",18331.7175904079,16066.7685648501,14574.2204426256,12871.9489502084,12457.6518492262,12922.9369099578,9701.61447097291
