#cliente	day	place	penalty	service
191_PR_3	3	2	16180	60
101_PR_2	2	2	16180	60
1_PR_1	1	2	17187	90
341_SA_5	5	1	17309	70
102_SA_2	2	1	17684	120
2_SA_1	1	1	17703	90
103_SA_2	2	1	17837	120
104_LC_2	2	3	18033	120
271_PR_4	4	2	18163	60
105_LC_2	2	3	18287	200
342_PR_5	5	2	18332	60
192_PR_3	3	2	18396	130
193_LC_3	3	3	18524	70
272_LC_4	4	3	18548	130
273_LC_4	4	3	18557	90
343_LC_5	5	3	18615	45
274_SA_4	4	1	18646	60
3_SA_1	1	1	18652	75
106_NU_2	2	5	18732	75
107_PR_2	2	2	18807	30
344_LC_5	5	3	18821	120
108_LC_2	2	3	18821	10
345_SA_5	5	1	18834	150
194_PR_3	3	2	18993	20
4_LC_1	1	3	19011	120
195_SA_3	3	1	19055	150
5_SA_1	1	1	19056	90
197_SA_3	3	1	19056	120
346_LC_5	5	3	19056	70
199_SA_3	3	1	19056	80
196_PR_3	3	2	19056	45
198_SA_3	3	1	19056	60
6_SA_1	1	1	19098	30
200_SA_3	3	1	19098	60
201_LC_3	3	3	19098	270
347_SA_5	5	1	19110	20
7_SA_1	1	1	19142	290
202_SA_3	3	1	19142	180
8_SA_1	1	1	19142	60
110_SA_2	2	1	19142	120
111_SA_2	2	1	19142	120
112_SA_2	2	1	19142	60
109_SA_2	2	1	19142	110
114_SA_2	2	1	19142	60
113_SA_2	2	1	19142	60
203_SA_3	3	1	19142	45
115_PR_2	2	2	19183	90
348_SA_5	5	1	19241	60
349_SA_5	5	1	19241	15
9_SA_1	1	1	19293	360
10_SA_1	1	1	19293	60
13_SA_1	1	1	19293	60
14_SA_1	1	1	19293	90
350_SA_5	5	1	19293	180
12_SA_1	1	1	19293	75
204_SA_3	3	1	19293	80
205_SA_3	3	1	19293	60
352_PR_5	5	2	19293	70
11_SA_1	1	1	19293	120
275_SA_4	4	1	19293	90
276_SA_4	4	1	19293	60
277_SA_4	4	1	19293	120
120_SA_2	2	1	19293	55
279_SA_4	4	1	19293	300
280_NU_4	4	5	19293	60
119_SA_2	2	1	19293	60
124_SA_2	2	1	19293	30
121_LC_2	2	3	19293	45
122_SA_2	2	1	19293	50
351_SA_5	5	1	19293	60
118_SA_2	2	1	19293	120
278_PR_4	4	2	19293	150
116_SA_2	2	1	19293	60
117_SA_2	2	1	19293	140
123_SA_2	2	1	19293	50
15_SA_1	1	1	19319	240
125_SA_2	2	1	19398	60
281_PR_4	4	2	19398	70
282_LC_4	4	3	19451	90
127_PR_2	2	2	19458	80
206_PR_3	3	2	19458	35
126_PR_2	2	2	19458	180
353_SA_5	5	1	19514	5
354_PR_5	5	2	19572	30
16_SA_1	1	1	19674	110
207_SA_3	3	1	19674	50
128_SA_2	2	1	19683	120
17_NU_1	1	5	19689	180
129_NU_2	2	5	19689	120
283_SA_4	4	1	19719	180
355_LC_5	5	3	19783	150
130_SA_2	2	1	19783	90
356_SA_5	5	1	19868	150
131_PR_2	2	2	19899	215
18_SA_1	1	1	20007	90
208_SA_3	3	1	20007	90
209_SA_3	3	1	20007	45
132_SA_2	2	1	20007	20
19_SA_1	1	1	20038	180
210_SA_3	3	1	20038	180
284_SA_4	4	1	20038	240
134_SA_2	2	1	20053	60
133_SA_2	2	1	20053	90
357_SA_5	5	1	20053	60
285_SA_4	4	1	20076	60
135_SA_2	2	1	20120	60
20_SA_1	1	1	20120	60
136_LC_2	2	3	20125	30
286_PR_4	4	2	20162	60
360_LC_5	5	3	20162	10
358_PR_5	5	2	20162	70
137_PR_2	2	2	20162	150
359_LC_5	5	3	20162	10
361_SA_5	5	1	20162	10
21_NU_1	1	5	20177	90
211_NU_3	3	5	20177	40
362_PR_5	5	2	20231	240
22_PR_1	1	2	20236	60
213_LC_3	3	3	20236	90
139_PR_2	2	2	20236	60
140_SA_2	2	1	20236	50
288_SA_4	4	1	20236	60
287_PR_4	4	2	20236	90
212_SA_3	3	1	20236	40
138_VI_2	2	4	20236	90
363_VI_5	5	4	20239	10
214_VI_3	3	4	20239	25
215_PR_3	3	2	20260	45
23_SA_1	1	1	20270	90
24_PR_1	1	2	20281	100
289_LC_4	4	3	20288	110
25_PR_1	1	2	20299	90
141_NU_2	2	5	20299	150
26_NU_1	1	5	20299	420
27_LC_1	1	3	20301	180
216_SA_3	3	1	20303	80
28_SA_1	1	1	20318	30
29_SA_1	1	1	20363	60
364_PR_5	5	2	20365	1
217_SA_3	3	1	20397	150
365_SA_5	5	1	20397	120
290_SA_4	4	1	20397	60
291_SA_4	4	1	20406	150
292_PR_4	4	2	20455	50
293_PR_4	4	2	20455	165
294_SA_4	4	1	20459	90
142_LC_2	2	3	20489	50
218_SA_3	3	1	20534	120
219_SA_3	3	1	20534	90
143_SA_2	2	1	20534	180
144_SA_2	2	1	20591	90
145_LC_2	2	3	20601	60
146_SA_2	2	1	20601	165
147_LC_2	2	3	20601	30
220_PR_3	3	2	20601	60
30_PR_1	1	2	20622	60
295_LC_4	4	3	20626	60
366_SA_5	5	1	20663	20
32_SA_1	1	1	20690	90
31_SA_1	1	1	20690	90
367_PR_5	5	2	20722	15
33_LC_1	1	3	20753	150
221_PR_3	3	2	20765	35
296_SA_4	4	1	20768	90
222_PR_3	3	2	20792	60
223_PR_3	3	2	20821	40
224_PR_3	3	2	20876	50
34_LC_1	1	3	20890	80
148_SA_2	2	1	20896	90
368_PR_5	5	2	20897	5
369_SA_5	5	1	20911	120
370_SA_5	5	1	20911	140
225_SA_3	3	1	20920	80
35_SA_1	1	1	20920	105
297_SA_4	4	1	20924	100
36_LC_1	1	3	20943	60
298_PR_4	4	2	20950	120
150_SA_2	2	1	20953	120
