#cliente	day	place	penalty	service
191_PR_3	3	2	1964	60
101_PR_2	2	2	4644	60
1_PR_1	1	2	1547	90
341_SA_5	5	1	9691	70
102_SA_2	2	1	1735	120
2_SA_1	1	1	47820	90
103_SA_2	2	1	55540	120
104_LC_2	2	3	432	120
271_PR_4	4	2	19675	60
105_LC_2	2	3	61281	200
342_PR_5	5	2	1048	60
192_PR_3	3	2	2902	130
193_LC_3	3	3	2118	70
272_LC_4	4	3	51671	130
273_LC_4	4	3	5591	90
343_LC_5	5	3	45853	45
274_SA_4	4	1	44564	60
3_SA_1	1	1	52242	75
106_NU_2	2	5	53704	75
107_PR_2	2	2	44140	30
344_LC_5	5	3	41227	120
108_LC_2	2	3	49657	10
345_SA_5	5	1	2881	150
194_PR_3	3	2	50324	20
4_LC_1	1	3	1958	120
195_SA_3	3	1	918	150
5_SA_1	1	1	41365	90
197_SA_3	3	1	51935	120
346_LC_5	5	3	51562	70
199_SA_3	3	1	57542	80
196_PR_3	3	2	53316	45
198_SA_3	3	1	53586	60
6_SA_1	1	1	1370	30
200_SA_3	3	1	4117	60
201_LC_3	3	3	7526	270
347_SA_5	5	1	60601	20
7_SA_1	1	1	53067	290
202_SA_3	3	1	50530	180
8_SA_1	1	1	55709	60
110_SA_2	2	1	50653	120
111_SA_2	2	1	46886	120
112_SA_2	2	1	54476	60
109_SA_2	2	1	48945	110
114_SA_2	2	1	53389	60
113_SA_2	2	1	50269	60
203_SA_3	3	1	60864	45
115_PR_2	2	2	50371	90
348_SA_5	5	1	12920	60
349_SA_5	5	1	7128	15
9_SA_1	1	1	6564	360
10_SA_1	1	1	14116	60
13_SA_1	1	1	4551	60
14_SA_1	1	1	1692	90
350_SA_5	5	1	9352	180
12_SA_1	1	1	557	75
204_SA_3	3	1	2363	80
205_SA_3	3	1	4677	60
352_PR_5	5	2	8739	70
11_SA_1	1	1	6371	120
275_SA_4	4	1	4729	90
276_SA_4	4	1	2217	60
277_SA_4	4	1	3858	120
120_SA_2	2	1	1299	55
279_SA_4	4	1	7458	300
280_NU_4	4	5	5268	60
119_SA_2	2	1	1896	60
124_SA_2	2	1	1665	30
121_LC_2	2	3	2002	45
122_SA_2	2	1	2660	50
351_SA_5	5	1	9135	60
118_SA_2	2	1	2218	120
278_PR_4	4	2	424	150
116_SA_2	2	1	3522	60
117_SA_2	2	1	10079	140
123_SA_2	2	1	2609	50
15_SA_1	1	1	42596	240
125_SA_2	2	1	57807	60
281_PR_4	4	2	59819	70
282_LC_4	4	3	31872	90
127_PR_2	2	2	115175	80
206_PR_3	3	2	110676	35
126_PR_2	2	2	123443	180
353_SA_5	5	1	7979	5
354_PR_5	5	2	52533	30
16_SA_1	1	1	12774	110
207_SA_3	3	1	9086	50
128_SA_2	2	1	3442	120
17_NU_1	1	5	858	180
129_NU_2	2	5	5598	120
283_SA_4	4	1	12451	180
355_LC_5	5	3	2384	150
130_SA_2	2	1	2569	90
356_SA_5	5	1	3041	150
131_PR_2	2	2	57151	215
18_SA_1	1	1	1773	90
208_SA_3	3	1	4611	90
209_SA_3	3	1	1917	45
132_SA_2	2	1	2021	20
19_SA_1	1	1	97241	180
210_SA_3	3	1	85842	180
284_SA_4	4	1	103944	240
134_SA_2	2	1	55968	60
