#cliente	day	place	penalty	service
191_PR_3	3	2	1821	60
101_PR_2	2	2	2392	60
1_PR_1	1	2	483	90
341_SA_5	5	1	1587	70
102_SA_2	2	1	4088	120
2_SA_1	1	1	47550	90
103_SA_2	2	1	48357	120
104_LC_2	2	3	419	120
271_PR_4	4	2	25036	60
105_LC_2	2	3	54258	200
342_PR_5	5	2	533	60
192_PR_3	3	2	3714	130
193_LC_3	3	3	1993	70
272_LC_4	4	3	39059	130
273_LC_4	4	3	1275	90
343_LC_5	5	3	46415	45
274_SA_4	4	1	52556	60
3_SA_1	1	1	40242	75
106_NU_2	2	5	51803	75
107_PR_2	2	2	46202	30
344_LC_5	5	3	62722	120
108_LC_2	2	3	48315	10
345_SA_5	5	1	287	150
194_PR_3	3	2	58811	20
4_LC_1	1	3	2227	120
195_SA_3	3	1	3063	150
5_SA_1	1	1	29375	90
197_SA_3	3	1	61543	120
346_LC_5	5	3	59577	70
199_SA_3	3	1	52941	80
196_PR_3	3	2	36460	45
198_SA_3	3	1	38661	60
6_SA_1	1	1	7227	30
200_SA_3	3	1	5761	60
201_LC_3	3	3	7136	270
347_SA_5	5	1	49553	20
7_SA_1	1	1	65877	290
202_SA_3	3	1	30440	180
8_SA_1	1	1	30470	60
110_SA_2	2	1	64243	120
111_SA_2	2	1	52187	120
112_SA_2	2	1	46787	60
109_SA_2	2	1	54140	110
114_SA_2	2	1	43433	60
113_SA_2	2	1	41752	60
203_SA_3	3	1	46174	45
115_PR_2	2	2	61251	90
348_SA_5	5	1	4977	60
349_SA_5	5	1	6691	15
9_SA_1	1	1	840	360
10_SA_1	1	1	747	60
13_SA_1	1	1	563	60
14_SA_1	1	1	670	90
350_SA_5	5	1	473	180
12_SA_1	1	1	699	75
204_SA_3	3	1	441	80
205_SA_3	3	1	747	60
352_PR_5	5	2	537	70
11_SA_1	1	1	506	120
275_SA_4	4	1	506	90
276_SA_4	4	1	584	60
277_SA_4	4	1	352	120
120_SA_2	2	1	697	55
279_SA_4	4	1	700	300
280_NU_4	4	5	858	60
119_SA_2	2	1	668	60
124_SA_2	2	1	790	30
121_LC_2	2	3	654	45
122_SA_2	2	1	668	50
351_SA_5	5	1	566	60
118_SA_2	2	1	568	120
278_PR_4	4	2	544	150
116_SA_2	2	1	651	60
117_SA_2	2	1	748	140
123_SA_2	2	1	668	50
15_SA_1	1	1	60182	240
125_SA_2	2	1	25180	60
281_PR_4	4	2	57098	70
282_LC_4	4	3	11625	90
127_PR_2	2	2	108196	80
206_PR_3	3	2	70185	35
126_PR_2	2	2	150438	180
353_SA_5	5	1	199	5
354_PR_5	5	2	62421	30
16_SA_1	1	1	322	110
207_SA_3	3	1	363	50
128_SA_2	2	1	201	120
17_NU_1	1	5	1147	180
129_NU_2	2	5	1077	120
283_SA_4	4	1	1526	180
355_LC_5	5	3	1344	150
130_SA_2	2	1	1631	90
356_SA_5	5	1	396	150
131_PR_2	2	2	41690	215
18_SA_1	1	1	1147	90
208_SA_3	3	1	1383	90
209_SA_3	3	1	1065	45
132_SA_2	2	1	1598	20
19_SA_1	1	1	101928	180
210_SA_3	3	1	138856	180
284_SA_4	4	1	72935	240
134_SA_2	2	1	34698	60
133_SA_2	2	1	36403	90
357_SA_5	5	1	50183	60
285_SA_4	4	1	45854	60
135_SA_2	2	1	52572	60
20_SA_1	1	1	58329	60
136_LC_2	2	3	388	30
286_PR_4	4	2	51133	60
360_LC_5	5	3	39677	10
358_PR_5	5	2	72385	70
137_PR_2	2	2	64534	150
359_LC_5	5	3	62784	10
361_SA_5	5	1	67639	10
21_NU_1	1	5	17861	90
211_NU_3	3	5	22381	40
362_PR_5	5	2	38949	240
22_PR_1	1	2	38515	60
213_LC_3	3	3	58321	90
139_PR_2	2	2	39472	60
140_SA_2	2	1	48353	50
288_SA_4	4	1	41974	60
287_PR_4	4	2	45288	90
212_SA_3	3	1	60131	40
138_VI_2	2	4	63954	90
363_VI_5	5	4	2564	10
214_VI_3	3	4	2317	25
215_PR_3	3	2	42543	45
23_SA_1	1	1	61151	90
24_PR_1	1	2	8840	100
289_LC_4	4	3	29227	110
25_PR_1	1	2	7614	90
141_NU_2	2	5	348	150
26_NU_1	1	5	384	420
27_LC_1	1	3	2363	180
216_SA_3	3	1	21383	80
28_SA_1	1	1	400	30
29_SA_1	1	1	55402	60
364_PR_5	5	2	1214	1
217_SA_3	3	1	1207	150
365_SA_5	5	1	919	120
290_SA_4	4	1	741	60
291_SA_4	4	1	2376	150
292_PR_4	4	2	2546	50
