#cliente	day	place	penalty	service
191_PR_3	3	2	11998	60
101_PR_2	2	2	11998	60
1_PR_1	1	2	13027	90
341_SA_5	5	1	13253	70
102_SA_2	2	1	13279	120
2_SA_1	1	1	13332	90
103_SA_2	2	1	13550	120
104_LC_2	2	3	13786	120
271_PR_4	4	2	13906	60
105_LC_2	2	3	14152	200
342_PR_5	5	2	14574	60
192_PR_3	3	2	14588	130
193_LC_3	3	3	14919	70
272_LC_4	4	3	15093	130
273_LC_4	4	3	15109	90
343_LC_5	5	3	15156	45
274_SA_4	4	1	15422	60
3_SA_1	1	1	15706	75
106_NU_2	2	5	15770	75
107_PR_2	2	2	15928	30
344_LC_5	5	3	15942	120
108_LC_2	2	3	15942	10
345_SA_5	5	1	16012	150
194_PR_3	3	2	16141	20
4_LC_1	1	3	16216	120
195_SA_3	3	1	16228	150
5_SA_1	1	1	16329	90
197_SA_3	3	1	16329	120
346_LC_5	5	3	16329	70
199_SA_3	3	1	16329	80
196_PR_3	3	2	16329	45
198_SA_3	3	1	16329	60
6_SA_1	1	1	16402	30
200_SA_3	3	1	16402	60
201_LC_3	3	3	16402	270
347_SA_5	5	1	16414	20
7_SA_1	1	1	16503	290
202_SA_3	3	1	16503	180
8_SA_1	1	1	16503	60
110_SA_2	2	1	16503	120
111_SA_2	2	1	16503	120
112_SA_2	2	1	16503	60
109_SA_2	2	1	16503	110
114_SA_2	2	1	16503	60
113_SA_2	2	1	16503	60
203_SA_3	3	1	16503	45
115_PR_2	2	2	16508	90
348_SA_5	5	1	16526	60
349_SA_5	5	1	16526	15
9_SA_1	1	1	16537	360
10_SA_1	1	1	16537	60
13_SA_1	1	1	16537	60
14_SA_1	1	1	16537	90
350_SA_5	5	1	16537	180
12_SA_1	1	1	16537	75
204_SA_3	3	1	16537	80
205_SA_3	3	1	16537	60
352_PR_5	5	2	16537	70
11_SA_1	1	1	16537	120
275_SA_4	4	1	16537	90
276_SA_4	4	1	16537	60
277_SA_4	4	1	16537	120
120_SA_2	2	1	16537	55
279_SA_4	4	1	16537	300
280_NU_4	4	5	16537	60
119_SA_2	2	1	16537	60
124_SA_2	2	1	16537	30
121_LC_2	2	3	16537	45
122_SA_2	2	1	16537	50
351_SA_5	5	1	16537	60
118_SA_2	2	1	16537	120
278_PR_4	4	2	16537	150
116_SA_2	2	1	16537	60
117_SA_2	2	1	16537	140
