#cliente	day	place	penalty	service
191_PR_3	3	2	274684	60
101_PR_2	2	2	274684	60
1_PR_1	1	2	292358	90
341_SA_5	5	1	300775	70
102_SA_2	2	1	303511	120
2_SA_1	1	1	305962	90
103_SA_2	2	1	307076	120
104_LC_2	2	3	313382	120
271_PR_4	4	2	314865	60
105_LC_2	2	3	317931	200
342_PR_5	5	2	320822	60
192_PR_3	3	2	323433	130
193_LC_3	3	3	324111	70
272_LC_4	4	3	325825	130
273_LC_4	4	3	331261	90
343_LC_5	5	3	337389	45
274_SA_4	4	1	338321	60
3_SA_1	1	1	340858	75
106_NU_2	2	5	341547	75
107_PR_2	2	2	342769	30
344_LC_5	5	3	346798	120
108_LC_2	2	3	346798	10
345_SA_5	5	1	348044	150
194_PR_3	3	2	348239	20
4_LC_1	1	3	349150	120
195_SA_3	3	1	351395	150
5_SA_1	1	1	351544	90
197_SA_3	3	1	351544	120
346_LC_5	5	3	351544	70
199_SA_3	3	1	351544	80
196_PR_3	3	2	351544	45
198_SA_3	3	1	351544	60
6_SA_1	1	1	353908	30
200_SA_3	3	1	353908	60
201_LC_3	3	3	353908	270
347_SA_5	5	1	354033	20
7_SA_1	1	1	355209	290
202_SA_3	3	1	355209	180
8_SA_1	1	1	355209	60
110_SA_2	2	1	355209	120
111_SA_2	2	1	355209	120
112_SA_2	2	1	355209	60
109_SA_2	2	1	355209	110
114_SA_2	2	1	355209	60
113_SA_2	2	1	355209	60
203_SA_3	3	1	355209	45
115_PR_2	2	2	360849	90
348_SA_5	5	1	361691	60
349_SA_5	5	1	361691	15
9_SA_1	1	1	362012	360
10_SA_1	1	1	362012	60
13_SA_1	1	1	362012	60
14_SA_1	1	1	362012	90
350_SA_5	5	1	362012	180
12_SA_1	1	1	362012	75
204_SA_3	3	1	362012	80
205_SA_3	3	1	362012	60
352_PR_5	5	2	362012	70
11_SA_1	1	1	362012	120
275_SA_4	4	1	362012	90
276_SA_4	4	1	362012	60
277_SA_4	4	1	362012	120
120_SA_2	2	1	362012	55
279_SA_4	4	1	362012	300
280_NU_4	4	5	362012	60
119_SA_2	2	1	362012	60
124_SA_2	2	1	362012	30
121_LC_2	2	3	362012	45
122_SA_2	2	1	362012	50
351_SA_5	5	1	362012	60
118_SA_2	2	1	362012	120
278_PR_4	4	2	362012	150
116_SA_2	2	1	362012	60
117_SA_2	2	1	362012	140
123_SA_2	2	1	362012	50
15_SA_1	1	1	363146	240
125_SA_2	2	1	365217	60
281_PR_4	4	2	365217	70
282_LC_4	4	3	365327	90
127_PR_2	2	2	366223	80
206_PR_3	3	2	366223	35
126_PR_2	2	2	366223	180
353_SA_5	5	1	367715	5
354_PR_5	5	2	368608	30
16_SA_1	1	1	368809	110
207_SA_3	3	1	368809	50
128_SA_2	2	1	369868	120
17_NU_1	1	5	370989	180
129_NU_2	2	5	370989	120
283_SA_4	4	1	371173	180
355_LC_5	5	3	374598	150
130_SA_2	2	1	374598	90
356_SA_5	5	1	375471	150
131_PR_2	2	2	375533	215
18_SA_1	1	1	377657	90
208_SA_3	3	1	377657	90
209_SA_3	3	1	377657	45
132_SA_2	2	1	377657	20
19_SA_1	1	1	378881	180
210_SA_3	3	1	378881	180
284_SA_4	4	1	378881	240
134_SA_2	2	1	379574	60
133_SA_2	2	1	379574	90
357_SA_5	5	1	379574	60
285_SA_4	4	1	381216	60
135_SA_2	2	1	381779	60
20_SA_1	1	1	381779	60
136_LC_2	2	3	381898	30
286_PR_4	4	2	383712	60
360_LC_5	5	3	383712	10
358_PR_5	5	2	383712	70
137_PR_2	2	2	383712	150
359_LC_5	5	3	383712	10
361_SA_5	5	1	383712	10
21_NU_1	1	5	384142	90
211_NU_3	3	5	384142	40
362_PR_5	5	2	385251	240
22_PR_1	1	2	387439	60
213_LC_3	3	3	387439	90
139_PR_2	2	2	387439	60
140_SA_2	2	1	387439	50
288_SA_4	4	1	387439	60
287_PR_4	4	2	387439	90
212_SA_3	3	1	387439	40
138_VI_2	2	4	387439	90
363_VI_5	5	4	387716	10
214_VI_3	3	4	387716	25
215_PR_3	3	2	387975	45
23_SA_1	1	1	388248	90
24_PR_1	1	2	388463	100
289_LC_4	4	3	389420	110
25_PR_1	1	2	390177	90
141_NU_2	2	5	390903	150
26_NU_1	1	5	390903	420
27_LC_1	1	3	391380	180
216_SA_3	3	1	391761	80
28_SA_1	1	1	392092	30
29_SA_1	1	1	393926	60
364_PR_5	5	2	394011	1
217_SA_3	3	1	395336	150
365_SA_5	5	1	395336	120
290_SA_4	4	1	395336	60
291_SA_4	4	1	395815	150
292_PR_4	4	2	398367	50
293_PR_4	4	2	398367	165
294_SA_4	4	1	399101	90
142_LC_2	2	3	399660	50
218_SA_3	3	1	401108	120
219_SA_3	3	1	401108	90
143_SA_2	2	1	401108	180
144_SA_2	2	1	402908	90
145_LC_2	2	3	402974	60
146_SA_2	2	1	402974	165
147_LC_2	2	3	402974	30
220_PR_3	3	2	402974	60
30_PR_1	1	2	404137	60
295_LC_4	4	3	404370	60
366_SA_5	5	1	404656	20
32_SA_1	1	1	404727	90
31_SA_1	1	1	404727	90
367_PR_5	5	2	404843	15
33_LC_1	1	3	405206	150
221_PR_3	3	2	405734	35
296_SA_4	4	1	406750	90
222_PR_3	3	2	406795	60
223_PR_3	3	2	406849	40
224_PR_3	3	2	406881	50
34_LC_1	1	3	406914	80
148_SA_2	2	1	407191	90
368_PR_5	5	2	407679	5
369_SA_5	5	1	408181	120
370_SA_5	5	1	408181	140
225_SA_3	3	1	408231	80
35_SA_1	1	1	408231	105
297_SA_4	4	1	408507	100
36_LC_1	1	3	408803	60
298_PR_4	4	2	409042	120
150_SA_2	2	1	409108	120
149_SA_2	2	1	409108	235
151_SA_2	2	1	410217	120
38_PR_1	1	2	410417	80
371_PR_5	5	2	410417	30
37_PR_1	1	2	410417	60
39_LC_1	1	3	410659	90
226_PR_3	3	2	411972	65
372_LC_5	5	3	412599	60
227_LC_3	3	3	412982	120
40_SA_1	1	1	413302	60
228_SA_3	3	1	414879	100
152_LC_2	2	3	415363	1
41_LC_1	1	3	415581	120
42_PR_1	1	2	415581	60
299_LC_4	4	3	418677	60
43_SA_1	1	1	418861	207
300_SA_4	4	1	419016	105
301_SA_4	4	1	419111	75
44_PR_1	1	2	420494	25
153_PR_2	2	2	420659	230
302_SA_4	4	1	420835	90
373_SA_5	5	1	421357	60
154_PR_2	2	2	421975	170
374_PR_5	5	2	421975	105
155_SA_2	2	1	423552	240
375_PR_5	5	2	424242	170
229_SA_3	3	1	424274	60
156_PR_2	2	2	426827	80
45_VI_1	1	4	426879	75
46_SA_1	1	1	427121	90
47_SA_1	1	1	427121	90
230_PR_3	3	2	427669	30
303_LC_4	4	3	428051	60
376_PR_5	5	2	428993	75
304_VI_4	4	4	429508	120
231_SA_3	3	1	429508	80
49_SA_1	1	1	429508	60
306_SA_4	4	1	429508	270
305_PR_4	4	2	429508	25
377_PR_5	5	2	429508	30
157_SA_2	2	1	429508	150
48_SA_1	1	1	429508	60
232_PR_3	3	2	429508	120
307_SA_4	4	1	429650	120
233_SA_3	3	1	429696	40
378_PR_5	5	2	430131	30
234_LC_3	3	3	430773	60
235_LC_3	3	3	431595	120
379_LC_5	5	3	431626	60
50_LC_1	1	3	434232	80
158_PR_2	2	2	434970	85
236_VI_3	3	4	436711	90
308_PR_4	4	2	437768	30
237_PR_3	3	2	437768	70
159_SA_2	2	1	438559	55
51_SA_1	1	1	438559	90
160_PR_2	2	2	439728	60
309_PR_4	4	2	440097	60
310_PR_4	4	2	440097	120
161_LC_2	2	3	440214	180
238_SA_3	3	1	441523	60
162_SA_2	2	1	442075	1
239_SA_3	3	1	442483	180
52_PR_1	1	2	444790	30
240_PR_3	3	2	444790	60
53_NU_1	1	5	446685	90
311_PR_4	4	2	446906	60
241_SA_3	3	1	447400	20
55_LC_1	1	3	447537	60
54_LC_1	1	3	447537	60
312_PR_4	4	2	449141	50
56_LC_1	1	3	449670	150
313_PR_4	4	2	449768	50
163_PR_2	2	2	449768	120
164_NU_2	2	5	451610	90
314_SA_4	4	1	451675	20
380_LC_5	5	3	452722	234
59_SA_1	1	1	454208	60
57_SA_1	1	1	454208	60
58_SA_1	1	1	454208	60
165_SA_2	2	1	455541	120
60_LC_1	1	3	456248	90
167_SA_2	2	1	456361	60
64_SA_1	1	1	456361	10
62_SA_1	1	1	456361	150
61_SA_1	1	1	456361	30
166_SA_2	2	1	456361	40
65_SA_1	1	1	456361	30
63_SA_1	1	1	456361	75
381_SA_5	5	1	456361	60
242_LC_3	3	3	456607	40
315_SA_4	4	1	457595	180
316_NU_4	4	5	457853	60
66_PR_1	1	2	458474	75
168_SA_2	2	1	460302	60
67_SA_1	1	1	460799	60
317_LC_4	4	3	461854	45
243_SA_3	3	1	463651	120
318_SA_4	4	1	463651	240
68_SA_1	1	1	464506	120
69_VI_1	1	4	464970	60
382_PR_5	5	2	465556	30
319_PR_4	4	2	465927	90
71_PR_1	1	2	466553	520
70_SA_1	1	1	466553	180
170_SA_2	2	1	466553	120
244_SA_3	3	1	466553	80
169_LC_2	2	3	466553	135
171_PR_2	2	2	467404	65
172_NU_2	2	5	469614	60
321_SA_4	4	1	469665	240
383_SA_5	5	1	469665	240
73_PR_1	1	2	469665	120
72_SA_1	1	1	469665	195
320_SA_4	4	1	469665	120
322_SA_4	4	1	469665	90
245_SA_3	3	1	469790	160
384_SA_5	5	1	469790	240
323_SA_4	4	1	469790	120
246_LC_3	3	3	470003	100
247_SA_3	3	1	471432	90
74_SA_1	1	1	471610	60
75_SA_1	1	1	471662	75
174_SA_2	2	1	471662	360
173_SA_2	2	1	471662	55
175_SA_2	2	1	471662	90
385_SA_5	5	1	471662	60
248_SA_3	3	1	472794	60
176_SA_2	2	1	473037	90
177_PR_2	2	2	473916	50
249_SA_3	3	1	475222	75
76_SA_1	1	1	475662	100
250_SA_3	3	1	477430	60
77_SA_1	1	1	477430	120
178_NU_2	2	5	477507	20
324_SA_4	4	1	477571	130
325_PR_4	4	2	478741	180
386_SA_5	5	1	481420	90
179_PR_2	2	2	481914	100
251_PR_3	3	2	482016	60
180_LC_2	2	3	483580	60
326_SA_4	4	1	483798	1
78_SA_1	1	1	483798	60
79_SA_1	1	1	483798	100
181_LC_2	2	3	483798	120
252_SA_3	3	1	483798	55
387_SA_5	5	1	486541	90
80_SA_1	1	1	487375	90
81_SA_1	1	1	490169	60
388_SA_5	5	1	490507	60
389_SA_5	5	1	491082	90
253_SA_3	3	1	491082	60
82_VI_1	1	4	493059	30
390_LC_5	5	3	493182	180
255_PR_3	3	2	494838	150
254_PR_3	3	2	494838	60
256_PR_3	3	2	495119	90
257_SA_3	3	1	497008	5
258_SA_3	3	1	497112	120
83_SA_1	1	1	497112	240
327_SA_4	4	1	497442	120
84_LC_1	1	3	497750	15
85_PR_1	1	2	498240	70
86_PR_1	1	2	501499	90
259_SA_3	3	1	502447	110
260_SA_3	3	1	502652	120
261_SA_3	3	1	504400	90
87_SA_1	1	1	506337	60
262_SA_3	3	1	506337	120
88_LC_1	1	3	506738	120
328_LC_4	4	3	507422	120
329_LC_4	4	3	507422	90
182_LC_2	2	3	508049	60
183_NU_2	2	5	509557	20
263_SA_3	3	1	510578	60
