#cliente	day	place	penalty	service
191_PR_3	3	2	413	60
101_PR_2	2	2	413	60
1_PR_1	1	2	515	90
341_SA_5	5	1	539	70
102_SA_2	2	1	575	120
2_SA_1	1	1	578	90
103_SA_2	2	1	609	120
104_LC_2	2	3	616	120
271_PR_4	4	2	620	60
105_LC_2	2	3	622	200
342_PR_5	5	2	624	60
192_PR_3	3	2	624	130
193_LC_3	3	3	630	70
272_LC_4	4	3	657	130
273_LC_4	4	3	659	90
343_LC_5	5	3	660	45
274_SA_4	4	1	662	60
3_SA_1	1	1	665	75
106_NU_2	2	5	668	75
107_PR_2	2	2	671	30
344_LC_5	5	3	678	120
108_LC_2	2	3	678	10
345_SA_5	5	1	693	150
194_PR_3	3	2	698	20
4_LC_1	1	3	700	120
195_SA_3	3	1	709	150
5_SA_1	1	1	710	90
197_SA_3	3	1	710	120
346_LC_5	5	3	710	70
199_SA_3	3	1	710	80
196_PR_3	3	2	710	45
198_SA_3	3	1	710	60
6_SA_1	1	1	711	30
200_SA_3	3	1	711	60
201_LC_3	3	3	711	270
347_SA_5	5	1	725	20
7_SA_1	1	1	725	290
202_SA_3	3	1	725	180
8_SA_1	1	1	725	60
110_SA_2	2	1	725	120
111_SA_2	2	1	725	120
112_SA_2	2	1	725	60
109_SA_2	2	1	725	110
114_SA_2	2	1	725	60
113_SA_2	2	1	725	60
203_SA_3	3	1	725	45
115_PR_2	2	2	731	90
348_SA_5	5	1	731	60
349_SA_5	5	1	731	15
9_SA_1	1	1	738	360
10_SA_1	1	1	738	60
13_SA_1	1	1	738	60
14_SA_1	1	1	738	90
350_SA_5	5	1	738	180
12_SA_1	1	1	738	75
204_SA_3	3	1	738	80
205_SA_3	3	1	738	60
352_PR_5	5	2	738	70
11_SA_1	1	1	738	120
275_SA_4	4	1	738	90
276_SA_4	4	1	738	60
277_SA_4	4	1	738	120
120_SA_2	2	1	738	55
279_SA_4	4	1	738	300
280_NU_4	4	5	738	60
119_SA_2	2	1	738	60
124_SA_2	2	1	738	30
121_LC_2	2	3	738	45
122_SA_2	2	1	738	50
351_SA_5	5	1	738	60
118_SA_2	2	1	738	120
278_PR_4	4	2	738	150
116_SA_2	2	1	738	60
117_SA_2	2	1	738	140
123_SA_2	2	1	738	50
15_SA_1	1	1	741	240
125_SA_2	2	1	743	60
281_PR_4	4	2	743	70
282_LC_4	4	3	744	90
127_PR_2	2	2	750	80
206_PR_3	3	2	750	35
126_PR_2	2	2	750	180
353_SA_5	5	1	753	5
354_PR_5	5	2	755	30
16_SA_1	1	1	764	110
207_SA_3	3	1	764	50
128_SA_2	2	1	770	120
17_NU_1	1	5	778	180
129_NU_2	2	5	778	120
283_SA_4	4	1	781	180
355_LC_5	5	3	782	150
130_SA_2	2	1	782	90
356_SA_5	5	1	796	150
131_PR_2	2	2	799	215
18_SA_1	1	1	799	90
208_SA_3	3	1	799	90
209_SA_3	3	1	799	45
132_SA_2	2	1	799	20
19_SA_1	1	1	803	180
210_SA_3	3	1	803	180
284_SA_4	4	1	803	240
134_SA_2	2	1	805	60
133_SA_2	2	1	805	90
357_SA_5	5	1	805	60
285_SA_4	4	1	806	60
135_SA_2	2	1	807	60
20_SA_1	1	1	807	60
136_LC_2	2	3	811	30
286_PR_4	4	2	811	60
360_LC_5	5	3	811	10
358_PR_5	5	2	811	70
137_PR_2	2	2	811	150
359_LC_5	5	3	811	10
361_SA_5	5	1	811	10
21_NU_1	1	5	819	90
211_NU_3	3	5	819	40
362_PR_5	5	2	825	240
22_PR_1	1	2	831	60
213_LC_3	3	3	831	90
139_PR_2	2	2	831	60
140_SA_2	2	1	831	50
288_SA_4	4	1	831	60
287_PR_4	4	2	831	90
212_SA_3	3	1	831	40
138_VI_2	2	4	831	90
363_VI_5	5	4	833	10
214_VI_3	3	4	833	25
215_PR_3	3	2	833	45
23_SA_1	1	1	846	90
24_PR_1	1	2	847	100
289_LC_4	4	3	854	110
25_PR_1	1	2	854	90
141_NU_2	2	5	856	150
26_NU_1	1	5	856	420
27_LC_1	1	3	857	180
216_SA_3	3	1	859	80
28_SA_1	1	1	872	30
29_SA_1	1	1	874	60
364_PR_5	5	2	875	1
217_SA_3	3	1	878	150
365_SA_5	5	1	878	120
290_SA_4	4	1	878	60
291_SA_4	4	1	881	150
292_PR_4	4	2	884	50
293_PR_4	4	2	884	165
294_SA_4	4	1	892	90
142_LC_2	2	3	896	50
218_SA_3	3	1	897	120
219_SA_3	3	1	897	90
143_SA_2	2	1	897	180
144_SA_2	2	1	898	90
145_LC_2	2	3	906	60
146_SA_2	2	1	906	165
147_LC_2	2	3	906	30
220_PR_3	3	2	906	60
30_PR_1	1	2	908	60
295_LC_4	4	3	913	60
366_SA_5	5	1	916	20
32_SA_1	1	1	920	90
31_SA_1	1	1	920	90
367_PR_5	5	2	920	15
33_LC_1	1	3	922	150
221_PR_3	3	2	926	35
296_SA_4	4	1	931	90
222_PR_3	3	2	931	60
223_PR_3	3	2	934	40
224_PR_3	3	2	941	50
34_LC_1	1	3	947	80
148_SA_2	2	1	948	90
368_PR_5	5	2	948	5
369_SA_5	5	1	952	120
370_SA_5	5	1	952	140
225_SA_3	3	1	953	80
35_SA_1	1	1	953	105
297_SA_4	4	1	954	100
36_LC_1	1	3	957	60
298_PR_4	4	2	958	120
150_SA_2	2	1	960	120
149_SA_2	2	1	960	235
151_SA_2	2	1	961	120
38_PR_1	1	2	962	80
371_PR_5	5	2	962	30
37_PR_1	1	2	962	60
39_LC_1	1	3	966	90
226_PR_3	3	2	977	65
372_LC_5	5	3	978	60
227_LC_3	3	3	980	120
40_SA_1	1	1	981	60
228_SA_3	3	1	986	100
152_LC_2	2	3	987	1
41_LC_1	1	3	990	120
42_PR_1	1	2	990	60
299_LC_4	4	3	991	60
43_SA_1	1	1	991	207
300_SA_4	4	1	998	105
301_SA_4	4	1	1000	75
44_PR_1	1	2	1003	25
153_PR_2	2	2	1004	230
302_SA_4	4	1	1007	90
373_SA_5	5	1	1009	60
154_PR_2	2	2	1010	170
374_PR_5	5	2	1010	105
155_SA_2	2	1	1014	240
375_PR_5	5	2	1014	170
229_SA_3	3	1	1017	60
156_PR_2	2	2	1020	80
45_VI_1	1	4	1023	75
46_SA_1	1	1	1027	90
47_SA_1	1	1	1027	90
230_PR_3	3	2	1036	30
303_LC_4	4	3	1037	60
376_PR_5	5	2	1037	75
304_VI_4	4	4	1040	120
231_SA_3	3	1	1040	80
49_SA_1	1	1	1040	60
306_SA_4	4	1	1040	270
305_PR_4	4	2	1040	25
377_PR_5	5	2	1040	30
157_SA_2	2	1	1040	150
48_SA_1	1	1	1040	60
232_PR_3	3	2	1040	120
307_SA_4	4	1	1042	120
233_SA_3	3	1	1042	40
378_PR_5	5	2	1048	30
234_LC_3	3	3	1050	60
235_LC_3	3	3	1058	120
379_LC_5	5	3	1062	60
50_LC_1	1	3	1064	80
158_PR_2	2	2	1065	85
236_VI_3	3	4	1066	90
308_PR_4	4	2	1071	30
237_PR_3	3	2	1071	70
159_SA_2	2	1	1078	55
51_SA_1	1	1	1078	90
160_PR_2	2	2	1079	60
309_PR_4	4	2	1080	60
310_PR_4	4	2	1080	120
161_LC_2	2	3	1087	180
238_SA_3	3	1	1089	60
162_SA_2	2	1	1095	1
239_SA_3	3	1	1104	180
52_PR_1	1	2	1104	30
240_PR_3	3	2	1104	60
53_NU_1	1	5	1106	90
311_PR_4	4	2	1116	60
241_SA_3	3	1	1120	20
55_LC_1	1	3	1121	60
54_LC_1	1	3	1121	60
312_PR_4	4	2	1131	50
56_LC_1	1	3	1132	150
313_PR_4	4	2	1136	50
163_PR_2	2	2	1136	120
164_NU_2	2	5	1136	90
314_SA_4	4	1	1136	20
380_LC_5	5	3	1142	234
59_SA_1	1	1	1143	60
57_SA_1	1	1	1143	60
58_SA_1	1	1	1143	60
165_SA_2	2	1	1147	120
60_LC_1	1	3	1152	90
167_SA_2	2	1	1157	60
64_SA_1	1	1	1157	10
62_SA_1	1	1	1157	150
61_SA_1	1	1	1157	30
166_SA_2	2	1	1157	40
65_SA_1	1	1	1157	30
63_SA_1	1	1	1157	75
381_SA_5	5	1	1157	60
242_LC_3	3	3	1157	40
315_SA_4	4	1	1163	180
316_NU_4	4	5	1168	60
66_PR_1	1	2	1176	75
168_SA_2	2	1	1182	60
67_SA_1	1	1	1182	60
317_LC_4	4	3	1196	45
243_SA_3	3	1	1202	120
318_SA_4	4	1	1202	240
68_SA_1	1	1	1213	120
69_VI_1	1	4	1216	60
382_PR_5	5	2	1216	30
319_PR_4	4	2	1217	90
71_PR_1	1	2	1220	520
70_SA_1	1	1	1220	180
170_SA_2	2	1	1220	120
244_SA_3	3	1	1220	80
169_LC_2	2	3	1220	135
171_PR_2	2	2	1221	65
172_NU_2	2	5	1224	60
321_SA_4	4	1	1239	240
383_SA_5	5	1	1239	240
73_PR_1	1	2	1239	120
72_SA_1	1	1	1239	195
320_SA_4	4	1	1239	120
322_SA_4	4	1	1239	90
245_SA_3	3	1	1246	160
384_SA_5	5	1	1246	240
323_SA_4	4	1	1246	120
246_LC_3	3	3	1250	100
247_SA_3	3	1	1251	90
74_SA_1	1	1	1256	60
75_SA_1	1	1	1267	75
174_SA_2	2	1	1267	360
173_SA_2	2	1	1267	55
175_SA_2	2	1	1267	90
385_SA_5	5	1	1267	60
248_SA_3	3	1	1268	60
176_SA_2	2	1	1274	90
177_PR_2	2	2	1278	50
249_SA_3	3	1	1286	75
76_SA_1	1	1	1321	100
250_SA_3	3	1	1325	60
77_SA_1	1	1	1325	120
178_NU_2	2	5	1329	20
324_SA_4	4	1	1334	130
325_PR_4	4	2	1337	180
386_SA_5	5	1	1339	90
179_PR_2	2	2	1345	100
251_PR_3	3	2	1348	60
180_LC_2	2	3	1351	60
326_SA_4	4	1	1355	1
78_SA_1	1	1	1355	60
79_SA_1	1	1	1355	100
181_LC_2	2	3	1355	120
252_SA_3	3	1	1355	55
387_SA_5	5	1	1360	90
80_SA_1	1	1	1360	90
81_SA_1	1	1	1363	60
388_SA_5	5	1	1364	60
389_SA_5	5	1	1364	90
253_SA_3	3	1	1364	60
82_VI_1	1	4	1364	30
390_LC_5	5	3	1365	180
255_PR_3	3	2	1369	150
254_PR_3	3	2	1369	60
256_PR_3	3	2	1373	90
257_SA_3	3	1	1376	5
258_SA_3	3	1	1380	120
83_SA_1	1	1	1380	240
327_SA_4	4	1	1381	120
84_LC_1	1	3	1394	15
85_PR_1	1	2	1395	70
86_PR_1	1	2	1398	90
259_SA_3	3	1	1404	110
260_SA_3	3	1	1405	120
261_SA_3	3	1	1407	90
87_SA_1	1	1	1409	60
262_SA_3	3	1	1409	120
88_LC_1	1	3	1420	120
328_LC_4	4	3	1434	120
329_LC_4	4	3	1434	90
182_LC_2	2	3	1455	60
183_NU_2	2	5	1459	20
263_SA_3	3	1	1488	60
184_SA_2	2	1	1488	15
185_SA_2	2	1	1510	35
331_SA_4	4	1	1510	160
330_SA_4	4	1	1510	120
264_SA_3	3	1	1519	65
186_PR_2	2	2	1519	120
187_SA_2	2	1	1521	210
89_PR_1	1	2	1529	70
90_SA_1	1	1	1556	90
391_LC_5	5	3	1558	75
393_PR_5	5	2	1559	150
91_PR_1	1	2	1559	120
392_PR_5	5	2	1559	35
188_VI_2	2	4	1572	100
332_PR_4	4	2	1572	120
265_PR_3	3	2	1580	100
92_SA_1	1	1	1581	60
333_VI_4	4	4	1587	90
394_PR_5	5	2	1600	75
93_SA_1	1	1	1629	90
94_NU_1	1	5	1630	160
95_SA_1	1	1	1646	140
334_SA_4	4	1	1691	30
