#cliente	day	place	penalty	service
191_PR_3	3	2	323092	60
101_PR_2	2	2	323092	60
1_PR_1	1	2	343197	90
341_SA_5	5	1	345626	70
102_SA_2	2	1	353121	120
2_SA_1	1	1	353503	90
103_SA_2	2	1	356164	120
104_LC_2	2	3	360082	120
271_PR_4	4	2	362675	60
105_LC_2	2	3	365158	200
342_PR_5	5	2	366049	60
192_PR_3	3	2	367336	130
193_LC_3	3	3	369882	70
272_LC_4	4	3	370358	130
273_LC_4	4	3	370550	90
343_LC_5	5	3	371698	45
274_SA_4	4	1	372320	60
3_SA_1	1	1	372450	75
106_NU_2	2	5	374046	75
107_PR_2	2	2	375548	30
344_LC_5	5	3	375824	120
108_LC_2	2	3	375824	10
345_SA_5	5	1	376082	150
194_PR_3	3	2	379251	20
4_LC_1	1	3	379619	120
195_SA_3	3	1	380492	150
5_SA_1	1	1	380505	90
197_SA_3	3	1	380505	120
346_LC_5	5	3	380505	70
199_SA_3	3	1	380505	80
196_PR_3	3	2	380505	45
198_SA_3	3	1	380505	60
6_SA_1	1	1	381342	30
200_SA_3	3	1	381342	60
201_LC_3	3	3	381342	270
347_SA_5	5	1	381598	20
7_SA_1	1	1	382229	290
202_SA_3	3	1	382229	180
8_SA_1	1	1	382229	60
110_SA_2	2	1	382229	120
111_SA_2	2	1	382229	120
112_SA_2	2	1	382229	60
109_SA_2	2	1	382229	110
114_SA_2	2	1	382229	60
113_SA_2	2	1	382229	60
203_SA_3	3	1	382229	45
115_PR_2	2	2	383056	90
348_SA_5	5	1	384203	60
349_SA_5	5	1	384203	15
9_SA_1	1	1	385250	360
10_SA_1	1	1	385250	60
13_SA_1	1	1	385250	60
14_SA_1	1	1	385250	90
350_SA_5	5	1	385250	180
12_SA_1	1	1	385250	75
204_SA_3	3	1	385250	80
205_SA_3	3	1	385250	60
352_PR_5	5	2	385250	70
11_SA_1	1	1	385250	120
275_SA_4	4	1	385250	90
276_SA_4	4	1	385250	60
277_SA_4	4	1	385250	120
120_SA_2	2	1	385250	55
279_SA_4	4	1	385250	300
280_NU_4	4	5	385250	60
119_SA_2	2	1	385250	60
124_SA_2	2	1	385250	30
121_LC_2	2	3	385250	45
122_SA_2	2	1	385250	50
351_SA_5	5	1	385250	60
118_SA_2	2	1	385250	120
278_PR_4	4	2	385250	150
116_SA_2	2	1	385250	60
117_SA_2	2	1	385250	140
123_SA_2	2	1	385250	50
15_SA_1	1	1	385768	240
125_SA_2	2	1	387342	60
281_PR_4	4	2	387342	70
282_LC_4	4	3	388398	90
127_PR_2	2	2	388547	80
206_PR_3	3	2	388547	35
126_PR_2	2	2	388547	180
353_SA_5	5	1	389648	5
354_PR_5	5	2	390819	30
16_SA_1	1	1	392846	110
207_SA_3	3	1	392846	50
128_SA_2	2	1	393032	120
17_NU_1	1	5	393160	180
129_NU_2	2	5	393160	120
283_SA_4	4	1	393758	180
355_LC_5	5	3	395028	150
130_SA_2	2	1	395028	90
356_SA_5	5	1	396734	150
131_PR_2	2	2	397336	215
18_SA_1	1	1	399502	90
208_SA_3	3	1	399502	90
209_SA_3	3	1	399502	45
132_SA_2	2	1	399502	20
19_SA_1	1	1	400113	180
210_SA_3	3	1	400113	180
284_SA_4	4	1	400113	240
134_SA_2	2	1	400415	60
133_SA_2	2	1	400415	90
357_SA_5	5	1	400415	60
285_SA_4	4	1	400876	60
135_SA_2	2	1	401751	60
20_SA_1	1	1	401751	60
136_LC_2	2	3	401850	30
286_PR_4	4	2	402604	60
360_LC_5	5	3	402604	10
358_PR_5	5	2	402604	70
137_PR_2	2	2	402604	150
359_LC_5	5	3	402604	10
361_SA_5	5	1	402604	10
21_NU_1	1	5	402889	90
211_NU_3	3	5	402889	40
362_PR_5	5	2	403982	240
22_PR_1	1	2	404082	60
213_LC_3	3	3	404082	90
139_PR_2	2	2	404082	60
140_SA_2	2	1	404082	50
288_SA_4	4	1	404082	60
287_PR_4	4	2	404082	90
212_SA_3	3	1	404082	40
138_VI_2	2	4	404082	90
363_VI_5	5	4	404139	10
214_VI_3	3	4	404139	25
215_PR_3	3	2	404552	45
23_SA_1	1	1	404744	90
24_PR_1	1	2	404964	100
289_LC_4	4	3	405120	110
25_PR_1	1	2	405330	90
141_NU_2	2	5	405331	150
26_NU_1	1	5	405331	420
27_LC_1	1	3	405366	180
216_SA_3	3	1	405412	80
28_SA_1	1	1	405705	30
29_SA_1	1	1	406619	60
364_PR_5	5	2	406644	1
217_SA_3	3	1	407280	150
365_SA_5	5	1	407280	120
290_SA_4	4	1	407280	60
291_SA_4	4	1	407467	150
292_PR_4	4	2	408442	50
293_PR_4	4	2	408442	165
294_SA_4	4	1	408534	90
142_LC_2	2	3	409116	50
218_SA_3	3	1	410031	120
219_SA_3	3	1	410031	90
143_SA_2	2	1	410031	180
144_SA_2	2	1	411173	90
145_LC_2	2	3	411368	60
146_SA_2	2	1	411368	165
147_LC_2	2	3	411368	30
220_PR_3	3	2	411368	60
30_PR_1	1	2	411774	60
295_LC_4	4	3	411852	60
366_SA_5	5	1	412608	20
32_SA_1	1	1	413148	90
31_SA_1	1	1	413148	90
367_PR_5	5	2	413778	15
33_LC_1	1	3	414388	150
221_PR_3	3	2	414635	35
296_SA_4	4	1	414697	90
222_PR_3	3	2	415183	60
223_PR_3	3	2	415759	40
224_PR_3	3	2	416852	50
34_LC_1	1	3	417142	80
148_SA_2	2	1	417262	90
368_PR_5	5	2	417272	5
369_SA_5	5	1	417549	120
370_SA_5	5	1	417549	140
225_SA_3	3	1	417727	80
35_SA_1	1	1	417727	105
297_SA_4	4	1	417808	100
36_LC_1	1	3	418198	60
298_PR_4	4	2	418338	120
150_SA_2	2	1	418388	120
149_SA_2	2	1	418388	235
151_SA_2	2	1	418522	120
38_PR_1	1	2	419438	80
371_PR_5	5	2	419438	30
37_PR_1	1	2	419438	60
39_LC_1	1	3	420423	90
226_PR_3	3	2	420450	65
372_LC_5	5	3	420520	60
227_LC_3	3	3	421139	120
40_SA_1	1	1	422154	60
228_SA_3	3	1	422458	100
152_LC_2	2	3	423635	1
41_LC_1	1	3	423729	120
42_PR_1	1	2	423729	60
299_LC_4	4	3	423739	60
43_SA_1	1	1	424205	207
300_SA_4	4	1	424272	105
301_SA_4	4	1	424279	75
44_PR_1	1	2	424517	25
153_PR_2	2	2	424643	230
302_SA_4	4	1	425127	90
373_SA_5	5	1	425519	60
154_PR_2	2	2	425524	170
374_PR_5	5	2	425524	105
155_SA_2	2	1	426492	240
375_PR_5	5	2	426900	170
229_SA_3	3	1	427011	60
156_PR_2	2	2	427097	80
45_VI_1	1	4	427995	75
46_SA_1	1	1	428149	90
47_SA_1	1	1	428149	90
230_PR_3	3	2	428742	30
303_LC_4	4	3	428760	60
376_PR_5	5	2	428863	75
304_VI_4	4	4	428896	120
231_SA_3	3	1	428896	80
49_SA_1	1	1	428896	60
306_SA_4	4	1	428896	270
305_PR_4	4	2	428896	25
377_PR_5	5	2	428896	30
157_SA_2	2	1	428896	150
48_SA_1	1	1	428896	60
232_PR_3	3	2	428896	120
307_SA_4	4	1	428996	120
233_SA_3	3	1	429377	40
378_PR_5	5	2	429386	30
234_LC_3	3	3	429621	60
235_LC_3	3	3	429690	120
379_LC_5	5	3	429815	60
50_LC_1	1	3	430511	80
158_PR_2	2	2	430613	85
236_VI_3	3	4	430733	90
308_PR_4	4	2	431080	30
237_PR_3	3	2	431080	70
159_SA_2	2	1	431358	55
51_SA_1	1	1	431358	90
160_PR_2	2	2	431402	60
309_PR_4	4	2	432061	60
310_PR_4	4	2	432061	120
161_LC_2	2	3	432520	180
238_SA_3	3	1	433131	60
162_SA_2	2	1	433913	1
239_SA_3	3	1	434529	180
52_PR_1	1	2	434538	30
240_PR_3	3	2	434538	60
53_NU_1	1	5	435898	90
311_PR_4	4	2	437971	60
241_SA_3	3	1	438180	20
55_LC_1	1	3	439304	60
54_LC_1	1	3	439304	60
312_PR_4	4	2	439531	50
56_LC_1	1	3	439900	150
313_PR_4	4	2	440355	50
163_PR_2	2	2	440355	120
164_NU_2	2	5	440901	90
314_SA_4	4	1	441058	20
380_LC_5	5	3	442812	234
59_SA_1	1	1	442986	60
57_SA_1	1	1	442986	60
58_SA_1	1	1	442986	60
165_SA_2	2	1	444066	120
60_LC_1	1	3	444737	90
167_SA_2	2	1	445759	60
64_SA_1	1	1	445759	10
62_SA_1	1	1	445759	150
61_SA_1	1	1	445759	30
166_SA_2	2	1	445759	40
65_SA_1	1	1	445759	30
63_SA_1	1	1	445759	75
381_SA_5	5	1	445759	60
242_LC_3	3	3	445913	40
315_SA_4	4	1	446277	180
316_NU_4	4	5	447325	60
66_PR_1	1	2	447569	75
168_SA_2	2	1	448203	60
67_SA_1	1	1	448359	60
317_LC_4	4	3	448457	45
243_SA_3	3	1	448827	120
318_SA_4	4	1	448827	240
68_SA_1	1	1	449003	120
69_VI_1	1	4	449335	60
382_PR_5	5	2	449450	30
319_PR_4	4	2	449719	90
71_PR_1	1	2	449842	520
70_SA_1	1	1	449842	180
