#cliente	day	place	penalty	service
191_PR_3	3	2	346	60
101_PR_2	2	2	346	60
1_PR_1	1	2	407	90
341_SA_5	5	1	530	70
102_SA_2	2	1	547	120
2_SA_1	1	1	579	90
103_SA_2	2	1	587	120
104_LC_2	2	3	617	120
271_PR_4	4	2	623	60
105_LC_2	2	3	632	200
342_PR_5	5	2	647	60
192_PR_3	3	2	655	130
193_LC_3	3	3	661	70
272_LC_4	4	3	675	130
273_LC_4	4	3	677	90
343_LC_5	5	3	683	45
274_SA_4	4	1	685	60
3_SA_1	1	1	685	75
106_NU_2	2	5	688	75
107_PR_2	2	2	689	30
344_LC_5	5	3	699	120
108_LC_2	2	3	699	10
345_SA_5	5	1	706	150
194_PR_3	3	2	709	20
4_LC_1	1	3	709	120
195_SA_3	3	1	710	150
5_SA_1	1	1	718	90
197_SA_3	3	1	718	120
346_LC_5	5	3	718	70
199_SA_3	3	1	718	80
196_PR_3	3	2	718	45
198_SA_3	3	1	718	60
6_SA_1	1	1	720	30
200_SA_3	3	1	720	60
201_LC_3	3	3	720	270
347_SA_5	5	1	733	20
7_SA_1	1	1	733	290
202_SA_3	3	1	733	180
8_SA_1	1	1	733	60
110_SA_2	2	1	733	120
111_SA_2	2	1	733	120
112_SA_2	2	1	733	60
109_SA_2	2	1	733	110
114_SA_2	2	1	733	60
113_SA_2	2	1	733	60
203_SA_3	3	1	733	45
115_PR_2	2	2	736	90
348_SA_5	5	1	743	60
349_SA_5	5	1	743	15
9_SA_1	1	1	747	360
10_SA_1	1	1	747	60
13_SA_1	1	1	747	60
14_SA_1	1	1	747	90
350_SA_5	5	1	747	180
12_SA_1	1	1	747	75
204_SA_3	3	1	747	80
205_SA_3	3	1	747	60
352_PR_5	5	2	747	70
11_SA_1	1	1	747	120
275_SA_4	4	1	747	90
276_SA_4	4	1	747	60
277_SA_4	4	1	747	120
120_SA_2	2	1	747	55
279_SA_4	4	1	747	300
280_NU_4	4	5	747	60
119_SA_2	2	1	747	60
124_SA_2	2	1	747	30
121_LC_2	2	3	747	45
122_SA_2	2	1	747	50
351_SA_5	5	1	747	60
118_SA_2	2	1	747	120
278_PR_4	4	2	747	150
116_SA_2	2	1	747	60
117_SA_2	2	1	747	140
123_SA_2	2	1	747	50
15_SA_1	1	1	752	240
125_SA_2	2	1	752	60
281_PR_4	4	2	752	70
282_LC_4	4	3	764	90
127_PR_2	2	2	768	80
206_PR_3	3	2	768	35
126_PR_2	2	2	768	180
353_SA_5	5	1	773	5
354_PR_5	5	2	779	30
16_SA_1	1	1	782	110
207_SA_3	3	1	782	50
128_SA_2	2	1	782	120
17_NU_1	1	5	783	180
129_NU_2	2	5	783	120
283_SA_4	4	1	785	180
355_LC_5	5	3	790	150
130_SA_2	2	1	790	90
356_SA_5	5	1	794	150
131_PR_2	2	2	798	215
18_SA_1	1	1	800	90
208_SA_3	3	1	800	90
209_SA_3	3	1	800	45
132_SA_2	2	1	800	20
19_SA_1	1	1	801	180
210_SA_3	3	1	801	180
284_SA_4	4	1	801	240
134_SA_2	2	1	802	60
133_SA_2	2	1	802	90
357_SA_5	5	1	802	60
285_SA_4	4	1	809	60
135_SA_2	2	1	810	60
20_SA_1	1	1	810	60
136_LC_2	2	3	810	30
286_PR_4	4	2	810	60
360_LC_5	5	3	810	10
358_PR_5	5	2	810	70
137_PR_2	2	2	810	150
359_LC_5	5	3	810	10
361_SA_5	5	1	810	10
21_NU_1	1	5	813	90
211_NU_3	3	5	813	40
362_PR_5	5	2	813	240
22_PR_1	1	2	816	60
213_LC_3	3	3	816	90
139_PR_2	2	2	816	60
140_SA_2	2	1	816	50
288_SA_4	4	1	816	60
287_PR_4	4	2	816	90
212_SA_3	3	1	816	40
138_VI_2	2	4	816	90
363_VI_5	5	4	819	10
214_VI_3	3	4	819	25
215_PR_3	3	2	827	45
23_SA_1	1	1	832	90
24_PR_1	1	2	834	100
289_LC_4	4	3	841	110
25_PR_1	1	2	844	90
141_NU_2	2	5	852	150
26_NU_1	1	5	852	420
27_LC_1	1	3	856	180
216_SA_3	3	1	856	80
28_SA_1	1	1	859	30
29_SA_1	1	1	860	60
364_PR_5	5	2	865	1
217_SA_3	3	1	868	150
365_SA_5	5	1	868	120
290_SA_4	4	1	868	60
291_SA_4	4	1	878	150
292_PR_4	4	2	880	50
293_PR_4	4	2	880	165
294_SA_4	4	1	883	90
142_LC_2	2	3	884	50
218_SA_3	3	1	885	120
219_SA_3	3	1	885	90
143_SA_2	2	1	885	180
144_SA_2	2	1	891	90
145_LC_2	2	3	891	60
146_SA_2	2	1	891	165
147_LC_2	2	3	891	30
220_PR_3	3	2	891	60
30_PR_1	1	2	892	60
295_LC_4	4	3	892	60
366_SA_5	5	1	897	20
32_SA_1	1	1	899	90
31_SA_1	1	1	899	90
367_PR_5	5	2	905	15
33_LC_1	1	3	907	150
221_PR_3	3	2	910	35
296_SA_4	4	1	926	90
222_PR_3	3	2	931	60
223_PR_3	3	2	932	40
224_PR_3	3	2	936	50
34_LC_1	1	3	937	80
148_SA_2	2	1	938	90
368_PR_5	5	2	939	5
369_SA_5	5	1	942	120
370_SA_5	5	1	942	140
225_SA_3	3	1	944	80
35_SA_1	1	1	944	105
297_SA_4	4	1	952	100
36_LC_1	1	3	957	60
298_PR_4	4	2	957	120
150_SA_2	2	1	960	120
149_SA_2	2	1	960	235
151_SA_2	2	1	964	120
38_PR_1	1	2	973	80
371_PR_5	5	2	973	30
37_PR_1	1	2	973	60
39_LC_1	1	3	975	90
226_PR_3	3	2	979	65
372_LC_5	5	3	980	60
227_LC_3	3	3	980	120
40_SA_1	1	1	983	60
228_SA_3	3	1	985	100
152_LC_2	2	3	986	1
41_LC_1	1	3	989	120
42_PR_1	1	2	989	60
299_LC_4	4	3	995	60
43_SA_1	1	1	996	207
300_SA_4	4	1	1002	105
301_SA_4	4	1	1018	75
44_PR_1	1	2	1020	25
153_PR_2	2	2	1024	230
302_SA_4	4	1	1025	90
373_SA_5	5	1	1026	60
154_PR_2	2	2	1039	170
374_PR_5	5	2	1039	105
155_SA_2	2	1	1041	240
375_PR_5	5	2	1042	170
229_SA_3	3	1	1048	60
156_PR_2	2	2	1050	80
45_VI_1	1	4	1052	75
46_SA_1	1	1	1053	90
47_SA_1	1	1	1053	90
230_PR_3	3	2	1060	30
303_LC_4	4	3	1061	60
376_PR_5	5	2	1062	75
304_VI_4	4	4	1067	120
231_SA_3	3	1	1067	80
49_SA_1	1	1	1067	60
306_SA_4	4	1	1067	270
305_PR_4	4	2	1067	25
377_PR_5	5	2	1067	30
157_SA_2	2	1	1067	150
48_SA_1	1	1	1067	60
232_PR_3	3	2	1067	120
307_SA_4	4	1	1072	120
233_SA_3	3	1	1076	40
378_PR_5	5	2	1078	30
234_LC_3	3	3	1080	60
235_LC_3	3	3	1081	120
379_LC_5	5	3	1096	60
50_LC_1	1	3	1103	80
158_PR_2	2	2	1105	85
236_VI_3	3	4	1105	90
308_PR_4	4	2	1106	30
237_PR_3	3	2	1106	70
159_SA_2	2	1	1107	55
51_SA_1	1	1	1107	90
160_PR_2	2	2	1108	60
309_PR_4	4	2	1110	60
310_PR_4	4	2	1110	120
161_LC_2	2	3	1113	180
238_SA_3	3	1	1118	60
162_SA_2	2	1	1120	1
239_SA_3	3	1	1125	180
52_PR_1	1	2	1129	30
240_PR_3	3	2	1129	60
53_NU_1	1	5	1130	90
311_PR_4	4	2	1133	60
241_SA_3	3	1	1144	20
55_LC_1	1	3	1148	60
54_LC_1	1	3	1148	60
312_PR_4	4	2	1152	50
56_LC_1	1	3	1153	150
313_PR_4	4	2	1157	50
163_PR_2	2	2	1157	120
164_NU_2	2	5	1158	90
314_SA_4	4	1	1170	20
380_LC_5	5	3	1172	234
59_SA_1	1	1	1174	60
57_SA_1	1	1	1174	60
58_SA_1	1	1	1174	60
165_SA_2	2	1	1178	120
60_LC_1	1	3	1178	90
167_SA_2	2	1	1179	60
64_SA_1	1	1	1179	10
62_SA_1	1	1	1179	150
61_SA_1	1	1	1179	30
166_SA_2	2	1	1179	40
65_SA_1	1	1	1179	30
63_SA_1	1	1	1179	75
381_SA_5	5	1	1179	60
242_LC_3	3	3	1181	40
315_SA_4	4	1	1184	180
316_NU_4	4	5	1191	60
66_PR_1	1	2	1191	75
168_SA_2	2	1	1204	60
67_SA_1	1	1	1213	60
317_LC_4	4	3	1214	45
243_SA_3	3	1	1219	120
318_SA_4	4	1	1219	240
68_SA_1	1	1	1221	120
69_VI_1	1	4	1231	60
382_PR_5	5	2	1248	30
319_PR_4	4	2	1250	90
71_PR_1	1	2	1264	520
70_SA_1	1	1	1264	180
170_SA_2	2	1	1264	120
244_SA_3	3	1	1264	80
169_LC_2	2	3	1264	135
171_PR_2	2	2	1266	65
172_NU_2	2	5	1269	60
