#cliente	day	place	penalty	service
191_PR_3	3	2	601	60
101_PR_2	2	2	601	60
1_PR_1	1	2	652	90
341_SA_5	5	1	664	70
102_SA_2	2	1	665	120
2_SA_1	1	1	668	90
103_SA_2	2	1	679	120
104_LC_2	2	3	690	120
271_PR_4	4	2	696	60
105_LC_2	2	3	709	200
342_PR_5	5	2	730	60
192_PR_3	3	2	731	130
193_LC_3	3	3	747	70
272_LC_4	4	3	756	130
273_LC_4	4	3	757	90
343_LC_5	5	3	759	45
274_SA_4	4	1	772	60
3_SA_1	1	1	787	75
106_NU_2	2	5	790	75
107_PR_2	2	2	798	30
344_LC_5	5	3	798	120
108_LC_2	2	3	798	10
345_SA_5	5	1	802	150
194_PR_3	3	2	808	20
4_LC_1	1	3	812	120
195_SA_3	3	1	813	150
5_SA_1	1	1	818	90
197_SA_3	3	1	818	120
346_LC_5	5	3	818	70
199_SA_3	3	1	818	80
196_PR_3	3	2	818	45
198_SA_3	3	1	818	60
6_SA_1	1	1	821	30
200_SA_3	3	1	821	60
201_LC_3	3	3	821	270
347_SA_5	5	1	822	20
7_SA_1	1	1	826	290
202_SA_3	3	1	826	180
8_SA_1	1	1	826	60
110_SA_2	2	1	826	120
111_SA_2	2	1	826	120
112_SA_2	2	1	826	60
109_SA_2	2	1	826	110
114_SA_2	2	1	826	60
113_SA_2	2	1	826	60
203_SA_3	3	1	826	45
115_PR_2	2	2	827	90
348_SA_5	5	1	828	60
349_SA_5	5	1	828	15
9_SA_1	1	1	828	360
10_SA_1	1	1	828	60
13_SA_1	1	1	828	60
14_SA_1	1	1	828	90
350_SA_5	5	1	828	180
12_SA_1	1	1	828	75
204_SA_3	3	1	828	80
205_SA_3	3	1	828	60
352_PR_5	5	2	828	70
11_SA_1	1	1	828	120
275_SA_4	4	1	828	90
276_SA_4	4	1	828	60
277_SA_4	4	1	828	120
120_SA_2	2	1	828	55
279_SA_4	4	1	828	300
280_NU_4	4	5	828	60
119_SA_2	2	1	828	60
124_SA_2	2	1	828	30
121_LC_2	2	3	828	45
122_SA_2	2	1	828	50
351_SA_5	5	1	828	60
118_SA_2	2	1	828	120
278_PR_4	4	2	828	150
116_SA_2	2	1	828	60
117_SA_2	2	1	828	140
123_SA_2	2	1	828	50
15_SA_1	1	1	846	240
125_SA_2	2	1	847	60
281_PR_4	4	2	847	70
282_LC_4	4	3	848	90
127_PR_2	2	2	851	80
206_PR_3	3	2	851	35
126_PR_2	2	2	851	180
353_SA_5	5	1	852	5
354_PR_5	5	2	854	30
16_SA_1	1	1	857	110
207_SA_3	3	1	857	50
128_SA_2	2	1	858	120
17_NU_1	1	5	862	180
129_NU_2	2	5	862	120
283_SA_4	4	1	864	180
355_LC_5	5	3	865	150
130_SA_2	2	1	865	90
356_SA_5	5	1	866	150
131_PR_2	2	2	868	215
18_SA_1	1	1	871	90
208_SA_3	3	1	871	90
209_SA_3	3	1	871	45
132_SA_2	2	1	871	20
19_SA_1	1	1	874	180
210_SA_3	3	1	874	180
284_SA_4	4	1	874	240
134_SA_2	2	1	875	60
133_SA_2	2	1	875	90
357_SA_5	5	1	875	60
285_SA_4	4	1	876	60
135_SA_2	2	1	878	60
20_SA_1	1	1	878	60
136_LC_2	2	3	879	30
286_PR_4	4	2	886	60
360_LC_5	5	3	886	10
358_PR_5	5	2	886	70
137_PR_2	2	2	886	150
359_LC_5	5	3	886	10
361_SA_5	5	1	886	10
21_NU_1	1	5	887	90
211_NU_3	3	5	887	40
362_PR_5	5	2	889	240
22_PR_1	1	2	890	60
213_LC_3	3	3	890	90
139_PR_2	2	2	890	60
140_SA_2	2	1	890	50
288_SA_4	4	1	890	60
287_PR_4	4	2	890	90
212_SA_3	3	1	890	40
138_VI_2	2	4	890	90
363_VI_5	5	4	890	10
214_VI_3	3	4	890	25
215_PR_3	3	2	891	45
23_SA_1	1	1	891	90
24_PR_1	1	2	891	100
289_LC_4	4	3	897	110
25_PR_1	1	2	906	90
141_NU_2	2	5	908	150
26_NU_1	1	5	908	420
27_LC_1	1	3	914	180
216_SA_3	3	1	917	80
28_SA_1	1	1	919	30
29_SA_1	1	1	926	60
364_PR_5	5	2	927	1
217_SA_3	3	1	929	150
365_SA_5	5	1	929	120
290_SA_4	4	1	929	60
291_SA_4	4	1	929	150
292_PR_4	4	2	930	50
293_PR_4	4	2	930	165
294_SA_4	4	1	932	90
142_LC_2	2	3	933	50
218_SA_3	3	1	934	120
219_SA_3	3	1	934	90
143_SA_2	2	1	934	180
144_SA_2	2	1	935	90
145_LC_2	2	3	939	60
146_SA_2	2	1	939	165
147_LC_2	2	3	939	30
220_PR_3	3	2	939	60
30_PR_1	1	2	940	60
295_LC_4	4	3	940	60
366_SA_5	5	1	948	20
32_SA_1	1	1	949	90
31_SA_1	1	1	949	90
367_PR_5	5	2	954	15
33_LC_1	1	3	958	150
221_PR_3	3	2	962	35
296_SA_4	4	1	973	90
222_PR_3	3	2	977	60
223_PR_3	3	2	977	40
224_PR_3	3	2	979	50
34_LC_1	1	3	981	80
148_SA_2	2	1	985	90
368_PR_5	5	2	988	5
369_SA_5	5	1	988	120
370_SA_5	5	1	988	140
225_SA_3	3	1	991	80
35_SA_1	1	1	991	105
297_SA_4	4	1	993	100
36_LC_1	1	3	994	60
298_PR_4	4	2	994	120
150_SA_2	2	1	994	120
149_SA_2	2	1	994	235
151_SA_2	2	1	995	120
38_PR_1	1	2	998	80
371_PR_5	5	2	998	30
37_PR_1	1	2	998	60
39_LC_1	1	3	1000	90
226_PR_3	3	2	1002	65
372_LC_5	5	3	1005	60
227_LC_3	3	3	1008	120
40_SA_1	1	1	1010	60
228_SA_3	3	1	1011	100
152_LC_2	2	3	1013	1
41_LC_1	1	3	1014	120
42_PR_1	1	2	1014	60
299_LC_4	4	3	1014	60
43_SA_1	1	1	1015	207
300_SA_4	4	1	1016	105
301_SA_4	4	1	1017	75
44_PR_1	1	2	1018	25
153_PR_2	2	2	1019	230
302_SA_4	4	1	1019	90
373_SA_5	5	1	1020	60
154_PR_2	2	2	1028	170
374_PR_5	5	2	1028	105
155_SA_2	2	1	1028	240
375_PR_5	5	2	1029	170
229_SA_3	3	1	1029	60
156_PR_2	2	2	1029	80
45_VI_1	1	4	1030	75
46_SA_1	1	1	1030	90
47_SA_1	1	1	1030	90
230_PR_3	3	2	1032	30
303_LC_4	4	3	1034	60
376_PR_5	5	2	1034	75
304_VI_4	4	4	1040	120
231_SA_3	3	1	1040	80
49_SA_1	1	1	1040	60
306_SA_4	4	1	1040	270
305_PR_4	4	2	1040	25
377_PR_5	5	2	1040	30
157_SA_2	2	1	1040	150
48_SA_1	1	1	1040	60
232_PR_3	3	2	1040	120
307_SA_4	4	1	1048	120
233_SA_3	3	1	1051	40
378_PR_5	5	2	1051	30
234_LC_3	3	3	1053	60
235_LC_3	3	3	1053	120
379_LC_5	5	3	1062	60
50_LC_1	1	3	1065	80
158_PR_2	2	2	1066	85
236_VI_3	3	4	1068	90
308_PR_4	4	2	1071	30
237_PR_3	3	2	1071	70
159_SA_2	2	1	1074	55
51_SA_1	1	1	1074	90
160_PR_2	2	2	1077	60
309_PR_4	4	2	1079	60
310_PR_4	4	2	1079	120
161_LC_2	2	3	1082	180
238_SA_3	3	1	1084	60
162_SA_2	2	1	1086	1
239_SA_3	3	1	1086	180
52_PR_1	1	2	1092	30
240_PR_3	3	2	1092	60
53_NU_1	1	5	1095	90
311_PR_4	4	2	1097	60
241_SA_3	3	1	1097	20
55_LC_1	1	3	1099	60
54_LC_1	1	3	1099	60
312_PR_4	4	2	1099	50
56_LC_1	1	3	1110	150
313_PR_4	4	2	1113	50
163_PR_2	2	2	1113	120
164_NU_2	2	5	1113	90
314_SA_4	4	1	1114	20
380_LC_5	5	3	1118	234
59_SA_1	1	1	1119	60
57_SA_1	1	1	1119	60
58_SA_1	1	1	1119	60
165_SA_2	2	1	1128	120
60_LC_1	1	3	1128	90
167_SA_2	2	1	1130	60
64_SA_1	1	1	1130	10
62_SA_1	1	1	1130	150
61_SA_1	1	1	1130	30
166_SA_2	2	1	1130	40
65_SA_1	1	1	1130	30
63_SA_1	1	1	1130	75
381_SA_5	5	1	1130	60
242_LC_3	3	3	1131	40
315_SA_4	4	1	1133	180
316_NU_4	4	5	1138	60
66_PR_1	1	2	1146	75
168_SA_2	2	1	1149	60
67_SA_1	1	1	1156	60
317_LC_4	4	3	1156	45
243_SA_3	3	1	1160	120
318_SA_4	4	1	1160	240
68_SA_1	1	1	1161	120
69_VI_1	1	4	1166	60
382_PR_5	5	2	1166	30
319_PR_4	4	2	1170	90
71_PR_1	1	2	1178	520
70_SA_1	1	1	1178	180
170_SA_2	2	1	1178	120
244_SA_3	3	1	1178	80
169_LC_2	2	3	1178	135
171_PR_2	2	2	1186	65
172_NU_2	2	5	1187	60
321_SA_4	4	1	1188	240
383_SA_5	5	1	1188	240
73_PR_1	1	2	1188	120
72_SA_1	1	1	1188	195
320_SA_4	4	1	1188	120
322_SA_4	4	1	1188	90
245_SA_3	3	1	1193	160
384_SA_5	5	1	1193	240
323_SA_4	4	1	1193	120
246_LC_3	3	3	1193	100
247_SA_3	3	1	1194	90
74_SA_1	1	1	1195	60
75_SA_1	1	1	1196	75
174_SA_2	2	1	1196	360
173_SA_2	2	1	1196	55
175_SA_2	2	1	1196	90
385_SA_5	5	1	1196	60
248_SA_3	3	1	1198	60
176_SA_2	2	1	1199	90
177_PR_2	2	2	1202	50
249_SA_3	3	1	1204	75
76_SA_1	1	1	1206	100
250_SA_3	3	1	1210	60
77_SA_1	1	1	1210	120
178_NU_2	2	5	1213	20
324_SA_4	4	1	1214	130
325_PR_4	4	2	1215	180
386_SA_5	5	1	1220	90
179_PR_2	2	2	1233	100
251_PR_3	3	2	1240	60
180_LC_2	2	3	1241	60
326_SA_4	4	1	1242	1
78_SA_1	1	1	1242	60
79_SA_1	1	1	1242	100
181_LC_2	2	3	1242	120
252_SA_3	3	1	1242	55
387_SA_5	5	1	1242	90
80_SA_1	1	1	1245	90
81_SA_1	1	1	1245	60
388_SA_5	5	1	1248	60
389_SA_5	5	1	1248	90
253_SA_3	3	1	1248	60
82_VI_1	1	4	1248	30
390_LC_5	5	3	1261	180
255_PR_3	3	2	1271	150
254_PR_3	3	2	1271	60
256_PR_3	3	2	1273	90
257_SA_3	3	1	1282	5
258_SA_3	3	1	1282	120
83_SA_1	1	1	1282	240
327_SA_4	4	1	1282	120
84_LC_1	1	3	1286	15
85_PR_1	1	2	1290	70
86_PR_1	1	2	1295	90
259_SA_3	3	1	1296	110
260_SA_3	3	1	1302	120
261_SA_3	3	1	1303	90
87_SA_1	1	1	1304	60
262_SA_3	3	1	1304	120
88_LC_1	1	3	1311	120
328_LC_4	4	3	1315	120
329_LC_4	4	3	1315	90
182_LC_2	2	3	1318	60
183_NU_2	2	5	1319	20
263_SA_3	3	1	1330	60
184_SA_2	2	1	1330	15
185_SA_2	2	1	1342	35
331_SA_4	4	1	1342	160
330_SA_4	4	1	1342	120
264_SA_3	3	1	1347	65
186_PR_2	2	2	1347	120
187_SA_2	2	1	1364	210
89_PR_1	1	2	1367	70
90_SA_1	1	1	1370	90
391_LC_5	5	3	1370	75
393_PR_5	5	2	1372	150
91_PR_1	1	2	1372	120
392_PR_5	5	2	1372	35
188_VI_2	2	4	1374	100
332_PR_4	4	2	1398	120
265_PR_3	3	2	1398	100
92_SA_1	1	1	1402	60
333_VI_4	4	4	1408	90
394_PR_5	5	2	1420	75
93_SA_1	1	1	1421	90
94_NU_1	1	5	1430	160
95_SA_1	1	1	1461	140
334_SA_4	4	1	1475	30
96_VI_1	1	4	1477	50
98_PR_1	1	2	1480	10
97_PR_1	1	2	1480	20
335_SA_4	4	1	1485	30
266_SA_3	3	1	1488	80
99_SA_1	1	1	1502	75
267_NU_3	3	5	1508	50
336_VI_4	4	4	1513	240
337_PR_4	4	2	1533	1
395_SA_5	5	1	1536	90
338_SA_4	4	1	1536	60
396_SA_5	5	1	1539	60
397_SA_5	5	1	1539	10
268_SA_3	3	1	1546	90
398_NU_5	5	5	1560	150
340_SA_4	4	1	1560	60
339_SA_4	4	1	1560	140
189_PR_2	2	2	1560	80
399_SA_5	5	1	1605	60
190_SA_2	2	1	1605	30
100_PR_1	1	2	1614	60
269_SA_3	3	1	1622	40
400_PR_5	5	2	1676	45
270_PR_3	3	2	1847	75
