#cliente	day	place	penalty	service
191_PR_3	3	2	8238	60
101_PR_2	2	2	8238	60
1_PR_1	1	2	10289	90
341_SA_5	5	1	10764	70
102_SA_2	2	1	11483	120
2_SA_1	1	1	11536	90
103_SA_2	2	1	12170	120
104_LC_2	2	3	12310	120
271_PR_4	4	2	12375	60
105_LC_2	2	3	12416	200
342_PR_5	5	2	12458	60
192_PR_3	3	2	12460	130
193_LC_3	3	3	12588	70
272_LC_4	4	3	13117	130
273_LC_4	4	3	13158	90
343_LC_5	5	3	13175	45
274_SA_4	4	1	13214	60
3_SA_1	1	1	13278	75
106_NU_2	2	5	13348	75
107_PR_2	2	2	13404	30
344_LC_5	5	3	13539	120
108_LC_2	2	3	13539	10
345_SA_5	5	1	13844	150
194_PR_3	3	2	13932	20
4_LC_1	1	3	13977	120
195_SA_3	3	1	14148	150
5_SA_1	1	1	14180	90
197_SA_3	3	1	14180	120
346_LC_5	5	3	14180	70
199_SA_3	3	1	14180	80
196_PR_3	3	2	14180	45
198_SA_3	3	1	14180	60
6_SA_1	1	1	14202	30
200_SA_3	3	1	14202	60
201_LC_3	3	3	14202	270
347_SA_5	5	1	14467	20
7_SA_1	1	1	14476	290
202_SA_3	3	1	14476	180
8_SA_1	1	1	14476	60
110_SA_2	2	1	14476	120
111_SA_2	2	1	14476	120
112_SA_2	2	1	14476	60
109_SA_2	2	1	14476	110
114_SA_2	2	1	14476	60
113_SA_2	2	1	14476	60
203_SA_3	3	1	14476	45
115_PR_2	2	2	14588	90
348_SA_5	5	1	14601	60
349_SA_5	5	1	14601	15
9_SA_1	1	1	14732	360
10_SA_1	1	1	14732	60
13_SA_1	1	1	14732	60
14_SA_1	1	1	14732	90
350_SA_5	5	1	14732	180
12_SA_1	1	1	14732	75
204_SA_3	3	1	14732	80
205_SA_3	3	1	14732	60
352_PR_5	5	2	14732	70
11_SA_1	1	1	14732	120
275_SA_4	4	1	14732	90
276_SA_4	4	1	14732	60
277_SA_4	4	1	14732	120
120_SA_2	2	1	14732	55
279_SA_4	4	1	14732	300
280_NU_4	4	5	14732	60
119_SA_2	2	1	14732	60
124_SA_2	2	1	14732	30
121_LC_2	2	3	14732	45
122_SA_2	2	1	14732	50
351_SA_5	5	1	14732	60
118_SA_2	2	1	14732	120
278_PR_4	4	2	14732	150
116_SA_2	2	1	14732	60
117_SA_2	2	1	14732	140
123_SA_2	2	1	14732	50
15_SA_1	1	1	14806	240
125_SA_2	2	1	14835	60
281_PR_4	4	2	14835	70
282_LC_4	4	3	14860	90
127_PR_2	2	2	14970	80
206_PR_3	3	2	14970	35
126_PR_2	2	2	14970	180
353_SA_5	5	1	15032	5
354_PR_5	5	2	15076	30
16_SA_1	1	1	15256	110
207_SA_3	3	1	15256	50
128_SA_2	2	1	15377	120
17_NU_1	1	5	15541	180
129_NU_2	2	5	15541	120
283_SA_4	4	1	15597	180
355_LC_5	5	3	15609	150
130_SA_2	2	1	15609	90
356_SA_5	5	1	15898	150
131_PR_2	2	2	15952	215
18_SA_1	1	1	15956	90
208_SA_3	3	1	15956	90
209_SA_3	3	1	15956	45
132_SA_2	2	1	15956	20
