#cliente	day	place	penalty	service
191_PR_3	3	2	1888	60
101_PR_2	2	2	2360	60
1_PR_1	1	2	326	90
341_SA_5	5	1	1932	70
102_SA_2	2	1	3003	120
2_SA_1	1	1	60158	90
103_SA_2	2	1	57379	120
104_LC_2	2	3	409	120
271_PR_4	4	2	27826	60
105_LC_2	2	3	52076	200
342_PR_5	5	2	611	60
192_PR_3	3	2	4884	130
193_LC_3	3	3	2156	70
272_LC_4	4	3	42773	130
273_LC_4	4	3	3036	90
343_LC_5	5	3	54123	45
274_SA_4	4	1	54507	60
3_SA_1	1	1	39189	75
106_NU_2	2	5	52223	75
107_PR_2	2	2	42760	30
344_LC_5	5	3	42883	120
108_LC_2	2	3	46904	10
345_SA_5	5	1	249	150
194_PR_3	3	2	46987	20
4_LC_1	1	3	1342	120
195_SA_3	3	1	3085	150
5_SA_1	1	1	44080	90
197_SA_3	3	1	67113	120
346_LC_5	5	3	49413	70
199_SA_3	3	1	66898	80
196_PR_3	3	2	40739	45
198_SA_3	3	1	70297	60
6_SA_1	1	1	4998	30
200_SA_3	3	1	4671	60
201_LC_3	3	3	5930	270
347_SA_5	5	1	68930	20
7_SA_1	1	1	60652	290
202_SA_3	3	1	58490	180
8_SA_1	1	1	58758	60
110_SA_2	2	1	54957	120
111_SA_2	2	1	38075	120
112_SA_2	2	1	55513	60
109_SA_2	2	1	29171	110
114_SA_2	2	1	45212	60
113_SA_2	2	1	42576	60
203_SA_3	3	1	48601	45
115_PR_2	2	2	32645	90
348_SA_5	5	1	6713	60
349_SA_5	5	1	6852	15
9_SA_1	1	1	714	360
10_SA_1	1	1	552	60
13_SA_1	1	1	365	60
14_SA_1	1	1	875	90
350_SA_5	5	1	592	180
12_SA_1	1	1	811	75
204_SA_3	3	1	823	80
205_SA_3	3	1	673	60
352_PR_5	5	2	698	70
11_SA_1	1	1	746	120
275_SA_4	4	1	441	90
276_SA_4	4	1	624	60
277_SA_4	4	1	735	120
120_SA_2	2	1	494	55
279_SA_4	4	1	594	300
280_NU_4	4	5	764	60
119_SA_2	2	1	545	60
124_SA_2	2	1	506	30
121_LC_2	2	3	753	45
122_SA_2	2	1	884	50
351_SA_5	5	1	503	60
118_SA_2	2	1	753	120
278_PR_4	4	2	447	150
116_SA_2	2	1	712	60
117_SA_2	2	1	648	140
123_SA_2	2	1	345	50
15_SA_1	1	1	53405	240
125_SA_2	2	1	64772	60
281_PR_4	4	2	42407	70
282_LC_4	4	3	35711	90
127_PR_2	2	2	89302	80
206_PR_3	3	2	87322	35
126_PR_2	2	2	108930	180
353_SA_5	5	1	142	5
354_PR_5	5	2	51407	30
16_SA_1	1	1	451	110
207_SA_3	3	1	406	50
128_SA_2	2	1	190	120
17_NU_1	1	5	1085	180
129_NU_2	2	5	881	120
283_SA_4	4	1	2712	180
355_LC_5	5	3	1449	150
130_SA_2	2	1	1531	90
356_SA_5	5	1	415	150
131_PR_2	2	2	48214	215
18_SA_1	1	1	1503	90
