#cliente	day	place	penalty	service
191_PR_3	3	2	1981	60
101_PR_2	2	2	2317	60
1_PR_1	1	2	429	90
341_SA_5	5	1	1910	70
102_SA_2	2	1	3629	120
2_SA_1	1	1	54960	90
103_SA_2	2	1	56238	120
104_LC_2	2	3	321	120
271_PR_4	4	2	24400	60
105_LC_2	2	3	52214	200
342_PR_5	5	2	658	60
192_PR_3	3	2	4019	130
193_LC_3	3	3	1990	70
272_LC_4	4	3	48960	130
273_LC_4	4	3	2394	90
343_LC_5	5	3	53268	45
274_SA_4	4	1	45546	60
3_SA_1	1	1	52825	75
106_NU_2	2	5	45694	75
107_PR_2	2	2	52971	30
344_LC_5	5	3	54311	120
108_LC_2	2	3	50242	10
345_SA_5	5	1	221	150
194_PR_3	3	2	45006	20
4_LC_1	1	3	2204	120
195_SA_3	3	1	3141	150
5_SA_1	1	1	53837	90
197_SA_3	3	1	47890	120
346_LC_5	5	3	54905	70
199_SA_3	3	1	49057	80
196_PR_3	3	2	53936	45
198_SA_3	3	1	50115	60
6_SA_1	1	1	5755	30
200_SA_3	3	1	5310	60
201_LC_3	3	3	6221	270
347_SA_5	5	1	50982	20
7_SA_1	1	1	48683	290
202_SA_3	3	1	52821	180
8_SA_1	1	1	46169	60
110_SA_2	2	1	45689	120
111_SA_2	2	1	48797	120
112_SA_2	2	1	52373	60
109_SA_2	2	1	52633	110
114_SA_2	2	1	51567	60
113_SA_2	2	1	45559	60
203_SA_3	3	1	47303	45
115_PR_2	2	2	53611	90
348_SA_5	5	1	5894	60
349_SA_5	5	1	6245	15
9_SA_1	1	1	685	360
10_SA_1	1	1	598	60
13_SA_1	1	1	685	60
14_SA_1	1	1	621	90
350_SA_5	5	1	597	180
12_SA_1	1	1	678	75
204_SA_3	3	1	595	80
205_SA_3	3	1	602	60
352_PR_5	5	2	652	70
11_SA_1	1	1	703	120
275_SA_4	4	1	597	90
276_SA_4	4	1	703	60
277_SA_4	4	1	616	120
120_SA_2	2	1	660	55
279_SA_4	4	1	645	300
280_NU_4	4	5	592	60
119_SA_2	2	1	607	60
124_SA_2	2	1	593	30
121_LC_2	2	3	635	45
122_SA_2	2	1	664	50
351_SA_5	5	1	628	60
118_SA_2	2	1	609	120
278_PR_4	4	2	632	150
116_SA_2	2	1	611	60
117_SA_2	2	1	670	140
123_SA_2	2	1	617	50
15_SA_1	1	1	50899	240
125_SA_2	2	1	45615	60
281_PR_4	4	2	51713	70
282_LC_4	4	3	31834	90
127_PR_2	2	2	112376	80
206_PR_3	3	2	124392	35
126_PR_2	2	2	107198	180
353_SA_5	5	1	153	5
354_PR_5	5	2	46565	30
16_SA_1	1	1	393	110
207_SA_3	3	1	367	50
128_SA_2	2	1	167	120
17_NU_1	1	5	1024	180
129_NU_2	2	5	1021	120
283_SA_4	4	1	2079	180
355_LC_5	5	3	1401	150
130_SA_2	2	1	1578	90
356_SA_5	5	1	323	150
131_PR_2	2	2	46932	215
18_SA_1	1	1	1238	90
208_SA_3	3	1	1218	90
209_SA_3	3	1	1223	45
132_SA_2	2	1	1151	20
19_SA_1	1	1	91261	180
210_SA_3	3	1	89893	180
284_SA_4	4	1	95803	240
134_SA_2	2	1	52913	60
133_SA_2	2	1	47245	90
357_SA_5	5	1	49783	60
285_SA_4	4	1	53676	60
135_SA_2	2	1	51070	60
20_SA_1	1	1	50511	60
136_LC_2	2	3	330	30
286_PR_4	4	2	53823	60
360_LC_5	5	3	53748	10
358_PR_5	5	2	48400	70
137_PR_2	2	2	53184	150
359_LC_5	5	3	47747	10
361_SA_5	5	1	52001	10
21_NU_1	1	5	22395	90
211_NU_3	3	5	23625	40
362_PR_5	5	2	45586	240
22_PR_1	1	2	54303	60
213_LC_3	3	3	46117	90
139_PR_2	2	2	50434	60
140_SA_2	2	1	45755	50
288_SA_4	4	1	50464	60
287_PR_4	4	2	45856	90
212_SA_3	3	1	51373	40
138_VI_2	2	4	52550	90
363_VI_5	5	4	2588	10
214_VI_3	3	4	2728	25
215_PR_3	3	2	47222	45
23_SA_1	1	1	46476	90
24_PR_1	1	2	6121	100
289_LC_4	4	3	31058	110
25_PR_1	1	2	5755	90
141_NU_2	2	5	396	150
26_NU_1	1	5	371	420
27_LC_1	1	3	2812	180
216_SA_3	3	1	14896	80
28_SA_1	1	1	342	30
29_SA_1	1	1	52062	60
364_PR_5	5	2	1788	1
217_SA_3	3	1	802	150
365_SA_5	5	1	810	120
290_SA_4	4	1	788	60
291_SA_4	4	1	3063	150
292_PR_4	4	2	2160	50
293_PR_4	4	2	2169	165
294_SA_4	4	1	30812	90
142_LC_2	2	3	4844	50
218_SA_3	3	1	3800	120
219_SA_3	3	1	3162	90
143_SA_2	2	1	3553	180
144_SA_2	2	1	321	90
145_LC_2	2	3	180	60
146_SA_2	2	1	182	165
147_LC_2	2	3	185	30
220_PR_3	3	2	177	60
30_PR_1	1	2	8071	60
295_LC_4	4	3	97	60
366_SA_5	5	1	9233	20
32_SA_1	1	1	18058	90
31_SA_1	1	1	18901	90
367_PR_5	5	2	48234	15
33_LC_1	1	3	3547	150
221_PR_3	3	2	46941	35
296_SA_4	4	1	47555	90
222_PR_3	3	2	46529	60
223_PR_3	3	2	50454	40
224_PR_3	3	2	2355	50
34_LC_1	1	3	46040	80
148_SA_2	2	1	11738	90
368_PR_5	5	2	15975	5
369_SA_5	5	1	50242	120
370_SA_5	5	1	46318	140
225_SA_3	3	1	376	80
35_SA_1	1	1	351	105
297_SA_4	4	1	1787	100
36_LC_1	1	3	46230	60
298_PR_4	4	2	269	120
150_SA_2	2	1	1598	120
149_SA_2	2	1	1780	235
151_SA_2	2	1	68451	120
38_PR_1	1	2	54141	80
371_PR_5	5	2	45188	30
37_PR_1	1	2	52960	60
39_LC_1	1	3	3536	90
226_PR_3	3	2	47871	65
372_LC_5	5	3	47599	60
227_LC_3	3	3	3190	120
40_SA_1	1	1	3331	60
228_SA_3	3	1	51197	100
152_LC_2	2	3	1675	1
41_LC_1	1	3	3036	120
42_PR_1	1	2	2775	60
299_LC_4	4	3	228	60
43_SA_1	1	1	4136	207
300_SA_4	4	1	48848	105
301_SA_4	4	1	495	75
44_PR_1	1	2	1205	25
153_PR_2	2	2	52817	230
302_SA_4	4	1	52219	90
373_SA_5	5	1	1821	60
154_PR_2	2	2	51564	170
374_PR_5	5	2	49266	105
155_SA_2	2	1	51411	240
375_PR_5	5	2	51199	170
229_SA_3	3	1	481	60
156_PR_2	2	2	47214	80
45_VI_1	1	4	9311	75
46_SA_1	1	1	94	90
47_SA_1	1	1	89	90
230_PR_3	3	2	32842	30
303_LC_4	4	3	48098	60
376_PR_5	5	2	51381	75
304_VI_4	4	4	1473	120
231_SA_3	3	1	1461	80
49_SA_1	1	1	1512	60
306_SA_4	4	1	1488	270
305_PR_4	4	2	1319	25
377_PR_5	5	2	1333	30
157_SA_2	2	1	1310	150
48_SA_1	1	1	1374	60
232_PR_3	3	2	1537	120
307_SA_4	4	1	47726	120
233_SA_3	3	1	50245	40
378_PR_5	5	2	47435	30
234_LC_3	3	3	2343	60
235_LC_3	3	3	393	120
379_LC_5	5	3	50617	60
50_LC_1	1	3	45468	80
158_PR_2	2	2	2653	85
