#cliente	day	place	penalty	service
191_PR_3	3	2	2151	60
101_PR_2	2	2	2151	60
1_PR_1	1	2	401	90
341_SA_5	5	1	2096	70
102_SA_2	2	1	3423	120
2_SA_1	1	1	50000	90
103_SA_2	2	1	53565	120
104_LC_2	2	3	335	120
271_PR_4	4	2	24247	60
105_LC_2	2	3	50000	200
342_PR_5	5	2	618	60
192_PR_3	3	2	3777	130
193_LC_3	3	3	1880	70
272_LC_4	4	3	50000	130
273_LC_4	4	3	2504	90
343_LC_5	5	3	50000	45
274_SA_4	4	1	50000	60
3_SA_1	1	1	50000	75
106_NU_2	2	5	50000	75
107_PR_2	2	2	50000	30
344_LC_5	5	3	50000	120
108_LC_2	2	3	50000	10
345_SA_5	5	1	245	150
194_PR_3	3	2	50000	20
4_LC_1	1	3	2132	120
195_SA_3	3	1	3120	150
5_SA_1	1	1	50000	90
197_SA_3	3	1	50000	120
346_LC_5	5	3	50000	70
199_SA_3	3	1	50000	80
196_PR_3	3	2	50000	45
198_SA_3	3	1	50000	60
6_SA_1	1	1	5705	30
200_SA_3	3	1	5705	60
201_LC_3	3	3	5705	270
347_SA_5	5	1	50000	20
7_SA_1	1	1	50000	290
202_SA_3	3	1	50000	180
8_SA_1	1	1	50000	60
110_SA_2	2	1	50000	120
111_SA_2	2	1	50000	120
112_SA_2	2	1	50000	60
109_SA_2	2	1	50000	110
114_SA_2	2	1	50000	60
113_SA_2	2	1	50000	60
203_SA_3	3	1	50000	45
115_PR_2	2	2	50000	90
348_SA_5	5	1	6019	60
349_SA_5	5	1	6019	15
9_SA_1	1	1	653	360
10_SA_1	1	1	653	60
13_SA_1	1	1	653	60
14_SA_1	1	1	653	90
350_SA_5	5	1	653	180
12_SA_1	1	1	653	75
204_SA_3	3	1	653	80
205_SA_3	3	1	653	60
352_PR_5	5	2	653	70
11_SA_1	1	1	653	120
275_SA_4	4	1	653	90
276_SA_4	4	1	653	60
277_SA_4	4	1	653	120
120_SA_2	2	1	653	55
279_SA_4	4	1	653	300
280_NU_4	4	5	653	60
119_SA_2	2	1	653	60
124_SA_2	2	1	653	30
121_LC_2	2	3	653	45
122_SA_2	2	1	653	50
351_SA_5	5	1	653	60
118_SA_2	2	1	653	120
278_PR_4	4	2	653	150
116_SA_2	2	1	653	60
117_SA_2	2	1	653	140
123_SA_2	2	1	653	50
15_SA_1	1	1	50000	240
125_SA_2	2	1	50000	60
281_PR_4	4	2	50000	70
282_LC_4	4	3	29881	90
127_PR_2	2	2	116703	80
206_PR_3	3	2	116703	35
126_PR_2	2	2	116703	180
353_SA_5	5	1	158	5
354_PR_5	5	2	50000	30
16_SA_1	1	1	368	110
207_SA_3	3	1	368	50
128_SA_2	2	1	176	120
17_NU_1	1	5	1094	180
129_NU_2	2	5	1094	120
283_SA_4	4	1	2098	180
355_LC_5	5	3	1518	150
130_SA_2	2	1	1518	90
356_SA_5	5	1	321	150
131_PR_2	2	2	50000	215
18_SA_1	1	1	1276	90
208_SA_3	3	1	1276	90
209_SA_3	3	1	1276	45
132_SA_2	2	1	1276	20
19_SA_1	1	1	94251	180
210_SA_3	3	1	94251	180
284_SA_4	4	1	94251	240
134_SA_2	2	1	50000	60
133_SA_2	2	1	50000	90
357_SA_5	5	1	50000	60
285_SA_4	4	1	50000	60
135_SA_2	2	1	50000	60
20_SA_1	1	1	50000	60
136_LC_2	2	3	356	30
286_PR_4	4	2	50000	60
360_LC_5	5	3	50000	10
358_PR_5	5	2	50000	70
137_PR_2	2	2	50000	150
359_LC_5	5	3	50000	10
361_SA_5	5	1	50000	10
21_NU_1	1	5	21513	90
211_NU_3	3	5	21513	40
362_PR_5	5	2	50000	240
22_PR_1	1	2	50000	60
213_LC_3	3	3	50000	90
139_PR_2	2	2	50000	60
140_SA_2	2	1	50000	50
288_SA_4	4	1	50000	60
287_PR_4	4	2	50000	90
212_SA_3	3	1	50000	40
138_VI_2	2	4	50000	90
363_VI_5	5	4	2582	10
214_VI_3	3	4	2582	25
215_PR_3	3	2	50000	45
23_SA_1	1	1	50000	90
24_PR_1	1	2	5879	100
289_LC_4	4	3	33840	110
25_PR_1	1	2	6057	90
141_NU_2	2	5	384	150
26_NU_1	1	5	384	420
27_LC_1	1	3	2603	180
216_SA_3	3	1	15930	80
28_SA_1	1	1	354	30
29_SA_1	1	1	50000	60
364_PR_5	5	2	1850	1
217_SA_3	3	1	848	150
365_SA_5	5	1	848	120
290_SA_4	4	1	848	60
291_SA_4	4	1	3346	150
292_PR_4	4	2	2191	50
293_PR_4	4	2	2191	165
294_SA_4	4	1	28659	90
142_LC_2	2	3	4987	50
218_SA_3	3	1	3463	120
219_SA_3	3	1	3463	90
143_SA_2	2	1	3463	180
144_SA_2	2	1	316	90
145_LC_2	2	3	183	60
146_SA_2	2	1	183	165
147_LC_2	2	3	183	30
220_PR_3	3	2	183	60
30_PR_1	1	2	8843	60
295_LC_4	4	3	91	60
366_SA_5	5	1	9353	20
32_SA_1	1	1	18615	90
31_SA_1	1	1	18615	90
367_PR_5	5	2	50000	15
33_LC_1	1	3	3729	150
221_PR_3	3	2	50000	35
296_SA_4	4	1	50000	90
222_PR_3	3	2	50000	60
223_PR_3	3	2	50000	40
224_PR_3	3	2	2383	50
34_LC_1	1	3	50000	80
148_SA_2	2	1	10728	90
368_PR_5	5	2	16755	5
369_SA_5	5	1	50000	120
370_SA_5	5	1	50000	140
225_SA_3	3	1	372	80
35_SA_1	1	1	372	105
297_SA_4	4	1	1691	100
36_LC_1	1	3	50000	60
298_PR_4	4	2	263	120
150_SA_2	2	1	1759	120
149_SA_2	2	1	1759	235
151_SA_2	2	1	74149	120
38_PR_1	1	2	50000	80
371_PR_5	5	2	50000	30
37_PR_1	1	2	50000	60
39_LC_1	1	3	3396	90
226_PR_3	3	2	50000	65
372_LC_5	5	3	50000	60
227_LC_3	3	3	3079	120
40_SA_1	1	1	3341	60
228_SA_3	3	1	50000	100
152_LC_2	2	3	1824	1
41_LC_1	1	3	3057	120
42_PR_1	1	2	3057	60
299_LC_4	4	3	249	60
43_SA_1	1	1	4155	207
300_SA_4	4	1	50000	105
301_SA_4	4	1	456	75
44_PR_1	1	2	1124	25
153_PR_2	2	2	50000	230
302_SA_4	4	1	50000	90
373_SA_5	5	1	1681	60
154_PR_2	2	2	50000	170
374_PR_5	5	2	50000	105
155_SA_2	2	1	50000	240
375_PR_5	5	2	50000	170
229_SA_3	3	1	445	60
156_PR_2	2	2	50000	80
45_VI_1	1	4	9433	75
46_SA_1	1	1	91	90
47_SA_1	1	1	91	90
230_PR_3	3	2	34999	30
303_LC_4	4	3	50000	60
376_PR_5	5	2	50000	75
304_VI_4	4	4	1440	120
231_SA_3	3	1	1440	80
49_SA_1	1	1	1440	60
306_SA_4	4	1	1440	270
305_PR_4	4	2	1440	25
377_PR_5	5	2	1440	30
157_SA_2	2	1	1440	150
48_SA_1	1	1	1440	60
232_PR_3	3	2	1440	120
307_SA_4	4	1	50000	120
233_SA_3	3	1	50000	40
378_PR_5	5	2	50000	30
234_LC_3	3	3	2274	60
235_LC_3	3	3	389	120
379_LC_5	5	3	50000	60
50_LC_1	1	3	50000	80
158_PR_2	2	2	2500	85
236_VI_3	3	4	132	90
308_PR_4	4	2	50000	30
237_PR_3	3	2	50000	70
159_SA_2	2	1	2653	55
51_SA_1	1	1	2653	90
160_PR_2	2	2	50000	60
309_PR_4	4	2	50000	60
310_PR_4	4	2	50000	120
161_LC_2	2	3	50000	180
238_SA_3	3	1	6097	60
162_SA_2	2	1	6017	1
239_SA_3	3	1	50000	180
52_PR_1	1	2	4283	30
240_PR_3	3	2	4283	60
53_NU_1	1	5	50000	90
311_PR_4	4	2	50000	60
241_SA_3	3	1	50000	20
55_LC_1	1	3	1125	60
54_LC_1	1	3	1125	60
312_PR_4	4	2	205070	50
56_LC_1	1	3	75	150
313_PR_4	4	2	1467	50
163_PR_2	2	2	1467	120
164_NU_2	2	5	1859	90
314_SA_4	4	1	2240	20
380_LC_5	5	3	4208	234
59_SA_1	1	1	5008	60
57_SA_1	1	1	5008	60
58_SA_1	1	1	5008	60
165_SA_2	2	1	50000	120
60_LC_1	1	3	5069	90
167_SA_2	2	1	50000	60
64_SA_1	1	1	50000	10
62_SA_1	1	1	50000	150
61_SA_1	1	1	50000	30
166_SA_2	2	1	50000	40
65_SA_1	1	1	50000	30
63_SA_1	1	1	50000	75
381_SA_5	5	1	50000	60
242_LC_3	3	3	50000	40
315_SA_4	4	1	2642	180
316_NU_4	4	5	10683	60
66_PR_1	1	2	370	75
168_SA_2	2	1	835	60
67_SA_1	1	1	187	60
317_LC_4	4	3	50000	45
243_SA_3	3	1	1067	120
318_SA_4	4	1	1067	240
68_SA_1	1	1	218	120
69_VI_1	1	4	50000	60
382_PR_5	5	2	2844	30
319_PR_4	4	2	1986	90
71_PR_1	1	2	17877	520
70_SA_1	1	1	17877	180
170_SA_2	2	1	17877	120
244_SA_3	3	1	17877	80
169_LC_2	2	3	17877	135
171_PR_2	2	2	7683	65
172_NU_2	2	5	50000	60
321_SA_4	4	1	50000	240
383_SA_5	5	1	50000	240
73_PR_1	1	2	50000	120
72_SA_1	1	1	50000	195
320_SA_4	4	1	50000	120
322_SA_4	4	1	50000	90
245_SA_3	3	1	358	160
384_SA_5	5	1	358	240
323_SA_4	4	1	358	120
246_LC_3	3	3	3904	100
247_SA_3	3	1	50000	90
74_SA_1	1	1	262	60
75_SA_1	1	1	50000	75
174_SA_2	2	1	50000	360
173_SA_2	2	1	50000	55
175_SA_2	2	1	50000	90
385_SA_5	5	1	50000	60
248_SA_3	3	1	1661	60
176_SA_2	2	1	943	90
177_PR_2	2	2	115	50
249_SA_3	3	1	50000	75
76_SA_1	1	1	206	100
250_SA_3	3	1	50000	60
77_SA_1	1	1	50000	120
178_NU_2	2	5	241	20
324_SA_4	4	1	50000	130
325_PR_4	4	2	4656	180
386_SA_5	5	1	50000	90
179_PR_2	2	2	50000	100
251_PR_3	3	2	5021	60
180_LC_2	2	3	50000	60
326_SA_4	4	1	985	1
78_SA_1	1	1	985	60
79_SA_1	1	1	985	100
181_LC_2	2	3	985	120
252_SA_3	3	1	985	55
