#cliente	day	place	penalty	service
191_PR_3	3	2	3110	60
101_PR_2	2	2	2197	60
1_PR_1	1	2	290	90
341_SA_5	5	1	2237	70
102_SA_2	2	1	3662	120
2_SA_1	1	1	42575	90
103_SA_2	2	1	52588	120
104_LC_2	2	3	368	120
271_PR_4	4	2	30579	60
105_LC_2	2	3	46836	200
342_PR_5	5	2	575	60
192_PR_3	3	2	4495	130
193_LC_3	3	3	1887	70
272_LC_4	4	3	61046	130
273_LC_4	4	3	2042	90
343_LC_5	5	3	30460	45
274_SA_4	4	1	52152	60
3_SA_1	1	1	29170	75
106_NU_2	2	5	53282	75
107_PR_2	2	2	48446	30
344_LC_5	5	3	55411	120
108_LC_2	2	3	30802	10
345_SA_5	5	1	254	150
194_PR_3	3	2	61080	20
4_LC_1	1	3	2187	120
195_SA_3	3	1	3163	150
5_SA_1	1	1	45528	90
197_SA_3	3	1	47463	120
346_LC_5	5	3	53270	70
199_SA_3	3	1	56646	80
196_PR_3	3	2	65543	45
198_SA_3	3	1	49177	60
6_SA_1	1	1	3327	30
200_SA_3	3	1	3668	60
201_LC_3	3	3	4813	270
347_SA_5	5	1	50829	20
7_SA_1	1	1	63266	290
202_SA_3	3	1	43874	180
8_SA_1	1	1	51677	60
110_SA_2	2	1	49575	120
111_SA_2	2	1	51515	120
112_SA_2	2	1	44587	60
109_SA_2	2	1	50344	110
114_SA_2	2	1	46792	60
113_SA_2	2	1	49551	60
203_SA_3	3	1	49708	45
115_PR_2	2	2	36463	90
348_SA_5	5	1	4819	60
349_SA_5	5	1	7844	15
9_SA_1	1	1	699	360
10_SA_1	1	1	786	60
13_SA_1	1	1	310	60
14_SA_1	1	1	747	90
350_SA_5	5	1	684	180
12_SA_1	1	1	666	75
204_SA_3	3	1	443	80
205_SA_3	3	1	712	60
352_PR_5	5	2	357	70
11_SA_1	1	1	380	120
275_SA_4	4	1	752	90
276_SA_4	4	1	559	60
277_SA_4	4	1	538	120
120_SA_2	2	1	488	55
279_SA_4	4	1	715	300
280_NU_4	4	5	704	60
119_SA_2	2	1	670	60
124_SA_2	2	1	669	30
121_LC_2	2	3	866	45
122_SA_2	2	1	399	50
351_SA_5	5	1	538	60
118_SA_2	2	1	736	120
278_PR_4	4	2	687	150
116_SA_2	2	1	722	60
117_SA_2	2	1	719	140
123_SA_2	2	1	596	50
15_SA_1	1	1	56421	240
125_SA_2	2	1	64854	60
281_PR_4	4	2	54153	70
282_LC_4	4	3	34077	90
127_PR_2	2	2	137742	80
206_PR_3	3	2	88734	35
126_PR_2	2	2	55168	180
353_SA_5	5	1	112	5
354_PR_5	5	2	64916	30
16_SA_1	1	1	423	110
207_SA_3	3	1	357	50
128_SA_2	2	1	195	120
17_NU_1	1	5	936	180
129_NU_2	2	5	1072	120
283_SA_4	4	1	1499	180
355_LC_5	5	3	1251	150
130_SA_2	2	1	1428	90
356_SA_5	5	1	221	150
131_PR_2	2	2	35851	215
18_SA_1	1	1	1322	90
208_SA_3	3	1	1329	90
209_SA_3	3	1	1519	45
132_SA_2	2	1	1675	20
19_SA_1	1	1	80111	180
210_SA_3	3	1	104898	180
284_SA_4	4	1	90155	240
134_SA_2	2	1	48114	60
133_SA_2	2	1	44964	90
357_SA_5	5	1	50067	60
285_SA_4	4	1	51185	60
135_SA_2	2	1	53888	60
20_SA_1	1	1	34896	60
136_LC_2	2	3	274	30
