#cliente	day	place	penalty	service
1_PR_1	1	2	28800	90
2_SA_1	1	1	28800	90
3_SA_1	1	1	28800	75
4_LC_1	1	4	28800	120
5_SA_1	1	1	28800	90
6_SA_1	1	1	28800	30
7_SA_1	1	1	28800	290
8_SA_1	1	1	28800	60
9_SA_1	1	1	28800	360
10_SA_1	1	1	28800	60
11_SA_1	1	1	28800	120
12_SA_1	1	1	28800	75
13_SA_1	1	1	28800	60
14_SA_1	1	1	28800	90
15_SA_1	1	1	28800	240
16_SA_1	1	1	28800	110
17_NU_1	1	5	28800	180
18_SA_1	1	1	28800	90
19_SA_1	1	1	28800	180
20_SA_1	1	1	28800	60
21_NU_1	1	5	28800	90
22_PR_1	1	2	28800	60
23_SA_1	1	1	28800	90
24_PR_1	1	2	28800	100
25_PR_1	1	2	28800	90
26_NU_1	1	5	28800	420
27_LC_1	1	4	28800	180
28_SA_1	1	1	28800	30
29_SA_1	1	1	28800	60
30_PR_1	1	2	28800	60
31_SA_1	1	1	28800	90
32_SA_1	1	1	28800	90
33_LC_1	1	4	28800	150
34_LC_1	1	4	28800	80
35_SA_1	1	1	28800	105
36_LC_1	1	4	28800	60
37_PR_1	1	2	28800	60
38_PR_1	1	2	28800	80
39_LC_1	1	4	28800	90
40_SA_1	1	1	28800	60
41_LC_1	1	4	28800	120
42_PR_1	1	2	28800	60
43_SA_1	1	1	28800	207
44_PR_1	1	2	28800	25
45__1	1	3	28800	75
46_SA_1	1	1	28800	90
47_SA_1	1	1	28800	90
48_SA_1	1	1	28800	60
49_SA_1	1	1	28800	60
50_LC_1	1	4	28800	80
51_SA_1	1	1	28800	90
52_PR_1	1	2	28800	30
53_NU_1	1	5	28800	90
54_LC_1	1	4	28800	60
55_LC_1	1	4	28800	60
56_LC_1	1	4	28800	150
57_SA_1	1	1	28800	60
58_SA_1	1	1	28800	60
59_SA_1	1	1	28800	60
60_LC_1	1	4	28800	90
61_SA_1	1	1	28800	30
62_SA_1	1	1	28800	150
63_SA_1	1	1	28800	75
64_SA_1	1	1	28800	10
65_SA_1	1	1	28800	30
66_PR_1	1	2	28800	75
67_SA_1	1	1	28800	60
68_SA_1	1	1	28800	120
69__1	1	3	28800	60
70_SA_1	1	1	28800	180
71_PR_1	1	2	28800	520
72_SA_1	1	1	28800	195
73_PR_1	1	2	28800	120
74_SA_1	1	1	28800	60
75_SA_1	1	1	28800	75
76_SA_1	1	1	28800	100
77_SA_1	1	1	28800	120
78_SA_1	1	1	28800	60
79_SA_1	1	1	28800	100
80_SA_1	1	1	28800	90
81_SA_1	1	1	28800	60
82__1	1	3	28800	30
83_SA_1	1	1	28800	240
84_LC_1	1	4	28800	15
85_PR_1	1	2	28800	70
86_PR_1	1	2	28800	90
87_SA_1	1	1	28800	60
88_LC_1	1	4	28800	120
89_PR_1	1	2	28800	70
90_SA_1	1	1	28800	90
91_PR_1	1	2	28800	120
92_SA_1	1	1	28800	60
93_SA_1	1	1	28800	90
94_NU_1	1	5	28800	160
95_SA_1	1	1	28800	140
96__1	1	3	28800	50
97_PR_1	1	2	28800	20
98_PR_1	1	2	28800	10
99_SA_1	1	1	28800	75
100_PR_1	1	2	99991	60
101_PR_2	2	2	10002	60
102_SA_2	2	1	28800	120
103_SA_2	2	1	28800	120
104_LC_2	2	4	28800	120
105_LC_2	2	4	28800	200
106_NU_2	2	5	28800	75
107_PR_2	2	2	28800	30
108_LC_2	2	4	28800	10
109_SA_2	2	1	28800	110
110_SA_2	2	1	28800	120
111_SA_2	2	1	28800	120
