#cliente	day	place	penalty	service
1_PR_1	1	2	31978	90
2_SA_1	1	1	31092	90
3_SA_1	1	1	26367	75
4_LC_1	1	4	30296	120
5_SA_1	1	1	28848	90
6_SA_1	1	1	29112	30
7_SA_1	1	1	29964	290
8_SA_1	1	1	29964	60
9_SA_1	1	1	30870	360
10_SA_1	1	1	30870	60
11_SA_1	1	1	30870	120
12_SA_1	1	1	30870	75
13_SA_1	1	1	30870	60
14_SA_1	1	1	30870	90
15_SA_1	1	1	27195	240
16_SA_1	1	1	29709	110
17_NU_1	1	5	26131	180
18_SA_1	1	1	23327	90
19_SA_1	1	1	32584	180
20_SA_1	1	1	35052	60
21_NU_1	1	5	32500	90
22_PR_1	1	2	29616	60
23_SA_1	1	1	34333	90
24_PR_1	1	2	27503	100
25_PR_1	1	2	33041	90
26_NU_1	1	5	30226	420
27_LC_1	1	4	32261	180
28_SA_1	1	1	25812	30
29_SA_1	1	1	31358	60
30_PR_1	1	2	23093	60
31_SA_1	1	1	24634	90
32_SA_1	1	1	24634	90
33_LC_1	1	4	27282	150
34_LC_1	1	4	25451	80
35_SA_1	1	1	21164	105
36_LC_1	1	4	27679	60
37_PR_1	1	2	24152	60
38_PR_1	1	2	24152	80
39_LC_1	1	4	34752	90
40_SA_1	1	1	31995	60
41_LC_1	1	4	31830	120
42_PR_1	1	2	31830	60
43_SA_1	1	1	30789	207
44_PR_1	1	2	33470	25
45_VI_1	1	4	27448	75
46_SA_1	1	1	28137	90
47_SA_1	1	1	28137	90
48_SA_1	1	1	30121	60
49_SA_1	1	1	30121	60
50_LC_1	1	4	26500	80
51_SA_1	1	1	26448	90
52_PR_1	1	2	31684	30
53_NU_1	1	5	28779	90
54_LC_1	1	4	22514	60
55_LC_1	1	4	22514	60
56_LC_1	1	4	27713	150
57_SA_1	1	1	30895	60
58_SA_1	1	1	30895	60
59_SA_1	1	1	30895	60
60_LC_1	1	4	29698	90
61_SA_1	1	1	26253	30
62_SA_1	1	1	26253	150
63_SA_1	1	1	26253	75
64_SA_1	1	1	26253	10
65_SA_1	1	1	26253	30
66_PR_1	1	2	30562	75
67_SA_1	1	1	30398	60
68_SA_1	1	1	25173	120
69_VI_1	1	4	34689	60
70_SA_1	1	1	29667	180
71_PR_1	1	2	29667	520
72_SA_1	1	1	25657	195
73_PR_1	1	2	25657	120
74_SA_1	1	1	33503	60
75_SA_1	1	1	30015	75
76_SA_1	1	1	30005	100
77_SA_1	1	1	28585	120
78_SA_1	1	1	27619	60
79_SA_1	1	1	27619	100
80_SA_1	1	1	28955	90
81_SA_1	1	1	27731	60
82_VI_1	1	4	32846	30
83_SA_1	1	1	27463	240
84_LC_1	1	4	31755	15
85_PR_1	1	2	25570	70
86_PR_1	1	2	31025	90
87_SA_1	1	1	30948	60
88_LC_1	1	4	29403	120
89_PR_1	1	2	30956	70
90_SA_1	1	1	31265	90
91_PR_1	1	2	27518	120
92_SA_1	1	1	28201	60
93_SA_1	1	1	29710	90
94_NU_1	1	5	26844	160
95_SA_1	1	1	29372	140
96_VI_1	1	4	31482	50
97_PR_1	1	2	32530	20
98_PR_1	1	2	32530	10
99_SA_1	1	1	33308	75
100_PR_1	1	2	30008	60
101_PR_2	2	2	29070	60
102_SA_2	2	1	27435	120
103_SA_2	2	1	35009	120
104_LC_2	2	4	27853	120
105_LC_2	2	4	27133	200
106_NU_2	2	5	30280	75
107_PR_2	2	2	30993	30
108_LC_2	2	4	29982	10
109_SA_2	2	1	29964	110
110_SA_2	2	1	29964	120
111_SA_2	2	1	29964	120
112_SA_2	2	1	29964	60
113_SA_2	2	1	29964	60
114_SA_2	2	1	29964	60
115_PR_2	2	2	32569	90
116_SA_2	2	1	30870	60
117_SA_2	2	1	30870	140
118_SA_2	2	1	30870	120
119_SA_2	2	1	30870	60
120_SA_2	2	1	30870	55
121_LC_2	2	4	30870	45
122_SA_2	2	1	30870	50
123_SA_2	2	1	30870	50
124_SA_2	2	1	30870	30
125_SA_2	2	1	23920	60
126_PR_2	2	2	28280	180
127_PR_2	2	2	28280	80
128_SA_2	2	1	30617	120
129_NU_2	2	5	26131	120
130_SA_2	2	1	32819	90
131_PR_2	2	2	23525	215
132_SA_2	2	1	23327	20
133_SA_2	2	1	31338	90
134_SA_2	2	1	31338	60
135_SA_2	2	1	35052	60
136_LC_2	2	4	35418	30
137_PR_2	2	2	27951	150
138_VI_2	2	4	29616	90
139_PR_2	2	2	29616	60
140_SA_2	2	1	29616	50
141_NU_2	2	5	30226	150
142_LC_2	2	4	24524	50
143_SA_2	2	1	27992	180
144_SA_2	2	1	32617	90
145_LC_2	2	4	29388	60
146_SA_2	2	1	29388	165
147_LC_2	2	4	29388	30
148_SA_2	2	1	28186	90
149_SA_2	2	1	29651	235
150_SA_2	2	1	29651	120
151_SA_2	2	1	25210	120
152_LC_2	2	4	25593	1
153_PR_2	2	2	26319	230
154_PR_2	2	2	29449	170
155_SA_2	2	1	27538	240
156_PR_2	2	2	33295	80
157_SA_2	2	1	30121	150
158_PR_2	2	2	26901	85
159_SA_2	2	1	26448	55
160_PR_2	2	2	26803	60
161_LC_2	2	4	32788	180
162_SA_2	2	1	29796	1
163_PR_2	2	2	28523	120
164_NU_2	2	5	27621	90
165_SA_2	2	1	26815	120
166_SA_2	2	1	26253	40
167_SA_2	2	1	26253	60
168_SA_2	2	1	28235	60
169_LC_2	2	4	29667	135
170_SA_2	2	1	29667	120
171_PR_2	2	2	24970	65
172_NU_2	2	5	24732	60
173_SA_2	2	1	30015	55
174_SA_2	2	1	30015	360
175_SA_2	2	1	30015	90
