#cliente	day	place	penalty	service
191_PR_3	3	2	7721	60
101_PR_2	2	2	7721	60
1_PR_1	1	2	14115	90
341_SA_5	5	1	15394	70
102_SA_2	2	1	17179	120
2_SA_1	1	1	17366	90
103_SA_2	2	1	17733	120
104_LC_2	2	4	18066	120
271_PR_4	4	2	18204	60
105_LC_2	2	4	18228	200
342_PR_5	5	2	18282	60
192_PR_3	3	2	18346	130
193_LC_3	3	4	18769	70
272_LC_4	4	4	18831	130
273_LC_4	4	4	19262	90
343_LC_5	5	4	19294	45
274_SA_4	4	1	19605	60
3_SA_1	1	1	19923	75
106_NU_2	2	5	20531	75
107_PR_2	2	2	20611	30
344_LC_5	5	4	20626	120
108_LC_2	2	4	20626	10
345_SA_5	5	1	20627	150
194_PR_3	3	2	20876	20
4_LC_1	1	4	20896	120
195_SA_3	3	1	20949	150
5_SA_1	1	1	21253	90
197_SA_3	3	1	21253	120
346_LC_5	5	4	21253	70
199_SA_3	3	1	21253	80
196_PR_3	3	2	21253	45
198_SA_3	3	1	21253	60
6_SA_1	1	1	21280	30
200_SA_3	3	1	21280	60
201_LC_3	3	4	21280	270
347_SA_5	5	1	21431	20
7_SA_1	1	1	21643	290
202_SA_3	3	1	21643	180
8_SA_1	1	1	21643	60
110_SA_2	2	1	21643	120
111_SA_2	2	1	21643	120
112_SA_2	2	1	21643	60
109_SA_2	2	1	21643	110
114_SA_2	2	1	21643	60
113_SA_2	2	1	21643	60
203_SA_3	3	1	21643	45
115_PR_2	2	2	21706	90
348_SA_5	5	1	21743	60
349_SA_5	5	1	21743	15
9_SA_1	1	1	21754	360
10_SA_1	1	1	21754	60
13_SA_1	1	1	21754	60
14_SA_1	1	1	21754	90
350_SA_5	5	1	21754	180
12_SA_1	1	1	21754	75
204_SA_3	3	1	21754	80
205_SA_3	3	1	21754	60
352_PR_5	5	2	21754	70
11_SA_1	1	1	21754	120
275_SA_4	4	1	21754	90
276_SA_4	4	1	21754	60
277_SA_4	4	1	21754	120
120_SA_2	2	1	21754	55
279_SA_4	4	1	21754	300
280_NU_4	4	5	21754	60
119_SA_2	2	1	21754	60
124_SA_2	2	1	21754	30
121_LC_2	2	4	21754	45
122_SA_2	2	1	21754	50
351_SA_5	5	1	21754	60
118_SA_2	2	1	21754	120
278_PR_4	4	2	21754	150
116_SA_2	2	1	21754	60
117_SA_2	2	1	21754	140
123_SA_2	2	1	21754	50
15_SA_1	1	1	22035	240
125_SA_2	2	1	22045	60
281_PR_4	4	2	22045	70
282_LC_4	4	4	22114	90
127_PR_2	2	2	22123	80
206_PR_3	3	2	22123	35
126_PR_2	2	2	22123	180
353_SA_5	5	1	22172	5
354_PR_5	5	2	22178	30
16_SA_1	1	1	22515	110
207_SA_3	3	1	22515	50
128_SA_2	2	1	22600	120
17_NU_1	1	5	22855	180
129_NU_2	2	5	22855	120
283_SA_4	4	1	23138	180
355_LC_5	5	4	23298	150
130_SA_2	2	1	23298	90
356_SA_5	5	1	23528	150
131_PR_2	2	2	23576	215
18_SA_1	1	1	23589	90
208_SA_3	3	1	23589	90
209_SA_3	3	1	23589	45
132_SA_2	2	1	23589	20
19_SA_1	1	1	23620	180
210_SA_3	3	1	23620	180
284_SA_4	4	1	23620	240
134_SA_2	2	1	23672	60
133_SA_2	2	1	23672	90
357_SA_5	5	1	23672	60
285_SA_4	4	1	23789	60
135_SA_2	2	1	23808	60
20_SA_1	1	1	23808	60
136_LC_2	2	4	23840	30
286_PR_4	4	2	23907	60
360_LC_5	5	4	23907	10
358_PR_5	5	2	23907	70
137_PR_2	2	2	23907	150
359_LC_5	5	4	23907	10
361_SA_5	5	1	23907	10
21_NU_1	1	5	23988	90
211_NU_3	3	5	23988	40
362_PR_5	5	2	24010	240
22_PR_1	1	2	24040	60
213_LC_3	3	4	24040	90
139_PR_2	2	2	24040	60
140_SA_2	2	1	24040	50
288_SA_4	4	1	24040	60
287_PR_4	4	2	24040	90
212_SA_3	3	1	24040	40
138_VI_2	2	4	24040	90
363_VI_5	5	4	24173	10
214_VI_3	3	4	24173	25
215_PR_3	3	2	24420	45
23_SA_1	1	1	24432	90
24_PR_1	1	2	24589	100
289_LC_4	4	4	24642	110
25_PR_1	1	2	24722	90
141_NU_2	2	5	24800	150
26_NU_1	1	5	24800	420
27_LC_1	1	4	24808	180
216_SA_3	3	1	24820	80
28_SA_1	1	1	24950	30
29_SA_1	1	1	25193	60
364_PR_5	5	2	25250	1
217_SA_3	3	1	25481	150
365_SA_5	5	1	25481	120
290_SA_4	4	1	25481	60
