#cliente	day	place	penalty	service
191_PR_3	3	2	2709	60
101_PR_2	2	2	1569	60
1_PR_1	1	2	469	90
341_SA_5	5	1	1935	70
102_SA_2	2	1	2593	120
2_SA_1	1	1	22596	90
103_SA_2	2	1	50503	120
104_LC_2	2	3	323	120
271_PR_4	4	2	27237	60
105_LC_2	2	3	49150	200
342_PR_5	5	2	615	60
192_PR_3	3	2	3418	130
193_LC_3	3	3	1307	70
272_LC_4	4	3	39067	130
273_LC_4	4	3	1809	90
343_LC_5	5	3	61254	45
274_SA_4	4	1	44802	60
3_SA_1	1	1	51941	75
106_NU_2	2	5	56913	75
107_PR_2	2	2	68738	30
344_LC_5	5	3	39025	120
108_LC_2	2	3	63985	10
345_SA_5	5	1	263	150
194_PR_3	3	2	75112	20
4_LC_1	1	3	2454	120
195_SA_3	3	1	3635	150
5_SA_1	1	1	44495	90
197_SA_3	3	1	45343	120
346_LC_5	5	3	67896	70
199_SA_3	3	1	38129	80
196_PR_3	3	2	54551	45
198_SA_3	3	1	55468	60
6_SA_1	1	1	2601	30
200_SA_3	3	1	4425	60
201_LC_3	3	3	2814	270
347_SA_5	5	1	46480	20
7_SA_1	1	1	45729	290
202_SA_3	3	1	50820	180
8_SA_1	1	1	45639	60
110_SA_2	2	1	51389	120
111_SA_2	2	1	56534	120
112_SA_2	2	1	57658	60
109_SA_2	2	1	47202	110
114_SA_2	2	1	46780	60
113_SA_2	2	1	57740	60
203_SA_3	3	1	29738	45
115_PR_2	2	2	44269	90
348_SA_5	5	1	6159	60
349_SA_5	5	1	6843	15
9_SA_1	1	1	775	360
10_SA_1	1	1	721	60
13_SA_1	1	1	703	60
14_SA_1	1	1	707	90
350_SA_5	5	1	634	180
12_SA_1	1	1	660	75
204_SA_3	3	1	821	80
205_SA_3	3	1	625	60
352_PR_5	5	2	609	70
11_SA_1	1	1	594	120
275_SA_4	4	1	406	90
276_SA_4	4	1	660	60
277_SA_4	4	1	424	120
120_SA_2	2	1	602	55
279_SA_4	4	1	713	300
280_NU_4	4	5	744	60
119_SA_2	2	1	871	60
124_SA_2	2	1	509	30
121_LC_2	2	3	967	45
122_SA_2	2	1	504	50
351_SA_5	5	1	678	60
118_SA_2	2	1	763	120
278_PR_4	4	2	600	150
116_SA_2	2	1	955	60
117_SA_2	2	1	711	140
123_SA_2	2	1	665	50
15_SA_1	1	1	43737	240
125_SA_2	2	1	53237	60
281_PR_4	4	2	47010	70
282_LC_4	4	3	30251	90
127_PR_2	2	2	126218	80
206_PR_3	3	2	140421	35
126_PR_2	2	2	94346	180
353_SA_5	5	1	132	5
354_PR_5	5	2	48757	30
16_SA_1	1	1	343	110
207_SA_3	3	1	240	50
128_SA_2	2	1	215	120
17_NU_1	1	5	1029	180
129_NU_2	2	5	978	120
283_SA_4	4	1	2065	180
355_LC_5	5	3	1556	150
130_SA_2	2	1	1403	90
356_SA_5	5	1	346	150
131_PR_2	2	2	56487	215
18_SA_1	1	1	1204	90
208_SA_3	3	1	1451	90
209_SA_3	3	1	1476	45
132_SA_2	2	1	1107	20
19_SA_1	1	1	91028	180
210_SA_3	3	1	91115	180
284_SA_4	4	1	59731	240
134_SA_2	2	1	58446	60
133_SA_2	2	1	43221	90
357_SA_5	5	1	57209	60
285_SA_4	4	1	59580	60
135_SA_2	2	1	68035	60
20_SA_1	1	1	39474	60
136_LC_2	2	3	447	30
286_PR_4	4	2	41224	60
360_LC_5	5	3	45313	10
358_PR_5	5	2	51595	70
137_PR_2	2	2	54672	150
359_LC_5	5	3	54045	10
361_SA_5	5	1	64907	10
